No,feature_name,japanese_meaning,calculation_method,source_data,history_window,category,code_location,includes_maiden_history,related_features,gain_importance,split_importance,human_decision,calculation_detail_status,duplicate_name_count,input_column_type
1,career_races,対象馬の予測レース時点までの通算races,馬ごとのstats（対象日以前に履歴へ反映済みの結果）を集計。率は分子/通算レース数、履歴なしは0.0。,KettoNum別の過去確定結果,全過去走（実装上履歴dequeは最大5走）,Historical Performance,src/backtest.py:963-978,YES,career_races,12791.86939048767,113.0,,CODE_TRACED,1,raw feature
2,career_wins,対象馬の予測レース時点までの通算wins,馬ごとのstats（対象日以前に履歴へ反映済みの結果）を集計。率は分子/通算レース数、履歴なしは0.0。,KettoNum別の過去確定結果,全過去走（実装上履歴dequeは最大5走）,Historical Performance,src/backtest.py:963-978,YES,career_wins,465.2116947174072,6.0,,CODE_TRACED,1,raw feature
3,career_win_rate,対象馬の予測レース時点までの通算win rate,馬ごとのstats（対象日以前に履歴へ反映済みの結果）を集計。率は分子/通算レース数、履歴なしは0.0。,KettoNum別の過去確定結果,全過去走（実装上履歴dequeは最大5走）,Historical Performance,src/backtest.py:963-978,YES,career_win_rate,3168.4807891845703,52.0,,CODE_TRACED,1,raw feature
4,career_places,対象馬の予測レース時点までの通算places,馬ごとのstats（対象日以前に履歴へ反映済みの結果）を集計。率は分子/通算レース数、履歴なしは0.0。,KettoNum別の過去確定結果,全過去走（実装上履歴dequeは最大5走）,Historical Performance,src/backtest.py:963-978,YES,career_places,90.23629760742188,2.0,,CODE_TRACED,1,raw feature
5,career_place_rate,対象馬の予測レース時点までの通算place rate,馬ごとのstats（対象日以前に履歴へ反映済みの結果）を集計。率は分子/通算レース数、履歴なしは0.0。,KettoNum別の過去確定結果,全過去走（実装上履歴dequeは最大5走）,Historical Performance,src/backtest.py:963-978,YES,career_place_rate,30999.513242721558,75.0,,CODE_TRACED,1,raw feature
6,recent3_win_rate,直近3走における対象馬のwin rate,履歴から直近3走を取り出し、win/placeの平均。履歴不足は存在分のみで平均し、履歴なしは0.0。,過去レースの着順・入線結果,直近3走,Historical Performance,src/backtest.py:963-978,YES,recent3_win_rate,798.2856025695801,16.0,,CODE_TRACED,1,raw feature
7,recent3_place_rate,直近3走における対象馬のplace rate,履歴から直近3走を取り出し、win/placeの平均。履歴不足は存在分のみで平均し、履歴なしは0.0。,過去レースの着順・入線結果,直近3走,Historical Performance,src/backtest.py:963-978,YES,recent3_place_rate,11593.966796875,8.0,,CODE_TRACED,1,raw feature
8,recent5_win_rate,直近5走における対象馬のwin rate,履歴から直近5走を取り出し、win/placeの平均。履歴不足は存在分のみで平均し、履歴なしは0.0。,過去レースの着順・入線結果,直近5走,Historical Performance,src/backtest.py:963-978,YES,recent5_win_rate,182.05170059204102,5.0,,CODE_TRACED,1,raw feature
9,recent5_place_rate,直近5走における対象馬のplace rate,履歴から直近5走を取り出し、win/placeの平均。履歴不足は存在分のみで平均し、履歴なしは0.0。,過去レースの着順・入線結果,直近5走,Historical Performance,src/backtest.py:963-978,YES,recent5_place_rate,34211.70217514038,22.0,,CODE_TRACED,1,raw feature
10,races_last_180d,予測日から過去180日以内の出走回数,履歴に保持した過去レース日付を予測日との差で数える。,過去レース日付,過去180日,Historical Performance,src/backtest.py:979-980,YES,races_last_180d,2301.498794555664,39.0,,CODE_TRACED,1,raw feature
11,races_last_365d,予測日から過去365日以内の出走回数,履歴に保持した過去レース日付を予測日との差で数える。,過去レース日付,過去365日,Historical Performance,src/backtest.py:979-980,YES,races_last_365d,66.11549949645996,3.0,,CODE_TRACED,1,raw feature
12,last1_finish,対象馬の前走における finish,対象馬の履歴を新しい順に並べた直近1走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_finish,66233.60685539246,71.0,,CODE_TRACED,1,raw feature
13,last2_finish,対象馬の前々走における finish,対象馬の履歴を新しい順に並べた直近2走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_finish,4242.764408111572,21.0,,CODE_TRACED,1,raw feature
14,last3_finish,対象馬の3走前における finish,対象馬の履歴を新しい順に並べた直近3走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_finish,174.22560119628906,4.0,,CODE_TRACED,1,raw feature
15,last1_margin,対象馬の前走における margin,対象馬の履歴を新しい順に並べた直近1走目から値を取得。履歴不足は0またはunknownでfallback。,対象馬の過去レース結果・レース条件,直近3走以内,Recent Performance,src/backtest.py:963-1030,YES,lastN_margin,118.41500091552734,4.0,,CODE_TRACED,1,raw feature
