race_id,gap_rank_upper,gap_rank_lower,upper_horse,lower_horse,upper_score,lower_score,raw_gap,gap_ratio,cluster_above_size,gap_percentile,gap_strength,is_major_gap
2026-0704-02-01-07-01,1,2,アルテクィーン,ヌーンベルク,0.31459380829944483,0.23996415765607934,0.07462965064336549,1.3110033238810854,1,95.5719557195572,95.5719557195572,1
2026-0704-02-01-07-01,2,3,ヌーンベルク,ショウナンカノア,0.23996415765607934,0.10395282153511279,0.13601133612096655,2.308394847897661,2,99.06778015148574,99.06778015148574,1
2026-0704-02-01-07-01,3,4,ショウナンカノア,テイクケア,0.10395282153511279,0.09508996233644836,0.008862859198664433,1.0932049922083864,3,58.90464167799573,58.90464167799573,0
2026-0704-02-01-07-01,4,5,テイクケア,トーセンルルド,0.09508996233644836,0.09508996233644836,0.0,1.0,4,9.671780928335599,9.671780928335599,0
2026-0704-02-01-07-01,5,6,トーセンルルド,アズライトティアラ,0.09508996233644836,0.07838327055159275,0.016706691784855607,1.2131410397561693,5,74.0920567100408,74.0920567100408,0
2026-0704-02-01-07-01,6,7,アズライトティアラ,ゴートゥービッツン,0.07838327055159275,0.04891797205182834,0.02946529849976441,1.6023409651680998,6,84.832006214799,84.832006214799,0
2026-0704-02-01-07-01,7,8,ゴートゥービッツン,アイシテルヨナオミ,0.04891797205182834,0.045921948375582555,0.002996023676245782,1.0652416498477406,7,33.73470576811031,33.73470576811031,0
2026-0704-02-01-07-01,8,9,アイシテルヨナオミ,イチゴワタアメ,0.045921948375582555,0.024493951758264715,0.02142799661731784,1.8748280730196032,8,79.37463585162168,79.37463585162168,0
2026-0704-02-01-07-02,1,2,トリニタリオ,ニシノマルガリート,0.2829702918501295,0.15457990241319733,0.12839038943693218,1.8305762096662495,1,98.77646144882502,98.77646144882502,1
2026-0704-02-01-07-02,2,3,ニシノマルガリート,ユマハム,0.15457990241319733,0.14985603879892204,0.004723863614275292,1.031522677712133,2,43.23169547484949,43.23169547484949,0
2026-0704-02-01-07-02,3,4,ユマハム,メイショウローゼ,0.14985603879892204,0.12526681988271743,0.024589218916204608,1.196294748595251,3,81.78287046028355,81.78287046028355,0
2026-0704-02-01-07-02,4,5,メイショウローゼ,ヒメヒオウギ,0.12526681988271743,0.09356146832409559,0.031705351558621836,1.338871889534642,4,85.99728102544184,85.99728102544184,0
2026-0704-02-01-07-02,5,6,ヒメヒオウギ,コワンニシタガウ,0.09356146832409559,0.07352548590252021,0.02003598242157538,1.2725039103874676,5,78.09283355991454,78.09283355991454,0
2026-0704-02-01-07-02,6,7,コワンニシタガウ,ボーントゥラブユー,0.07352548590252021,0.07292778170362856,0.0005977041988916576,1.0081958368255417,6,15.944843658962906,15.944843658962906,0
2026-0704-02-01-07-02,7,8,ボーントゥラブユー,タイセイルビー,0.07292778170362856,0.06610604554577836,0.0068217361578502,1.103193831994173,7,52.165469023111285,52.165469023111285,0
2026-0704-02-01-07-02,8,9,タイセイルビー,ワダツミ,0.06610604554577836,0.04984771728939306,0.016258328256385297,1.3261599355091203,8,73.31520683627889,73.31520683627889,0
2026-0704-02-01-07-02,9,10,ワダツミ,エイシンリーガル,0.04984771728939306,0.042749866871410636,0.007097850417982422,1.1660321057684784,9,53.272480093221986,53.272480093221986,0
2026-0704-02-01-07-02,10,11,エイシンリーガル,デイズインザサン,0.042749866871410636,0.036226256074906774,0.006523610796503862,1.1800796301725103,10,50.92250922509225,50.92250922509225,0
2026-0704-02-01-07-02,11,12,デイズインザサン,スワトウ,0.036226256074906774,0.035440225620427104,0.0007860304544796692,1.022179047698461,11,17.731598368615266,17.731598368615266,0
2026-0704-02-01-07-02,12,13,スワトウ,マイネルディザイア,0.035440225620427104,0.02431236494987508,0.011127860670552023,1.4577037525347447,12,64.42027578170519,64.42027578170519,0
2026-0704-02-01-07-02,13,14,マイネルディザイア,アウェイクネス,0.02431236494987508,0.02065817159087121,0.003654193359003872,1.1768885180825321,13,37.444163915323365,37.444163915323365,0
