race_id,anchor,opponent_cluster,opponent_count,quinella_tickets,quinella_hit,quinella_stake,quinella_return,quinella_roi,exacta_tickets,exacta_hit,exacta_stake,exacta_return,exacta_roi,wide_tickets,wide_stake,wide_return,wide_roi
2026-0704-02-01-07-01,アルテクィーン,ヌーンベルク,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0704-02-01-07-02,トリニタリオ,ニシノマルガリート/ユマハム/メイショウローゼ/ヒメヒオウギ/コワンニシタガウ/ボーントゥラブユー/タイセイルビー/ワダツミ/エイシンリーガル/デイズインザサン/スワトウ/マイネルディザイア/アウェイクネス/ヴァールザーゲン/ホウショウリュウ,15,15,1,1500,1190.0,79.33333333333333,15,0,1500,0.0,0.0,15,1500,740.0,49.333333333333336
2026-0704-02-01-07-03,ギンケイ,ウォータースパウト/ブリスフルイヤー/ルージュリヴィエラ/マスカルポーネ/ルージュボニート/ハヤブサブロー/ハスカップジャム/テリオスリコ,8,8,1,800,4160.0,520.0,8,1,800,6450.0,806.25,8,800,1740.0,217.49999999999997
2026-0704-02-01-07-04,スッサンエア,ブラックジャック/ゲレイロ/ソチミルコ/フクノアンタレス/ホウオウザロイヤル/ルージュフィーリア/スカイプレリュード/ディサイドオンミー/ロードクラシコ/ヤジロベエバランス/グローリアスダンス/オリヒメボシ/チェリーブルーム/カテドラルクォーツ,14,14,0,1400,0.0,0.0,14,0,1400,0.0,0.0,14,1400,0.0,0.0
2026-0704-02-01-07-06,レッドフロイデ,ブレイズランナー,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,300.0,300.0
2026-0704-02-01-07-07,デルマリシリ,メイショウハッケイ/ツルノマイハシ,2,2,0,200,0.0,0.0,2,0,200,0.0,0.0,2,200,0.0,0.0
2026-0704-02-01-07-08,バズアップビート,グランアルト/アスクファイアモア/ペリプルス/ニューアライブ/サイモンイロハニー,5,5,0,500,0.0,0.0,5,0,500,0.0,0.0,5,500,0.0,0.0
2026-0704-02-01-07-10,ディアウス,セボンサデッセ,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0704-02-01-07-11,サウスバンク,マーブルパレス/アンジュプロミス,2,2,0,200,0.0,0.0,2,0,200,0.0,0.0,2,200,0.0,0.0
2026-0704-02-01-07-12,シーズザスローン,アチーヴァー/イサギ/シュヴァルノワール/カーフキック/ブレイジングスター,5,5,1,500,1370.0,274.0,5,1,500,1750.0,350.0,5,500,270.0,54.0
2026-0704-03-02-03-01,ウィンターブリーズ,コスモハナミズキ,1,1,1,100,590.0,590.0,1,0,100,0.0,0.0,1,100,190.0,190.0
2026-0704-03-02-03-02,ベルトラッキ,ミサダメキメル/クイーンズレイン/ボンボンベイビー/アイスアイスベイビ/クライングナウ/シンショク/トップオブザキング/オーケーグリット/レディホークダイヤ/ヨーゼフ/リバーブレーション/ホグホグナナハン,12,12,0,1200,0.0,0.0,12,0,1200,0.0,0.0,12,1200,0.0,0.0
2026-0704-03-02-03-03,ワンダーブリッツ,イントゥザウインド,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,150.0,150.0
2026-0704-03-02-03-04,グレイシエーション,リーデレクオーレ,1,1,1,100,660.0,660.0,1,1,100,800.0,800.0,1,100,270.0,270.0
2026-0704-03-02-03-07,アールグレイ,ピースフルマインド/フレキシブル,2,2,0,200,0.0,0.0,2,0,200,0.0,0.0,2,200,0.0,0.0
2026-0704-03-02-03-08,ルシャルムール,コスモシェルベット/ヤングアメリカンズ/エアトベーレ/ユキノグラス/エスシーレイジュ/エコロストーム/ブリスキー/シューティングガイ/エウテルペ/カフェロワドール/レッドルイナール/パッカパッカブー,12,12,0,1200,0.0,0.0,12,0,1200,0.0,0.0,12,1200,0.0,0.0
2026-0704-03-02-03-09,アローメタル,コスモアチーブ/トレベルオール/ミッドセンチュリー,3,3,0,300,0.0,0.0,3,0,300,0.0,0.0,3,300,0.0,0.0
2026-0704-03-02-03-10,ディーズゴールド,エリーナストーム/レッドベルダンス/トゥーザムーン/キングツェッペリン/マンダリンボレロ/ダディーズトリップ/ユイノマチブセ/クロドラバール/ウインアルドーレ,9,9,1,900,1270.0,141.11111111111111,9,1,900,2250.0,250.0,9,900,890.0,98.88888888888889
2026-0704-03-02-03-11,ゲイルライダー,テセラリアン/イリフィ/カネショウレジェン/ラストシャリナ/ピックアップライン/ボディブロー/アイアムユウシュン/メイショウコバト/ゲキザル,9,9,1,900,380.0,42.22222222222222,9,1,900,510.0,56.666666666666664,9,900,790.0,87.77777777777777
2026-0704-03-02-03-12,トワニ,ブラックティンカー,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0704-10-02-03-01,アバットゥータ,テイエムリステット/ゴーツウキリシマ/ゴールデンルーキー/メイショウソウセキ/シークレットキー/アニージョ/アクロスザリバー/アドアプローズ/パーセルペーパー/シュエットアムール/キムタックフェイス,11,11,0,1100,0.0,0.0,11,0,1100,0.0,0.0,11,1100,0.0,0.0
2026-0704-10-02-03-02,ランスオブラヴ,アイルトン/マルモリキャスター/ルージュルガーノ/ロングジーニアス/ナデシコザクラ/リフルフォース/アンコ/シャンデリュイーズ/パープルウインド/ミヤノラングリー/マリノムーンリーフ/サラサキングスター/デュードロップ/ニシノトリビュート/メドウセージ/レイノルズナンバー/ヒャクギマル,17,17,0,1700,0.0,0.0,17,0,1700,0.0,0.0,17,1700,0.0,0.0
2026-0704-10-02-03-03,シャンドラファール,シャリキモン,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0704-10-02-03-04,マーゴットガイア,アキノビューティー,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0704-10-02-03-06,ピコオーバル,キングズテイル/キープシャイニング/ピエナオルカ/マーチンゲール/ジャスティンゴッホ/ラッキーストーン/ロンバルドシチー/ブクブクー/ベルアズーロ/バチラ/クロワール/フルドフォルク/カミノトップワン/ハギノクリーガー/エクスマウス,15,15,0,1500,0.0,0.0,15,0,1500,0.0,0.0,15,1500,0.0,0.0
2026-0704-10-02-03-07,ホワイトフレイムス,ララディアーブル/ホウオウモチーヴ/ベンティガオルサ,3,3,0,300,0.0,0.0,3,0,300,0.0,0.0,3,300,0.0,0.0
2026-0704-10-02-03-08,ブルーマッキンジー,エルル/カネコメファミリー/ミヤフロント/ベラジオリン/アイファーモービル/プルミエールパス/ミヤラティーニ/イチトゼロノアイダ/アメリカンビヨンド/アスコットアイ/ピオニエーレ/ナムラトロム,12,12,1,1200,530.0,44.166666666666664,12,1,1200,750.0,62.5,12,1200,990.0,82.5
2026-0704-10-02-03-09,グッドピース,フィオラーノ/キョラムン/ミライハーモニー/ネフェルアスティ/スピリットライズ/マウンテンバローズ/ケイアイクビラ/リアルアルバ/ラブアイミー/ギザキズラヴ/ソリスディエス,11,11,1,1100,1000.0,90.9090909090909,11,1,1100,1500.0,136.36363636363635,11,1100,1240.0,112.72727272727272
2026-0704-10-02-03-11,ネブラディスク,サウンドムーブ,1,1,1,100,290.0,290.0,1,1,100,560.0,560.0,1,100,170.0,170.0
2026-0704-10-02-03-12,ムーンリットアイル,ジャンヌローサ,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0705-02-01-08-01,コックニー,キチロクタワー,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0705-02-01-08-02,グレイトソン,カッサンドラ/マーマレードスカイ/カフェオドヴィー/ジェッディンデデン/カプリースカラー/アクロスメモリア/ロードベルファスト/ジャストキュート/デルマハルナ/ペイシャクロス/ミスマラッカ,11,11,1,1100,460.0,41.81818181818181,11,1,1100,710.0,64.54545454545455,11,1100,410.0,37.27272727272727
2026-0705-02-01-08-03,ゴンフィンガー,ニシノモリミチ/キャピタル/ガーディアンテイル/クッカユフラ/ミリオングローリー/ヘイマー/レースクイーン/ルナノーヴァ/ガダニーニ/カンフージョン/マツリダシリウス/オーキーベルセルク,12,12,0,1200,0.0,0.0,12,0,1200,0.0,0.0,12,1200,1150.0,95.83333333333334
2026-0705-02-01-08-04,ハルヒメ,バレンタインビスタ/ジュディーイメル/マメーアップル/コスモファーブロス,4,4,0,400,0.0,0.0,4,0,400,0.0,0.0,4,400,0.0,0.0
2026-0705-02-01-08-06,ショウナンマルチ,ギオンバヤシ,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,220.0,220.00000000000003
