anchor_strength_bin,races,win_rate,top2_rate,top3_rate,average_finish,median_finish,win_roi,place_roi
0-10%,43,0.13953488372093023,0.18604651162790697,0.3023255813953488,5.953488372093023,5,59.53488372093023,52.32558139534884
10-20%,43,0.32558139534883723,0.46511627906976744,0.5116279069767442,4.465116279069767,3,117.67441860465115,77.44186046511628
20-30%,43,0.13953488372093023,0.32558139534883723,0.4883720930232558,4.953488372093023,4,35.81395348837209,75.11627906976744
30-40%,43,0.11627906976744186,0.3023255813953488,0.4186046511627907,5.813953488372093,5,33.02325581395349,59.30232558139535
40-50%,43,0.20930232558139536,0.3488372093023256,0.4186046511627907,4.953488372093023,5,78.37209302325581,60.0
50-60%,44,0.38636363636363635,0.5,0.6590909090909091,3,3,125.22727272727272,94.54545454545455
60-70%,43,0.2558139534883721,0.4883720930232558,0.6046511627906976,3.953488372093023,3,70.69767441860465,78.13953488372093
70-80%,43,0.27906976744186046,0.4186046511627907,0.5116279069767442,4.441860465116279,3,64.18604651162791,64.18604651162791
80-90%,43,0.37209302325581395,0.6046511627906976,0.7441860465116279,3.116279069767442,2,89.53488372093024,93.95348837209302
90-100%,44,0.4090909090909091,0.6590909090909091,0.8409090909090909,2.5681818181818183,2,69.31818181818183,95.68181818181817
