race_id,rank,horse_id,horse_name,prediction_score,cluster_id,cluster_size,is_anchor,is_primary_opponent,gap_before,gap_after
2026-0704-02-01-07-01,1,2024100255,アルテクィーン,0.31459380829944483,1,1,1,0,0,0.07462965064336549
2026-0704-02-01-07-01,2,2024103505,ヌーンベルク,0.23996415765607934,2,1,0,1,0.07462965064336549,0.13601133612096655
2026-0704-02-01-07-01,3,2024106248,ショウナンカノア,0.10395282153511279,3,7,0,0,0.13601133612096655,0.008862859198664433
2026-0704-02-01-07-01,4,2024106810,テイクケア,0.09508996233644836,3,7,0,0,0.008862859198664433,0.0
2026-0704-02-01-07-01,5,2024106857,トーセンルルド,0.09508996233644836,3,7,0,0,0.0,0.016706691784855607
2026-0704-02-01-07-01,6,2024106919,アズライトティアラ,0.07838327055159275,3,7,0,0,0.016706691784855607,0.02946529849976441
2026-0704-02-01-07-01,7,2024104503,ゴートゥービッツン,0.04891797205182834,3,7,0,0,0.02946529849976441,0.002996023676245782
2026-0704-02-01-07-01,8,2024107158,アイシテルヨナオミ,0.045921948375582555,3,7,0,0,0.002996023676245782,0.02142799661731784
2026-0704-02-01-07-01,9,2024107000,イチゴワタアメ,0.024493951758264715,3,7,0,0,0.02142799661731784,0
2026-0704-02-01-07-02,1,2023106438,トリニタリオ,0.2829702918501295,1,1,1,0,0,0.12839038943693218
2026-0704-02-01-07-02,2,2023104713,ニシノマルガリート,0.15457990241319733,2,15,0,1,0.12839038943693218,0.004723863614275292
2026-0704-02-01-07-02,3,2023103372,ユマハム,0.14985603879892204,2,15,0,1,0.004723863614275292,0.024589218916204608
2026-0704-02-01-07-02,4,2023101938,メイショウローゼ,0.12526681988271743,2,15,0,1,0.024589218916204608,0.031705351558621836
2026-0704-02-01-07-02,5,2023106148,ヒメヒオウギ,0.09356146832409559,2,15,0,1,0.031705351558621836,0.02003598242157538
2026-0704-02-01-07-02,6,2023104216,コワンニシタガウ,0.07352548590252021,2,15,0,1,0.02003598242157538,0.0005977041988916576
2026-0704-02-01-07-02,7,2023106285,ボーントゥラブユー,0.07292778170362856,2,15,0,1,0.0005977041988916576,0.0068217361578502
2026-0704-02-01-07-02,8,2023104679,タイセイルビー,0.06610604554577836,2,15,0,1,0.0068217361578502,0.016258328256385297
2026-0704-02-01-07-02,9,2023102669,ワダツミ,0.04984771728939306,2,15,0,1,0.016258328256385297,0.007097850417982422
2026-0704-02-01-07-02,10,2023105537,エイシンリーガル,0.042749866871410636,2,15,0,1,0.007097850417982422,0.006523610796503862
2026-0704-02-01-07-02,11,2023101812,デイズインザサン,0.036226256074906774,2,15,0,1,0.006523610796503862,0.0007860304544796692
2026-0704-02-01-07-02,12,2023103333,スワトウ,0.035440225620427104,2,15,0,1,0.0007860304544796692,0.011127860670552023
2026-0704-02-01-07-02,13,2023106476,マイネルディザイア,0.02431236494987508,2,15,0,1,0.011127860670552023,0.003654193359003872
2026-0704-02-01-07-02,14,2023110027,アウェイクネス,0.02065817159087121,2,15,0,1,0.003654193359003872,0.0011751390844261557
2026-0704-02-01-07-02,15,2023106454,ヴァールザーゲン,0.019483032506445053,2,15,0,1,0.0011751390844261557,0.0037437666394659966
2026-0704-02-01-07-02,16,2023101598,ホウショウリュウ,0.015739265866979057,2,15,0,1,0.0037437666394659966,0
2026-0704-02-01-07-03,1,2023103024,ギンケイ,0.3095101650857338,1,3,1,0,0,0.015742172894231188
2026-0704-02-01-07-03,2,2023100609,ペガサスウィンド,0.2937679921915026,1,3,0,0,0.015742172894231188,0.0003261313170985214
2026-0704-02-01-07-03,3,2023105268,ラショナルポイント,0.2934418608744041,1,3,0,0,0.0003261313170985214,0.18235754817439365
2026-0704-02-01-07-03,4,2023105555,ウォータースパウト,0.11108431270001046,2,8,0,1,0.18235754817439365,0.023736285165358723
2026-0704-02-01-07-03,5,2023103570,ブリスフルイヤー,0.08734802753465173,2,8,0,1,0.023736285165358723,0.013586760568694234
2026-0704-02-01-07-03,6,2023105608,ルージュリヴィエラ,0.0737612669659575,2,8,0,1,0.013586760568694234,0.02465846274046634
2026-0704-02-01-07-03,7,2023104632,マスカルポーネ,0.04910280422549116,2,8,0,1,0.02465846274046634,0.020581636860657688
2026-0704-02-01-07-03,8,2023106623,ルージュボニート,0.028521167364833473,2,8,0,1,0.020581636860657688,0.0012294500758094594
2026-0704-02-01-07-03,9,2023104338,ハヤブサブロー,0.027291717289024013,2,8,0,1,0.0012294500758094594,0.005497755953782001
2026-0704-02-01-07-03,10,2023104347,ハスカップジャム,0.021793961335242012,2,8,0,1,0.005497755953782001,0.0032562819995149324
2026-0704-02-01-07-03,11,2023101796,テリオスリコ,0.01853767933572708,2,8,0,1,0.0032562819995149324,0
2026-0704-02-01-07-04,1,2023102151,スッサンエア,0.18848617017537342,1,2,1,0,0,0.0018651057276366234
2026-0704-02-01-07-04,2,2023100610,フルムーン,0.1866210644477368,1,2,0,0,0.0018651057276366234,0.08962759272274806
2026-0704-02-01-07-04,3,2023104933,ブラックジャック,0.09699347172498873,2,14,0,1,0.08962759272274806,0.030906744362418317
2026-0704-02-01-07-04,4,2023104669,ゲレイロ,0.06608672736257042,2,14,0,1,0.030906744362418317,0.014849749949611246
2026-0704-02-01-07-04,5,2023106965,ソチミルコ,0.05123697741295917,2,14,0,1,0.014849749949611246,0.006772414066181148
2026-0704-02-01-07-04,6,2023102332,フクノアンタレス,0.04446456334677802,2,14,0,1,0.006772414066181148,0.00017268445614833372
2026-0704-02-01-07-04,7,2023107192,ホウオウザロイヤル,0.04429187889062969,2,14,0,1,0.00017268445614833372,0.0
2026-0704-02-01-07-04,8,2023107342,ルージュフィーリア,0.04429187889062969,2,14,0,1,0.0,0.0026338125066282664
2026-0704-02-01-07-04,9,2023101873,スカイプレリュード,0.04165806638400142,2,14,0,1,0.0026338125066282664,0.002815104810943804
2026-0704-02-01-07-04,10,2023103518,ディサイドオンミー,0.03884296157305762,2,14,0,1,0.002815104810943804,0.0036691061802519784
2026-0704-02-01-07-04,11,2023105797,ロードクラシコ,0.03517385539280564,2,14,0,1,0.0036691061802519784,0.009946687333655387
2026-0704-02-01-07-04,12,2023106291,ヤジロベエバランス,0.025227168059150252,2,14,0,1,0.009946687333655387,0.0002732734625886836
2026-0704-02-01-07-04,13,2023102402,グローリアスダンス,0.02495389459656157,2,14,0,1,0.0002732734625886836,0.0018519752155227477
2026-0704-02-01-07-04,14,2023103612,オリヒメボシ,0.02310191938103882,2,14,0,1,0.0018519752155227477,0.00465948218703921
2026-0704-02-01-07-04,15,2023101675,チェリーブルーム,0.01844243719399961,2,14,0,1,0.00465948218703921,0.004422194687147402
2026-0704-02-01-07-04,16,2023103668,カテドラルクォーツ,0.014020242506852208,2,14,0,1,0.004422194687147402,0
2026-0704-02-01-07-05,1,2024105553,リキサンステラ,0.12868497496060682,1,5,1,0,0,0.0
2026-0704-02-01-07-05,2,2024104218,リアルクウカイ,0.12868497496060682,1,5,0,0,0.0,0.0
2026-0704-02-01-07-05,3,2024104113,ダマスク,0.12868497496060682,1,5,0,0,0.0,0.0
2026-0704-02-01-07-05,4,2024105019,ロゼハイスクール,0.12868497496060682,1,5,0,0,0.0,0.0
2026-0704-02-01-07-05,5,2024103569,ヴァイタリズム,0.12868497496060682,1,5,0,0,0.0,0
2026-0704-02-01-07-06,1,2023103441,レッドフロイデ,0.2854593083356183,1,1,1,0,0,0.12909348421822878
2026-0704-02-01-07-06,2,2023103577,ブレイズランナー,0.1563658241173895,2,1,0,1,0.12909348421822878,0.04870914239008689
2026-0704-02-01-07-06,3,2023101756,メイショウセンドウ,0.10765668172730261,3,11,0,0,0.04870914239008689,0.021919232664157254
2026-0704-02-01-07-06,4,2023101091,ストリートクイーン,0.08573744906314536,3,11,0,0,0.021919232664157254,0.0050158918327294355
2026-0704-02-01-07-06,5,2023104158,シュヴェスター,0.08072155723041592,3,11,0,0,0.0050158918327294355,0.00616028271349732
2026-0704-02-01-07-06,6,2023101857,ララニューディー,0.0745612745169186,3,11,0,0,0.00616028271349732,0.0025747545886859596
2026-0704-02-01-07-06,7,2023103065,クラン,0.07198651992823264,3,11,0,0,0.0025747545886859596,0.022704303041937268
2026-0704-02-01-07-06,8,2023105320,チャーチルデュース,0.049282216886295374,3,11,0,0,0.022704303041937268,0.0006185672944216888
2026-0704-02-01-07-06,9,2023101088,トルークマクト,0.048663649591873685,3,11,0,0,0.0006185672944216888,0.027747401967501265
2026-0704-02-01-07-06,10,2023106726,フェンリル,0.02091624762437242,3,11,0,0,0.027747401967501265,0.0004911211196964478
2026-0704-02-01-07-06,11,2023100637,ブリリアンス,0.020425126504675973,3,11,0,0,0.0004911211196964478,0.0032157361734024108
2026-0704-02-01-07-06,12,2023101910,ステキサプライズ,0.017209390331273562,3,11,0,0,0.0032157361734024108,0.004445463104372093
2026-0704-02-01-07-06,13,2023101046,ライヴマルガリータ,0.01276392722690147,3,11,0,0,0.004445463104372093,0
2026-0704-02-01-07-07,1,2023100997,デルマリシリ,0.41498549568149495,1,1,1,0,0,0.16553528811554466
2026-0704-02-01-07-07,2,2023105035,メイショウハッケイ,0.2494502075659503,2,2,0,1,0.16553528811554466,0.020042433149522976
2026-0704-02-01-07-07,3,2023103528,ツルノマイハシ,0.22940777441642732,2,2,0,1,0.020042433149522976,0.1393188371499699
2026-0704-02-01-07-07,4,2022105162,ルージュナリッシュ,0.0900889372664574,3,3,0,0,0.1393188371499699,0.003505094184783966
2026-0704-02-01-07-07,5,2023101143,ライトニングロッド,0.08658384308167344,3,3,0,0,0.003505094184783966,0.0006905128272696598
2026-0704-02-01-07-07,6,2021102312,ストレイトアスク,0.08589333025440378,3,3,0,0,0.0006905128272696598,0.054013738252205845
2026-0704-02-01-07-07,7,2023106912,ジュジュドール,0.031879592002197935,4,4,0,0,0.054013738252205845,0.002309656462908073
2026-0704-02-01-07-07,8,2023105199,キミノナハオリョウ,0.02956993553928986,4,4,0,0,0.002309656462908073,0.0009112968773865547
2026-0704-02-01-07-07,9,2021105715,アルバニー,0.028658638661903307,4,4,0,0,0.0009112968773865547,0.01405265980969382
2026-0704-02-01-07-07,10,2023109031,ココソラーレ,0.014605978852209487,4,4,0,0,0.01405265980969382,0
2026-0704-02-01-07-08,1,2022104973,バズアップビート,0.2275963531659418,1,2,1,0,0,0.004739244661767672
2026-0704-02-01-07-08,2,2023107005,ダノンヒストリー,0.22285710850417412,1,2,0,0,0.004739244661767672,0.12804463503739147
2026-0704-02-01-07-08,3,2023104156,グランアルト,0.09481247346678265,2,5,0,1,0.12804463503739147,0.00947704477611605
2026-0704-02-01-07-08,4,2023105261,アスクファイアモア,0.0853354286906666,2,5,0,1,0.00947704477611605,0.006665173583231793
2026-0704-02-01-07-08,5,2020105796,ペリプルス,0.0786702551074348,2,5,0,1,0.006665173583231793,0.008174107526575325
2026-0704-02-01-07-08,6,2023106495,ニューアライブ,0.07049614758085948,2,5,0,1,0.008174107526575325,0.042198620755222564
2026-0704-02-01-07-08,7,2022104164,サイモンイロハニー,0.028297526825636916,2,5,0,1,0.042198620755222564,0
2026-0704-02-01-07-09,1,2023103351,グレーヌドジョワ,0.1411037860358177,1,9,1,0,0,0.008988979298668986
2026-0704-02-01-07-09,2,2023102178,タイキルッジェーロ,0.1321148067371487,1,9,0,0,0.008988979298668986,0.013229523425155834
2026-0704-02-01-07-09,3,2022102135,ゴーゴータカシ,0.11888528331199287,1,9,0,0,0.013229523425155834,0.0058690548701838124
2026-0704-02-01-07-09,4,2022106645,グランセゾン,0.11301622844180906,1,9,0,0,0.0058690548701838124,0.01038680036139969
2026-0704-02-01-07-09,5,2022106231,ウインベラーノ,0.10262942808040937,1,9,0,0,0.01038680036139969,0.0365283606068416
2026-0704-02-01-07-09,6,2022105817,アルディスティーノ,0.06610106747356777,1,9,0,0,0.0365283606068416,0.011547294080663469
2026-0704-02-01-07-09,7,2020100621,マイバラード,0.0545537733929043,1,9,0,0,0.011547294080663469,0.037736056144642496
2026-0704-02-01-07-09,8,2022105392,スタードメイソン,0.016817717248261803,1,9,0,0,0.037736056144642496,0.006069072834078572
2026-0704-02-01-07-09,9,2019106416,キセキノエンジェル,0.010748644414183231,1,9,0,0,0.006069072834078572,0
2026-0704-02-01-07-10,1,2022102905,ディアウス,0.31668931894272695,1,2,1,0,0,0.02893247276349903
2026-0704-02-01-07-10,2,2023102769,ケイアイアギト,0.2877568461792279,1,2,0,0,0.02893247276349903,0.05678815449580327
2026-0704-02-01-07-10,3,2022104903,セボンサデッセ,0.23096869168342465,2,1,0,1,0.05678815449580327,0.071585655341082
2026-0704-02-01-07-10,4,2022102308,エアニゲラ,0.15938303634234266,3,11,0,0,0.071585655341082,0.03666676350587232
2026-0704-02-01-07-10,5,2023100937,ストラーダ,0.12271627283647034,3,11,0,0,0.03666676350587232,0.01591953825728372
2026-0704-02-01-07-10,6,2021105931,ギマール,0.10679673457918662,3,11,0,0,0.01591953825728372,0.0009564161382195763
2026-0704-02-01-07-10,7,2022104601,バタール,0.10584031844096704,3,11,0,0,0.0009564161382195763,0.027495795929409247
2026-0704-02-01-07-10,8,2022103778,ライフゲート,0.0783445225115578,3,11,0,0,0.027495795929409247,0.010551125318862126
2026-0704-02-01-07-10,9,2021102200,レッドライトニング,0.06779339719269567,3,11,0,0,0.010551125318862126,0.007740678774191177
2026-0704-02-01-07-10,10,2022102828,メイショウタイピン,0.06005271841850449,3,11,0,0,0.007740678774191177,0.01836257003419524
2026-0704-02-01-07-10,11,2022105443,モレポブラーノ,0.041690148384309254,3,11,0,0,0.01836257003419524,0.01554558129512246
2026-0704-02-01-07-10,12,2020100060,オセアバトルプラン,0.026144567089186794,3,11,0,0,0.01554558129512246,0.010633004350157762
2026-0704-02-01-07-10,13,2022107254,エンプレスフレーム,0.015511562739029032,3,11,0,0,0.010633004350157762,0.0012953264347669996
2026-0704-02-01-07-10,14,2021103809,マッスルバック,0.014216236304262032,3,11,0,0,0.0012953264347669996,0
2026-0704-02-01-07-11,1,2022101443,サウスバンク,0.25651022816914615,1,1,1,0,0,0.0848285378510451
2026-0704-02-01-07-11,2,2023105203,マーブルパレス,0.17168169031810104,2,2,0,1,0.0848285378510451,0.003399645928130801
2026-0704-02-01-07-11,3,2023102577,アンジュプロミス,0.16828204438997024,2,2,0,1,0.003399645928130801,0.10803258919362732
2026-0704-02-01-07-11,4,2021105689,エヴァンスウィート,0.060249455196342915,3,13,0,0,0.10803258919362732,0.0023292419955128624
2026-0704-02-01-07-11,5,2022106666,ドゥアムール,0.05792021320083005,3,13,0,0,0.0023292419955128624,0.005638767188849356
2026-0704-02-01-07-11,6,2020104616,パクスロマーナ,0.052281446011980696,3,13,0,0,0.005638767188849356,0.003442514436507872
2026-0704-02-01-07-11,7,2021105242,シカゴスティング,0.048838931575472824,3,13,0,0,0.003442514436507872,0.004414173725851747
2026-0704-02-01-07-11,8,2022110108,エコロジーク,0.04442475784962108,3,13,0,0,0.004414173725851747,0.004460028601987923
2026-0704-02-01-07-11,9,2021105202,ポエットリー,0.039964729247633154,3,13,0,0,0.004460028601987923,0.0027351162348676905
2026-0704-02-01-07-11,10,2020104194,ルーフ,0.037229613012765464,3,13,0,0,0.0027351162348676905,0.001772017986239341
2026-0704-02-01-07-11,11,2022109024,ウィルオレオール,0.03545759502652612,3,13,0,0,0.001772017986239341,0.0017260979588008957
2026-0704-02-01-07-11,12,2018105996,サムハンター,0.03373149706772523,3,13,0,0,0.0017260979588008957,0.002355153384807143
2026-0704-02-01-07-11,13,2021100143,メルトユアハート,0.031376343682918084,3,13,0,0,0.002355153384807143,0.00414301230655301
2026-0704-02-01-07-11,14,2020101639,ハッピーロンドン,0.027233331376365074,3,13,0,0,0.00414301230655301,0.010818165394354689
2026-0704-02-01-07-11,15,2021103312,ロードマイライフ,0.016415165982010385,3,13,0,0,0.010818165394354689,0.0008422377476055912
