racecourse,surface,distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
中京,芝,1300～1600m,31,4,0.12903225806451613,34.516129032258064,0.4838709677419355,90.96774193548387,
中京,芝,1700～2000m,42,13,0.30952380952380953,93.80952380952381,0.5714285714285714,86.19047619047619,
中京,芝,2100～2400m,4,0,0,0.0,0.5,80.0,LOW SAMPLE
中京,芝,2500m～,3,2,0.6666666666666666,186.66666666666666,1,130.0,LOW SAMPLE
中京,芝,～1200m,16,5,0.3125,71.875,0.4375,152.5,LOW SAMPLE
中山,芝,1300～1600m,14,4,0.2857142857142857,95.71428571428572,0.5714285714285714,79.28571428571428,LOW SAMPLE
中山,芝,1700～2000m,45,14,0.3111111111111111,187.55555555555557,0.5777777777777777,100.44444444444444,
中山,芝,2100～2400m,6,3,0.5,171.66666666666666,0.5,73.33333333333333,LOW SAMPLE
中山,芝,2500m～,4,0,0,0.0,0.5,72.5,LOW SAMPLE
中山,芝,～1200m,27,6,0.2222222222222222,61.111111111111114,0.48148148148148145,77.4074074074074,LOW SAMPLE
小倉,芝,1700～2000m,3,0,0,0.0,0,0.0,LOW SAMPLE
小倉,芝,2500m～,3,0,0,0.0,0.6666666666666666,73.33333333333333,LOW SAMPLE
小倉,芝,～1200m,2,0,0,0.0,0.5,75.0,LOW SAMPLE
