feature,gain,split
last1_finish,136967.9223127365,211.0
recent5_place_rate,68050.0860748291,36.0
career_place_rate,38911.857728004456,146.0
recent3_place_rate,33861.554204940796,17.0
best_margin_last3,18149.337255477905,66.0
weighted_margin_last3,17746.454167366028,100.0
field_size,16691.301862716675,182.0
last2_finish,13487.757425308228,112.0
career_races,10625.98627948761,167.0
mean_margin_last3,10197.652355194092,69.0
grade_code_unknown,8752.993453025818,86.0
recent3_win_rate,7897.981307983398,72.0
current_distance,6338.530254364014,148.0
last1_distance,4437.774287700653,111.0
last1_margin,4029.0036401748657,49.0
career_win_rate,4023.127248287201,97.0
races_last_180d,3703.5309591293335,80.0
last3_field_strength,3112.2141094207764,66.0
condition_code_13,2736.063808441162,55.0
last1_winner_strength,2344.2166872024536,24.0
condition_code_12,2085.068256378174,47.0
grade_code_E,1927.0129928588867,21.0
last2_distance,1815.3094882965088,42.0
margin_x_field_strength,1811.9706172943115,23.0
last3_finish,1763.6692905426025,36.0
grade_code_A,1339.492407798767,34.0
last3_distance,1274.5286045074463,37.0
condition_code_11,1022.162693977356,22.0
last2_field_strength,977.0719652175903,27.0
recent5_win_rate,976.9458169937134,17.0
career_wins,889.319842338562,31.0
last2_winner_strength,836.4315567016602,22.0
last3_winner_strength,742.1317434310913,16.0
last1_class_grade:E|condition:11,552.5666007995605,18.0
last1_field_strength,504.6959972381592,9.0
racecourse_福島,444.65831089019775,19.0
racecourse_東京,412.7745008468628,14.0
last1_class_grade:B|condition:12,382.905499458313,15.0
last2_class_grade:A|condition:13,355.20920181274414,18.0
last1_class_grade:unknown|condition:11,273.12329959869385,8.0
races_last_365d,245.5300350189209,11.0
grade_code_B,241.15550231933594,10.0
grade_code_C,232.10679817199707,9.0
last2_class_grade:A|condition:12,228.55170154571533,10.0
last1_class_grade:A|condition:12,223.87890148162842,7.0
condition_code_18,218.53430366516113,10.0
last1_class_grade:unknown|condition:12,212.55719757080078,2.0
