class,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
grade:C|condition:11,1,0,0,0.0,1,170.0,LOW SAMPLE
grade:C|condition:12,1,0,0,0.0,1,130.0,LOW SAMPLE
grade:C|condition:13,9,3,0.3333333333333333,115.55555555555554,0.4444444444444444,72.22222222222221,LOW SAMPLE
grade:E|condition:11,2,1,0.5,95.0,1,114.99999999999999,LOW SAMPLE
grade:E|condition:13,94,28,0.2978723404255319,89.57446808510639,0.5851063829787234,79.25531914893617,
grade:E|condition:18,1,0,0,0.0,1,110.00000000000001,LOW SAMPLE
grade:L|condition:13,3,0,0,0.0,0,0.0,LOW SAMPLE
grade:unknown|condition:11,75,18,0.24,68.53333333333333,0.4666666666666667,65.2,
grade:unknown|condition:12,138,41,0.2971014492753623,93.33333333333333,0.6304347826086957,84.85507246376811,
grade:unknown|condition:13,96,23,0.23958333333333334,65.0,0.5520833333333334,77.5,
grade:unknown|condition:18,12,3,0.25,77.5,0.4166666666666667,55.00000000000001,LOW SAMPLE
