feature,gain,split
last1_raw_performance,274013.0901069641,86.0
mean_adjusted_performance_last3,139368.2989807129,230.0
last1_finish,138466.645362854,162.0
career_place_rate,79041.98306083679,240.0
recent5_place_rate,47044.444831848145,56.0
field_size,43238.7906703949,354.0
mean_margin_last3,41082.05459976196,90.0
prize_ratio_vs_last3_mean,37263.551458358765,394.0
prize_change_from_last3_mean,35712.40106391907,116.0
career_races,29139.590753555298,308.0
best_strong_opponent_performance_last3,25975.6422996521,88.0
race_first_prize,16181.44900894165,148.0
current_distance,14094.437223434448,240.0
recent3_place_rate,13681.293518066406,10.0
prize_ratio_vs_last1,13671.80632019043,78.0
last1_margin_x_prize_strength,13435.55823135376,56.0
last2_raw_performance,13137.265605926514,74.0
last2_finish,12973.650245666504,86.0
prize_change_from_last1,11068.047813415527,20.0
weighted_margin_last3,10813.170209884644,122.0
career_win_rate,9855.65064048767,168.0
last1_distance,7905.6959800720215,144.0
margin_x_field_strength,6468.989311218262,76.0
last1_field_top3_mean_strength_v2,5985.283823013306,128.0
races_last_180d,5404.075790405273,114.0
condition_code_13,3800.8049964904785,50.0
best_adjusted_performance_last3,3615.3623790740967,54.0
last2_adjusted_performance,3501.155376434326,22.0
weighted_adjusted_performance_last3,3184.8938179016113,46.0
last2_position_advantage,3090.681812286377,68.0
last1_position_advantage,3037.9414253234863,56.0
last3_field_top3_mean_strength_v2,2976.595199584961,56.0
last2_field_top3_mean_strength_v2,2561.6978034973145,48.0
last3_position_advantage,2430.9891929626465,56.0
condition_code_12,2394.5525550842285,44.0
best_margin_last3,2371.49755859375,16.0
recent3_win_rate,2326.1667861938477,52.0
last1_margin_x_winner_strength_v2,2216.1091918945312,12.0
last1_adjusted_performance,2078.678606033325,28.0
last1_race_first_prize,1843.7238082885742,34.0
race_total_top5_prize,1645.373010635376,36.0
last3_finish,1573.5023975372314,34.0
last2_field_strength_v2,1351.4052238464355,36.0
last3_field_strength,1326.084186553955,22.0
last1_class_grade:E|condition:11,1276.066795349121,32.0
last2_distance,1252.4128074645996,30.0
last1_field_strength_v2,1196.728406906128,30.0
setup_improvement,1131.437370300293,22.0
race_third_prize,1051.581211090088,22.0
mean_race_prize_last3,988.7808036804199,16.0
career_wins,977.8975982666016,12.0
last3_field_strength_v2,950.5396118164062,22.0
condition_code_11,832.3196029663086,10.0
last3_raw_performance,801.2611999511719,16.0
last1_field_strength,796.2127990722656,24.0
racecourse_福島,783.7146034240723,24.0
max_race_prize_last3,772.2134056091309,12.0
recent5_win_rate,739.609001159668,22.0
last3_adjusted_performance,698.4405975341797,8.0
last2_margin_x_prize_strength,668.1721992492676,20.0
weighted_race_prize_last3,631.9585990905762,16.0
race_position_bias_last1,570.8603935241699,22.0
racecourse_東京,527.5507965087891,16.0
mean_winner_strength_last3,493.81499099731445,16.0
last3_distance,447.77619552612305,18.0
margin_x_winner_strength,420.25060272216797,12.0
race_class_score,407.1343879699707,6.0
last2_class_grade:E|condition:11,399.80820083618164,16.0
last1_margin,363.9031982421875,10.0
last2_race_first_prize,360.8668022155762,10.0
race_second_prize,320.39939880371094,12.0
last1_winner_strength,300.48019790649414,8.0
last2_margin_x_winner_strength_v2,290.79998779296875,2.0
last3_class_grade:unknown|condition:14,259.15820121765137,10.0
last1_winner_strength_v2,223.1700038909912,10.0
career_places,205.43719863891602,8.0
last1_winner_mean_prize_before_target,197.3179988861084,8.0
races_last_365d,191.74599838256836,8.0
last2_winner_strength_v2,179.61399459838867,4.0
max_winner_strength_last3,165.2178020477295,6.0
last2_class_grade:unknown|condition:14,161.79179763793945,6.0
racecourse_小倉,140.55340194702148,6.0
last1_class_grade:unknown|condition:11,139.63039779663086,6.0
last3_winner_strength_v2,133.28550148010254,8.0
last2_class_grade:unknown|condition:13,130.08660125732422,4.0
last2_winner_max_prize_before_target,128.29279899597168,6.0
last3_field_max_strength_v2,123.88899993896484,4.0
last2_winner_mean_prize_before_target,121.63339805603027,6.0
weighted_race_class_last3,117.74640274047852,6.0
last2_field_max_strength_v2,111.79980087280273,6.0
last3_winner_mean_prize_before_target,100.68360137939453,6.0
last3_margin_x_winner_strength_v2,96.63479995727539,6.0
last2_class_grade:unknown|condition:11,85.8323974609375,4.0
last3_class_grade:unknown|condition:13,84.57799911499023,6.0
last1_winner_max_prize_before_target,80.72791957855225,6.0
hidden_strength_last3,79.95919990539551,4.0
hidden_strength_last1,78.87519836425781,4.0
max_hidden_strength_last3,76.89019775390625,4.0
hidden_strength_x_race_strength,75.97620010375977,4.0
racecourse_新潟,72.21139907836914,4.0
last1_field_max_strength_v2,61.40485954284668,6.0
weighted_winner_strength_last3,57.48720169067383,2.0
last2_winner_strength,47.988399505615234,2.0
last2_class_grade:E|condition:13,46.6525993347168,2.0
last2_field_strength,45.99580001831055,2.0
last3_margin_x_prize_strength,39.65299987792969,2.0
condition_code_18,36.78860092163086,2.0
race_class_change,35.34000015258789,2.0
strong_against_bias_last1,35.2052001953125,2.0
last3_winner_best_win_class_before_target,34.00299835205078,2.0
last3_margin,33.56100082397461,2.0
race_position_bias_last2,33.237998962402344,2.0
last1_class_grade:unknown|condition:13,32.1973991394043,2.0
race_position_bias_last3,31.25119972229004,2.0
last3_race_first_prize,24.64780044555664,2.0
last3_winner_max_prize_before_target,19.50079917907715,2.0
last2_margin,0.0,0.0
last3_winner_strength,0.0,0.0
opponent_history_missing_last3,0.0,0.0
last1_winner_max_race_class_before_target,0.0,0.0
last2_winner_max_race_class_before_target,0.0,0.0
last3_winner_max_race_class_before_target,0.0,0.0
last1_winner_best_win_class_before_target,0.0,0.0
last2_winner_best_win_class_before_target,0.0,0.0
hidden_strength_last2,0.0,0.0
max_strong_against_bias_last3,0.0,0.0
strong_against_bias_last2,0.0,0.0
strong_against_bias_last3,0.0,0.0
current_race_class_score,0.0,0.0
last1_race_class_score,0.0,0.0
last2_race_class_score,0.0,0.0
last3_race_class_score,0.0,0.0
max_race_class_last3,0.0,0.0
mean_race_class_last3,0.0,0.0
last1_margin_x_race_class,0.0,0.0
last2_margin_x_race_class,0.0,0.0
last3_margin_x_race_class,0.0,0.0
is_filly_mare_only,0.0,0.0
is_2yo_only,0.0,0.0
is_3yo_only,0.0,0.0
last1_is_filly_mare_only,0.0,0.0
last2_is_filly_mare_only,0.0,0.0
last3_is_filly_mare_only,0.0,0.0
female_only_to_open,0.0,0.0
open_to_female_only,0.0,0.0
age_condition_change,0.0,0.0
race_first_prize_log,0.0,0.0
race_total_top5_prize_log,0.0,0.0
last1_race_first_prize_log,0.0,0.0
last2_race_first_prize_log,0.0,0.0
last3_race_first_prize_log,0.0,0.0
racecourse_中京,0.0,0.0
racecourse_中山,0.0,0.0
racecourse_京都,0.0,0.0
racecourse_函館,0.0,0.0
racecourse_札幌,0.0,0.0
racecourse_阪神,0.0,0.0
racecourse_nan,0.0,0.0
surface_芝,0.0,0.0
surface_nan,0.0,0.0
grade_code_A,0.0,0.0
grade_code_B,0.0,0.0
grade_code_C,0.0,0.0
grade_code_D,0.0,0.0
grade_code_E,0.0,0.0
grade_code_F,0.0,0.0
grade_code_G,0.0,0.0
grade_code_H,0.0,0.0
grade_code_L,0.0,0.0
grade_code_unknown,0.0,0.0
grade_code_nan,0.0,0.0
condition_code_14,0.0,0.0
condition_code_19,0.0,0.0
condition_code_nan,0.0,0.0
last1_class_grade:A|condition:11,0.0,0.0
last1_class_grade:A|condition:12,0.0,0.0
last1_class_grade:A|condition:13,0.0,0.0
