feature,gain,split
last1_raw_performance,138006.94593143463,50.0
mean_adjusted_performance_last3,69982.10094833374,119.0
last1_finish,63973.11061668396,82.0
career_place_rate,38667.172161102295,112.0
recent5_place_rate,28060.671922683716,29.0
mean_margin_last3,22060.231481552124,50.0
field_size,21794.783288002014,182.0
prize_ratio_vs_last3_mean,18437.80593776703,201.0
prize_change_from_last3_mean,17046.461305618286,59.0
career_races,14088.042033195496,158.0
best_strong_opponent_performance_last3,11720.975481033325,39.0
race_first_prize,7901.975189208984,70.0
current_distance,7125.286638259888,124.0
last2_finish,7017.3808879852295,44.0
recent3_place_rate,6706.077941894531,4.0
last2_raw_performance,6655.246719360352,31.0
prize_change_from_last1,6637.508595466614,13.0
prize_ratio_vs_last1,6395.862144470215,41.0
last1_margin_x_prize_strength,5773.742540359497,28.0
weighted_margin_last3,5481.855522155762,54.0
career_win_rate,4708.139400482178,77.0
last1_distance,4121.793510437012,75.0
last1_field_top3_mean_strength_v2,3061.288004875183,58.0
margin_x_field_strength,2994.2403593063354,31.0
races_last_180d,2670.7853832244873,52.0
condition_code_13,2047.9764070510864,35.0
best_adjusted_performance_last3,1913.6195783615112,25.0
weighted_adjusted_performance_last3,1719.5133037567139,24.0
last2_position_advantage,1617.9492073059082,35.0
last2_adjusted_performance,1562.4484825134277,14.0
last1_margin_x_winner_strength_v2,1545.6743812561035,8.0
last3_field_top3_mean_strength_v2,1453.1528053283691,25.0
best_margin_last3,1453.1523208618164,5.0
last1_position_advantage,1378.1739044189453,22.0
recent3_win_rate,1273.2038955688477,25.0
last1_race_first_prize,1239.2708950042725,19.0
last3_position_advantage,1235.3589038848877,29.0
condition_code_12,1183.8696899414062,21.0
last3_finish,1115.8641891479492,18.0
last2_field_top3_mean_strength_v2,1081.0485982894897,25.0
race_total_top5_prize,945.5217037200928,17.0
last1_adjusted_performance,752.4225931167603,13.0
last1_class_grade:E|condition:11,691.4488925933838,18.0
career_wins,688.2452926635742,9.0
last2_field_strength_v2,614.9241943359375,14.0
last1_field_strength_v2,592.9107971191406,14.0
setup_improvement,563.6064968109131,12.0
last3_field_strength,558.2990036010742,8.0
last1_winner_strength,545.4148921966553,6.0
last3_field_strength_v2,455.1236972808838,14.0
last2_distance,450.10210514068604,11.0
last3_adjusted_performance,447.7700958251953,6.0
last1_field_strength,407.58890438079834,12.0
last2_margin_x_prize_strength,400.00079917907715,8.0
last3_distance,399.72159576416016,14.0
racecourse_福島,396.9597053527832,12.0
race_position_bias_last1,396.1782007217407,18.0
last3_raw_performance,394.3653984069824,7.0
race_class_score,391.74010276794434,5.0
mean_race_prize_last3,370.0380983352661,7.0
race_third_prize,350.78950119018555,8.0
recent5_win_rate,269.229398727417,9.0
mean_winner_strength_last3,264.02320289611816,9.0
racecourse_東京,258.6595973968506,7.0
weighted_race_prize_last3,247.3393039703369,7.0
condition_code_11,232.76749992370605,5.0
max_race_prize_last3,204.96760368347168,4.0
last2_winner_strength_v2,194.7968044281006,4.0
last2_class_grade:E|condition:11,190.1242971420288,8.0
last1_margin,184.77350234985352,5.0
race_second_prize,179.9453010559082,6.0
last1_winner_mean_prize_before_target,174.40830993652344,6.0
margin_x_winner_strength,157.98470306396484,4.0
last3_class_grade:unknown|condition:14,145.5596981048584,5.0
last2_race_first_prize,142.19549751281738,4.0
racecourse_小倉,109.05209922790527,5.0
career_places,94.58130073547363,4.0
last1_winner_strength_v2,93.78100204467773,4.0
races_last_365d,81.89859962463379,4.0
last2_winner_max_prize_before_target,75.73990154266357,4.0
last3_winner_strength_v2,64.49521064758301,5.0
last3_winner_best_win_class_before_target,63.10710144042969,4.0
weighted_race_class_last3,60.773399353027344,2.0
last1_sex_condition_OPEN_SEX,57.36360168457031,1.0
last3_winner_max_prize_before_target,51.149189949035645,4.0
last2_class_grade:E|condition:13,50.51539993286133,2.0
hidden_strength_last3,47.48989963531494,3.0
last1_winner_max_prize_before_target,46.22218942642212,4.0
last3_field_max_strength_v2,46.172298431396484,1.0
last2_class_grade:unknown|condition:11,44.5901985168457,1.0
last2_field_max_strength_v2,43.921600341796875,2.0
last3_margin_x_winner_strength_v2,41.54520034790039,2.0
last3_margin_x_prize_strength,41.36820030212402,2.0
last3_class_grade:unknown|condition:11,40.157798767089844,1.0
hidden_strength_x_race_strength,38.554800033569336,2.0
last1_class_grade:E|condition:13,38.13050079345703,1.0
hidden_strength_last1,37.11579895019531,2.0
racecourse_新潟,37.07699966430664,2.0
last3_race_first_prize,36.91559982299805,2.0
race_position_bias_last3,35.00170040130615,2.0
last1_field_max_strength_v2,31.016730308532715,3.0
last2_winner_mean_prize_before_target,28.770499229431152,2.0
max_winner_strength_last3,28.704700469970703,1.0
last2_class_grade:unknown|condition:19,28.149099349975586,1.0
race_class_change,28.1427001953125,2.0
last1_class_grade:unknown|condition:11,27.294400215148926,2.0
last3_winner_strength,26.623899459838867,1.0
last2_field_strength,25.91860008239746,1.0
weighted_winner_strength_last3,24.922199249267578,1.0
last2_class_grade:unknown|condition:14,24.442100524902344,1.0
last3_margin,22.710100173950195,1.0
condition_code_18,21.372499465942383,1.0
max_hidden_strength_last3,18.47760009765625,1.0
last3_class_grade:B|condition:14,18.147199630737305,1.0
grade_code_E,17.422300338745117,1.0
last3_winner_mean_prize_before_target,16.711599349975586,1.0
last2_margin_x_winner_strength_v2,16.420499801635742,1.0
hidden_strength_last2,15.55780029296875,1.0
last3_class_grade:unknown|condition:13,14.425600051879883,1.0
race_position_bias_last2,12.084799766540527,1.0
last2_margin,0.0,0.0
last2_winner_strength,0.0,0.0
opponent_history_missing_last3,0.0,0.0
last1_winner_max_race_class_before_target,0.0,0.0
last2_winner_max_race_class_before_target,0.0,0.0
last3_winner_max_race_class_before_target,0.0,0.0
last1_winner_best_win_class_before_target,0.0,0.0
last2_winner_best_win_class_before_target,0.0,0.0
max_strong_against_bias_last3,0.0,0.0
strong_against_bias_last1,0.0,0.0
strong_against_bias_last2,0.0,0.0
