racecourse,surface,distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
中京,芝,1300～1600m,27,5,0.18518518518518517,54.81481481481482,0.5925925925925926,81.48148148148148,LOW SAMPLE
中京,芝,1700～2000m,28,11,0.39285714285714285,99.28571428571429,0.7857142857142857,98.21428571428571,LOW SAMPLE
中京,芝,2100～2400m,3,1,0.3333333333333333,63.33333333333333,0.3333333333333333,36.666666666666664,LOW SAMPLE
中京,芝,2500m～,4,1,0.25,57.49999999999999,0.5,57.49999999999999,LOW SAMPLE
中京,芝,～1200m,10,2,0.2,46.0,0.7,94.0,LOW SAMPLE
函館,芝,1700～2000m,36,13,0.3611111111111111,108.05555555555554,0.5833333333333334,77.22222222222223,
函館,芝,2100～2400m,2,1,0.5,235.0,1,145.0,LOW SAMPLE
函館,芝,2500m～,4,0,0,0.0,0,0.0,LOW SAMPLE
函館,芝,～1200m,30,8,0.26666666666666666,102.66666666666666,0.6333333333333333,89.66666666666666,
小倉,芝,1700～2000m,39,13,0.3333333333333333,130.0,0.6923076923076923,99.23076923076923,
小倉,芝,2500m～,7,0,0,0.0,0.42857142857142855,61.42857142857143,LOW SAMPLE
小倉,芝,～1200m,26,8,0.3076923076923077,85.76923076923076,0.46153846153846156,69.61538461538461,LOW SAMPLE
新潟,芝,1300～1600m,16,3,0.1875,54.37499999999999,0.625,78.125,LOW SAMPLE
新潟,芝,1700～2000m,30,7,0.23333333333333334,71.66666666666667,0.6,79.33333333333333,
新潟,芝,2100～2400m,2,0,0,0.0,1,120.0,LOW SAMPLE
新潟,芝,2500m～,2,1,0.5,185.0,0.5,80.0,LOW SAMPLE
新潟,芝,～1200m,22,2,0.09090909090909091,27.27272727272727,0.13636363636363635,19.545454545454547,LOW SAMPLE
札幌,芝,1300～1600m,10,5,0.5,144.0,0.7,100.0,LOW SAMPLE
札幌,芝,1700～2000m,41,12,0.2926829268292683,87.5609756097561,0.6341463414634146,89.26829268292683,
札幌,芝,2500m～,4,1,0.25,110.00000000000001,0.5,85.0,LOW SAMPLE
札幌,芝,～1200m,17,5,0.29411764705882354,64.70588235294117,0.47058823529411764,61.1764705882353,LOW SAMPLE
福島,芝,1700～2000m,41,12,0.2926829268292683,83.41463414634146,0.5609756097560976,76.82926829268293,
福島,芝,2500m～,5,1,0.2,66.0,0.6,82.0,LOW SAMPLE
福島,芝,～1200m,26,7,0.2692307692307692,59.61538461538461,0.4230769230769231,63.84615384615384,LOW SAMPLE
