feature,gain,split
last1_raw_performance,277830.71168994904,96.0
mean_adjusted_performance_last3,139430.3706073761,233.0
last1_finish,124397.8294582367,161.0
career_place_rate,77004.8601846695,231.0
recent5_place_rate,57764.96137046814,57.0
field_size,43843.51272678375,357.0
mean_margin_last3,42959.28985118866,96.0
prize_ratio_vs_last3_mean,36553.38503360748,393.0
prize_change_from_last3_mean,34140.43755912781,120.0
career_races,28752.979043006897,307.0
best_strong_opponent_performance_last3,26727.896257400513,86.0
race_first_prize,15978.290515899658,139.0
recent3_place_rate,15964.021076202393,12.0
last2_finish,14447.457096099854,93.0
current_distance,14149.376178741455,246.0
prize_change_from_last1,13386.025117874146,25.0
prize_ratio_vs_last1,12818.910787582397,77.0
last2_raw_performance,11971.878719329834,61.0
last1_margin_x_prize_strength,11817.375413894653,54.0
weighted_margin_last3,10787.495734214783,112.0
career_win_rate,9283.468302726746,155.0
last1_distance,8384.053522109985,150.0
last1_field_top3_mean_strength_v2,6079.3154039382935,120.0
margin_x_field_strength,5839.663531303406,62.0
races_last_180d,5522.906373023987,110.0
weighted_adjusted_performance_last3,4010.053503036499,54.0
condition_code_13,4003.7812929153442,65.0
last2_adjusted_performance,3791.3699836730957,28.0
best_adjusted_performance_last3,3663.0453538894653,48.0
last2_position_advantage,3249.0614099502563,73.0
last3_field_top3_mean_strength_v2,3001.8150005340576,54.0
recent3_win_rate,2776.099983215332,53.0
last1_margin_x_winner_strength_v2,2763.560989379883,15.0
last1_position_advantage,2516.463788986206,43.0
last2_field_top3_mean_strength_v2,2337.1474981307983,51.0
last3_position_advantage,2318.8362998962402,56.0
condition_code_12,2256.8476943969727,43.0
last3_finish,2205.3592205047607,37.0
last1_race_first_prize,2083.940008163452,35.0
race_total_top5_prize,1943.170404434204,38.0
last1_adjusted_performance,1671.8251886367798,26.0
best_margin_last3,1623.5588188171387,9.0
last1_class_grade:E|condition:11,1412.9163875579834,36.0
career_wins,1388.1569786071777,19.0
setup_improvement,1353.6242923736572,27.0
last2_distance,1336.9577112197876,31.0
last1_field_strength_v2,1284.131404876709,28.0
last2_field_strength_v2,1168.564588546753,28.0
mean_race_prize_last3,906.7951984405518,16.0
last1_winner_strength,900.5175914764404,8.0
last3_distance,899.3973007202148,31.0
last3_field_strength,869.7204036712646,14.0
last3_adjusted_performance,864.2983856201172,12.0
racecourse_福島,863.0508041381836,26.0
last3_field_strength_v2,831.6497974395752,25.0
race_third_prize,828.8679943084717,16.0
last2_margin_x_prize_strength,775.1119976043701,18.0
last1_field_strength,774.0315008163452,23.0
race_position_bias_last1,760.3751020431519,33.0
last3_raw_performance,705.5575008392334,16.0
race_class_score,634.810396194458,8.0
recent5_win_rate,593.7218036651611,18.0
condition_code_11,544.8114986419678,10.0
max_race_prize_last3,461.8598098754883,8.0
weighted_race_prize_last3,460.5867118835449,12.0
racecourse_東京,460.14049911499023,14.0
mean_winner_strength_last3,443.57740020751953,16.0
margin_x_winner_strength,393.05540466308594,11.0
last2_class_grade:E|condition:11,336.4026975631714,14.0
last3_class_grade:unknown|condition:14,332.24589920043945,11.0
last1_winner_mean_prize_before_target,307.212308883667,11.0
race_second_prize,279.6957006454468,10.0
last1_margin,274.80950355529785,9.0
career_places,252.13579940795898,9.0
last2_winner_strength_v2,245.75920486450195,6.0
racecourse_小倉,226.221097946167,10.0
