feature,gain,split
last1_raw_performance,136656.7619562149,40.0
mean_adjusted_performance_last3,69353.24374389648,118.0
last1_finish,68283.71038627625,78.0
career_place_rate,38716.51505947113,114.0
recent5_place_rate,23832.591102600098,25.0
field_size,21092.99953174591,162.0
mean_margin_last3,20286.36817932129,35.0
prize_change_from_last3_mean,18406.62244606018,63.0
prize_ratio_vs_last3_mean,17805.490391731262,185.0
career_races,14643.528158187866,150.0
best_strong_opponent_performance_last3,11959.992919921875,32.0
race_first_prize,7575.322419166565,61.0
prize_ratio_vs_last1,7009.854278564453,38.0
last2_raw_performance,6993.826760292053,36.0
last1_margin_x_prize_strength,6604.6854248046875,20.0
weighted_margin_last3,6474.192212104797,74.0
recent3_place_rate,6349.314804077148,5.0
last2_finish,6294.031330108643,37.0
prize_change_from_last1,5469.935108184814,10.0
horse_expected_position,4785.9844007492065,74.0
career_win_rate,4354.439913749695,72.0
last1_distance,3953.163600921631,70.0
current_distance,3508.16348361969,72.0
course_geometry_fit,3356.601099014282,40.0
course_first_corner_distance_m,3198.910264968872,39.0
course_final_straight_m,3086.263786315918,50.0
races_last_180d,2936.801118850708,52.0
last1_field_top3_mean_strength_v2,2790.074193954468,57.0
margin_x_field_strength,2675.4030141830444,28.0
expected_position_mean,1824.3195037841797,43.0
last1_margin_x_winner_strength_v2,1730.767601966858,12.0
expected_position_std,1680.6005859375,18.0
last2_adjusted_performance,1653.2692880630493,11.0
last3_field_top3_mean_strength_v2,1645.9264907836914,32.0
best_margin_last3,1542.4148216247559,9.0
condition_code_13,1482.3213024139404,21.0
weighted_adjusted_performance_last3,1450.390001296997,22.0
best_adjusted_performance_last3,1427.2768125534058,17.0
recent3_win_rate,1316.692611694336,25.0
last1_adjusted_performance,1126.1650981903076,12.0
last1_race_first_prize,979.9155006408691,18.0
last2_field_top3_mean_strength_v2,971.1463031768799,19.0
last3_finish,844.4786014556885,18.0
condition_code_12,843.4717903137207,19.0
course_elevation_difference_m,827.533805847168,19.0
last2_field_strength_v2,800.3180904388428,18.0
career_wins,707.2472076416016,7.0
last1_field_strength_v2,618.6370048522949,15.0
last3_field_strength,596.4860973358154,10.0
last2_position_advantage,560.092601776123,24.0
last1_class_grade:E|condition:11,503.46979904174805,14.0
course_gentle_corners,437.0556049346924,12.0
last3_adjusted_performance,433.5299987792969,5.0
gate_x_expected_position,421.3719997406006,11.0
last2_distance,392.01000213623047,10.0
expected_front_count,377.5965042114258,9.0
last2_margin_x_prize_strength,374.3684997558594,11.0
last3_position_advantage,358.8036985397339,13.0
recent5_win_rate,316.0386962890625,9.0
weighted_race_prize_last3,298.76310634613037,9.0
mean_winner_strength_last3,290.5694007873535,9.0
mean_race_prize_last3,269.3930025100708,5.0
race_third_prize,263.2293014526367,5.0
last3_field_strength_v2,261.740797996521,8.0
max_race_prize_last3,249.5730037689209,3.0
last1_field_strength,249.43499755859375,10.0
last1_position_advantage,221.7815990447998,6.0
last3_distance,204.67589950561523,7.0
course_mostly_flat,177.6391944885254,3.0
races_last_365d,171.75180053710938,7.0
last2_margin_x_winner_strength_v2,170.48569297790527,2.0
last3_raw_performance,161.82510375976562,5.0
rear_density,157.71679782867432,6.0
forward_density,133.90590286254883,3.0
last2_race_first_prize,132.8523998260498,5.0
last2_class_grade:E|condition:11,130.13600063323975,6.0
last2_winner_strength_v2,127.58949851989746,3.0
last3_race_first_prize,126.24250030517578,2.0
last3_margin_x_prize_strength,123.98289680480957,4.0
race_total_top5_prize,112.81400108337402,3.0
last3_field_max_strength_v2,109.13120079040527,5.0
margin_x_winner_strength,103.56790161132812,3.0
race_position_bias_last1,103.3797025680542,6.0
race_class_score,103.10429954528809,2.0
gate_position_pct,100.26739883422852,4.0
last3_class_grade:unknown|condition:14,94.7505989074707,3.0
race_class_change,91.12499904632568,5.0
mid_density,89.8419017791748,4.0
last2_field_max_strength_v2,82.2598991394043,3.0
last1_margin,78.94010162353516,2.0
condition_code_14,77.40119934082031,3.0
max_winner_strength_last3,76.1678991317749,3.0
race_position_bias_last3,68.33619976043701,4.0
last2_class_grade:unknown|condition:11,66.7761001586914,3.0
career_places,59.15420150756836,2.0
last2_field_strength,58.777299880981445,2.0
last1_class_grade:unknown|condition:13,56.20349884033203,2.0
weighted_race_class_last3,50.32119941711426,3.0
last2_class_grade:unknown|condition:14,43.978599548339844,1.0
last3_winner_best_win_class_before_target,43.88800048828125,2.0
last1_winner_mean_prize_before_target,43.0954008102417,4.0
last3_margin,41.56070041656494,2.0
hidden_strength_last1,35.55949878692627,2.0
setup_improvement,34.06060028076172,1.0
last3_class_grade:unknown|condition:13,33.68159866333008,1.0
course_final_uphill,33.315799713134766,1.0
last3_winner_max_prize_before_target,29.497800827026367,1.0
last1_field_max_strength_v2,25.416200637817383,1.0
racecourse_福島,25.409099578857422,1.0
last2_class_grade:E|condition:13,25.144500732421875,1.0
max_strong_against_bias_last3,23.910600662231445,1.0
last1_winner_strength,22.19610023498535,1.0
hidden_strength_x_race_strength,21.059410095214844,2.0
last1_class_grade:unknown|condition:12,19.274999618530273,1.0
hidden_strength_last2,17.848100662231445,1.0
front_density,17.71470069885254,1.0
race_second_prize,16.193300247192383,1.0
strong_against_bias_last1,15.13539981842041,1.0
last1_winner_max_prize_before_target,13.439499855041504,1.0
last1_class_grade:unknown|condition:11,13.273200035095215,1.0
last3_winner_mean_prize_before_target,12.511199951171875,1.0
last2_margin,0.0,0.0
last2_winner_strength,0.0,0.0
last3_winner_strength,0.0,0.0
last1_winner_strength_v2,0.0,0.0
last3_winner_strength_v2,0.0,0.0
last3_margin_x_winner_strength_v2,0.0,0.0
weighted_winner_strength_last3,0.0,0.0
opponent_history_missing_last3,0.0,0.0
last1_winner_max_race_class_before_target,0.0,0.0
last2_winner_max_race_class_before_target,0.0,0.0
last3_winner_max_race_class_before_target,0.0,0.0
last1_winner_best_win_class_before_target,0.0,0.0
last2_winner_best_win_class_before_target,0.0,0.0
last2_winner_max_prize_before_target,0.0,0.0
last2_winner_mean_prize_before_target,0.0,0.0
hidden_strength_last3,0.0,0.0
max_hidden_strength_last3,0.0,0.0
strong_against_bias_last2,0.0,0.0
strong_against_bias_last3,0.0,0.0
race_position_bias_last2,0.0,0.0
course_start_uphill,0.0,0.0
course_start_downhill,0.0,0.0
course_final_downhill,0.0,0.0
course_final_steep_hill,0.0,0.0
course_rolling_terrain,0.0,0.0
course_tight_corners,0.0,0.0
course_up_down_transition_sentence_count,0.0,0.0
position_stability,0.0,0.0
frontness_mean,0.0,0.0
frontness_std,0.0,0.0
current_race_class_score,0.0,0.0
last1_race_class_score,0.0,0.0
last2_race_class_score,0.0,0.0
last3_race_class_score,0.0,0.0
max_race_class_last3,0.0,0.0
mean_race_class_last3,0.0,0.0
last1_margin_x_race_class,0.0,0.0
last2_margin_x_race_class,0.0,0.0
last3_margin_x_race_class,0.0,0.0
is_filly_mare_only,0.0,0.0
is_2yo_only,0.0,0.0
is_3yo_only,0.0,0.0
last1_is_filly_mare_only,0.0,0.0
last2_is_filly_mare_only,0.0,0.0
last3_is_filly_mare_only,0.0,0.0
female_only_to_open,0.0,0.0
open_to_female_only,0.0,0.0
age_condition_change,0.0,0.0
race_first_prize_log,0.0,0.0
race_total_top5_prize_log,0.0,0.0
last1_race_first_prize_log,0.0,0.0
last2_race_first_prize_log,0.0,0.0
last3_race_first_prize_log,0.0,0.0
racecourse_中京,0.0,0.0
racecourse_中山,0.0,0.0
racecourse_京都,0.0,0.0
racecourse_函館,0.0,0.0
racecourse_小倉,0.0,0.0
racecourse_新潟,0.0,0.0
racecourse_札幌,0.0,0.0
racecourse_東京,0.0,0.0
racecourse_阪神,0.0,0.0
racecourse_nan,0.0,0.0
surface_芝,0.0,0.0
surface_nan,0.0,0.0
grade_code_A,0.0,0.0
grade_code_B,0.0,0.0
grade_code_C,0.0,0.0
grade_code_D,0.0,0.0
grade_code_E,0.0,0.0
grade_code_F,0.0,0.0
grade_code_G,0.0,0.0
grade_code_H,0.0,0.0
grade_code_L,0.0,0.0
grade_code_unknown,0.0,0.0
grade_code_nan,0.0,0.0
condition_code_11,0.0,0.0
condition_code_18,0.0,0.0
condition_code_19,0.0,0.0
condition_code_nan,0.0,0.0
last1_class_grade:A|condition:11,0.0,0.0
last1_class_grade:A|condition:12,0.0,0.0
last1_class_grade:A|condition:13,0.0,0.0
last1_class_grade:A|condition:14,0.0,0.0
last1_class_grade:B|condition:11,0.0,0.0
last1_class_grade:B|condition:12,0.0,0.0
last1_class_grade:B|condition:13,0.0,0.0
last1_class_grade:B|condition:14,0.0,0.0
last1_class_grade:C|condition:11,0.0,0.0
last1_class_grade:C|condition:12,0.0,0.0
last1_class_grade:C|condition:13,0.0,0.0
last1_class_grade:C|condition:14,0.0,0.0
last1_class_grade:D|condition:11,0.0,0.0
last1_class_grade:D|condition:12,0.0,0.0
last1_class_grade:D|condition:13,0.0,0.0
last1_class_grade:E|condition:12,0.0,0.0
last1_class_grade:E|condition:13,0.0,0.0
last1_class_grade:E|condition:14,0.0,0.0
last1_class_grade:E|condition:18,0.0,0.0
last1_class_grade:E|condition:19,0.0,0.0
last1_class_grade:F|condition:18,0.0,0.0
last1_class_grade:F|condition:19,0.0,0.0
last1_class_grade:G|condition:18,0.0,0.0
last1_class_grade:G|condition:19,0.0,0.0
last1_class_grade:H|condition:18,0.0,0.0
last1_class_grade:H|condition:19,0.0,0.0
last1_class_grade:L|condition:11,0.0,0.0
last1_class_grade:L|condition:12,0.0,0.0
last1_class_grade:L|condition:13,0.0,0.0
last1_class_grade:L|condition:14,0.0,0.0
last1_class_grade:unknown|condition:14,0.0,0.0
last1_class_grade:unknown|condition:18,0.0,0.0
last1_class_grade:unknown|condition:19,0.0,0.0
last1_class_unknown,0.0,0.0
last1_class_nan,0.0,0.0
last2_class_grade:A|condition:11,0.0,0.0
last2_class_grade:A|condition:12,0.0,0.0
last2_class_grade:A|condition:13,0.0,0.0
last2_class_grade:A|condition:14,0.0,0.0
last2_class_grade:B|condition:11,0.0,0.0
last2_class_grade:B|condition:12,0.0,0.0
last2_class_grade:B|condition:13,0.0,0.0
last2_class_grade:B|condition:14,0.0,0.0
last2_class_grade:C|condition:11,0.0,0.0
last2_class_grade:C|condition:12,0.0,0.0
last2_class_grade:C|condition:13,0.0,0.0
last2_class_grade:C|condition:14,0.0,0.0
last2_class_grade:D|condition:11,0.0,0.0
last2_class_grade:D|condition:12,0.0,0.0
last2_class_grade:D|condition:13,0.0,0.0
last2_class_grade:E|condition:12,0.0,0.0
last2_class_grade:E|condition:14,0.0,0.0
last2_class_grade:E|condition:18,0.0,0.0
last2_class_grade:E|condition:19,0.0,0.0
last2_class_grade:F|condition:18,0.0,0.0
last2_class_grade:F|condition:19,0.0,0.0
last2_class_grade:G|condition:18,0.0,0.0
last2_class_grade:G|condition:19,0.0,0.0
last2_class_grade:H|condition:18,0.0,0.0
last2_class_grade:H|condition:19,0.0,0.0
last2_class_grade:L|condition:11,0.0,0.0
last2_class_grade:L|condition:12,0.0,0.0
last2_class_grade:L|condition:13,0.0,0.0
last2_class_grade:L|condition:14,0.0,0.0
last2_class_grade:unknown|condition:12,0.0,0.0
last2_class_grade:unknown|condition:13,0.0,0.0
last2_class_grade:unknown|condition:18,0.0,0.0
last2_class_grade:unknown|condition:19,0.0,0.0
last2_class_unknown,0.0,0.0
last2_class_nan,0.0,0.0
last3_class_grade:A|condition:11,0.0,0.0
last3_class_grade:A|condition:12,0.0,0.0
last3_class_grade:A|condition:13,0.0,0.0
last3_class_grade:A|condition:14,0.0,0.0
last3_class_grade:B|condition:11,0.0,0.0
last3_class_grade:B|condition:12,0.0,0.0
last3_class_grade:B|condition:13,0.0,0.0
last3_class_grade:B|condition:14,0.0,0.0
last3_class_grade:C|condition:11,0.0,0.0
last3_class_grade:C|condition:12,0.0,0.0
last3_class_grade:C|condition:13,0.0,0.0
last3_class_grade:C|condition:14,0.0,0.0
last3_class_grade:D|condition:11,0.0,0.0
last3_class_grade:D|condition:12,0.0,0.0
last3_class_grade:D|condition:13,0.0,0.0
last3_class_grade:E|condition:11,0.0,0.0
last3_class_grade:E|condition:12,0.0,0.0
last3_class_grade:E|condition:13,0.0,0.0
last3_class_grade:E|condition:14,0.0,0.0
last3_class_grade:E|condition:18,0.0,0.0
last3_class_grade:E|condition:19,0.0,0.0
last3_class_grade:F|condition:18,0.0,0.0
last3_class_grade:F|condition:19,0.0,0.0
last3_class_grade:G|condition:18,0.0,0.0
last3_class_grade:G|condition:19,0.0,0.0
last3_class_grade:H|condition:18,0.0,0.0
last3_class_grade:H|condition:19,0.0,0.0
last3_class_grade:L|condition:11,0.0,0.0
last3_class_grade:L|condition:12,0.0,0.0
last3_class_grade:L|condition:13,0.0,0.0
last3_class_grade:L|condition:14,0.0,0.0
last3_class_grade:unknown|condition:11,0.0,0.0
last3_class_grade:unknown|condition:12,0.0,0.0
last3_class_grade:unknown|condition:18,0.0,0.0
last3_class_grade:unknown|condition:19,0.0,0.0
last3_class_unknown,0.0,0.0
last3_class_nan,0.0,0.0
race_class_label_G1,0.0,0.0
race_class_label_G2,0.0,0.0
race_class_label_G3,0.0,0.0
race_class_label_LISTED,0.0,0.0
race_class_label_OPEN,0.0,0.0
race_class_label_UNKNOWN,0.0,0.0
race_class_label_nan,0.0,0.0
last1_race_class_G1,0.0,0.0
last1_race_class_G2,0.0,0.0
last1_race_class_G3,0.0,0.0
last1_race_class_LISTED,0.0,0.0
last1_race_class_OPEN,0.0,0.0
last1_race_class_UNKNOWN,0.0,0.0
last1_race_class_nan,0.0,0.0
last2_race_class_G1,0.0,0.0
last2_race_class_G2,0.0,0.0
last2_race_class_G3,0.0,0.0
last2_race_class_LISTED,0.0,0.0
last2_race_class_OPEN,0.0,0.0
last2_race_class_UNKNOWN,0.0,0.0
last2_race_class_nan,0.0,0.0
last3_race_class_G1,0.0,0.0
last3_race_class_G2,0.0,0.0
last3_race_class_G3,0.0,0.0
last3_race_class_LISTED,0.0,0.0
last3_race_class_OPEN,0.0,0.0
last3_race_class_UNKNOWN,0.0,0.0
last3_race_class_nan,0.0,0.0
race_sex_condition_FEMALE_ONLY,0.0,0.0
race_sex_condition_OPEN_SEX,0.0,0.0
race_sex_condition_nan,0.0,0.0
race_age_condition_TWO_YEAR_OLD_ONLY,0.0,0.0
race_age_condition_UNKNOWN,0.0,0.0
race_age_condition_nan,0.0,0.0
last1_sex_condition_FEMALE_ONLY,0.0,0.0
last1_sex_condition_OPEN_SEX,0.0,0.0
last1_sex_condition_UNKNOWN,0.0,0.0
last1_sex_condition_nan,0.0,0.0
last2_sex_condition_FEMALE_ONLY,0.0,0.0
last2_sex_condition_OPEN_SEX,0.0,0.0
last2_sex_condition_UNKNOWN,0.0,0.0
last2_sex_condition_nan,0.0,0.0
last3_sex_condition_FEMALE_ONLY,0.0,0.0
last3_sex_condition_OPEN_SEX,0.0,0.0
last3_sex_condition_UNKNOWN,0.0,0.0
last3_sex_condition_nan,0.0,0.0
last1_age_condition_TWO_YEAR_OLD_ONLY,0.0,0.0
last1_age_condition_UNKNOWN,0.0,0.0
last1_age_condition_nan,0.0,0.0
last2_age_condition_TWO_YEAR_OLD_ONLY,0.0,0.0
last2_age_condition_UNKNOWN,0.0,0.0
last2_age_condition_nan,0.0,0.0
last3_age_condition_TWO_YEAR_OLD_ONLY,0.0,0.0
last3_age_condition_UNKNOWN,0.0,0.0
last3_age_condition_nan,0.0,0.0
