class,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
grade:C|condition:11,1,0,0,0.0,1,170.0,LOW SAMPLE
grade:C|condition:12,1,0,0,0.0,1,130.0,LOW SAMPLE
grade:C|condition:13,9,3,0.3333333333333333,115.55555555555554,0.4444444444444444,72.22222222222221,LOW SAMPLE
grade:E|condition:11,2,0,0,0.0,0.5,55.00000000000001,LOW SAMPLE
grade:E|condition:13,94,23,0.24468085106382978,59.57446808510638,0.574468085106383,79.04255319148936,
grade:E|condition:18,1,0,0,0.0,1,110.00000000000001,LOW SAMPLE
grade:L|condition:13,3,0,0,0.0,0,0.0,LOW SAMPLE
grade:unknown|condition:11,75,15,0.2,46.0,0.44,86.53333333333333,
grade:unknown|condition:12,138,39,0.2826086956521739,87.2463768115942,0.6304347826086957,85.43478260869564,
grade:unknown|condition:13,96,23,0.23958333333333334,69.47916666666667,0.5520833333333334,75.9375,
grade:unknown|condition:18,12,3,0.25,77.5,0.4166666666666667,55.00000000000001,LOW SAMPLE
