racecourse,surface,distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
中京,芝,1300～1600m,27,5,0.18518518518518517,54.81481481481482,0.5555555555555556,76.29629629629629,LOW SAMPLE
中京,芝,1700～2000m,28,11,0.39285714285714285,99.28571428571429,0.7857142857142857,125.71428571428571,LOW SAMPLE
中京,芝,2100～2400m,3,1,0.3333333333333333,63.33333333333333,0.6666666666666666,36.666666666666664,LOW SAMPLE
中京,芝,2500m～,4,1,0.25,57.49999999999999,0.5,57.49999999999999,LOW SAMPLE
中京,芝,～1200m,10,2,0.2,46.0,0.7,94.0,LOW SAMPLE
函館,芝,1700～2000m,36,10,0.2777777777777778,88.61111111111111,0.5277777777777778,90.27777777777779,
函館,芝,2100～2400m,2,1,0.5,235.0,1,145.0,LOW SAMPLE
函館,芝,2500m～,4,0,0,0.0,0,0.0,LOW SAMPLE
函館,芝,～1200m,30,7,0.23333333333333334,53.333333333333336,0.7,104.33333333333333,
小倉,芝,1700～2000m,39,8,0.20512820512820512,68.71794871794872,0.5897435897435898,80.25641025641026,
小倉,芝,2500m～,7,0,0,0.0,0.2857142857142857,34.285714285714285,LOW SAMPLE
小倉,芝,～1200m,26,6,0.23076923076923078,58.84615384615385,0.4230769230769231,66.92307692307692,LOW SAMPLE
新潟,芝,1300～1600m,16,3,0.1875,54.37499999999999,0.5625,71.25,LOW SAMPLE
新潟,芝,1700～2000m,30,7,0.23333333333333334,73.0,0.6333333333333333,92.33333333333333,
新潟,芝,2100～2400m,2,0,0,0.0,1,120.0,LOW SAMPLE
新潟,芝,2500m～,2,1,0.5,185.0,0.5,80.0,LOW SAMPLE
新潟,芝,～1200m,22,4,0.18181818181818182,49.54545454545455,0.2727272727272727,48.63636363636364,LOW SAMPLE
札幌,芝,1300～1600m,10,3,0.3,89.0,0.6,87.0,LOW SAMPLE
札幌,芝,1700～2000m,41,11,0.2682926829268293,72.4390243902439,0.6341463414634146,89.26829268292683,
札幌,芝,2500m～,4,1,0.25,110.00000000000001,0.5,85.0,LOW SAMPLE
札幌,芝,～1200m,17,5,0.29411764705882354,64.70588235294117,0.47058823529411764,61.1764705882353,LOW SAMPLE
福島,芝,1700～2000m,41,11,0.2682926829268293,73.41463414634146,0.5121951219512195,68.04878048780488,
福島,芝,2500m～,5,1,0.2,66.0,0.6,82.0,LOW SAMPLE
福島,芝,～1200m,26,7,0.2692307692307692,71.53846153846153,0.4230769230769231,65.38461538461539,LOW SAMPLE
