feature,gain,split
last1_raw_performance,274313.582157135,68.0
mean_adjusted_performance_last3,140491.1552734375,220.0
last1_finish,126265.36781311035,166.0
career_place_rate,76966.43377304077,222.0
recent5_place_rate,54440.70333480835,50.0
mean_margin_last3,43729.765197753906,70.0
field_size,42562.363916397095,322.0
prize_ratio_vs_last3_mean,37609.118505477905,374.0
prize_change_from_last3_mean,33199.3464717865,116.0
career_races,29523.042030334473,318.0
best_strong_opponent_performance_last3,23283.269947052002,64.0
recent3_place_rate,14861.837982177734,14.0
last2_raw_performance,14425.975444793701,70.0
race_first_prize,14237.208763122559,116.0
prize_change_from_last1,13426.146881103516,24.0
weighted_margin_last3,13173.370523452759,138.0
last2_finish,13047.213764190674,70.0
prize_ratio_vs_last1,12589.143482208252,84.0
last1_margin_x_prize_strength,11830.9183883667,46.0
horse_expected_position,9638.774803161621,142.0
last1_distance,8242.168605804443,144.0
career_win_rate,7567.88360786438,122.0
course_geometry_fit,6963.8796463012695,90.0
current_distance,6304.820371627808,140.0
margin_x_field_strength,6229.693134307861,60.0
races_last_180d,6015.722583770752,120.0
course_final_straight_m,5985.174011230469,94.0
last1_field_top3_mean_strength_v2,5602.9295864105225,106.0
course_first_corner_distance_m,5153.486541748047,66.0
condition_code_13,3658.2210006713867,50.0
expected_position_mean,3595.1018104553223,92.0
expected_position_std,3584.3023986816406,42.0
last3_field_top3_mean_strength_v2,3503.4496116638184,62.0
best_adjusted_performance_last3,3486.4651374816895,40.0
weighted_adjusted_performance_last3,3177.3554096221924,38.0
last2_adjusted_performance,2961.9469871520996,28.0
last1_margin_x_winner_strength_v2,2789.107822418213,20.0
recent3_win_rate,2480.7830085754395,52.0
last1_adjusted_performance,2348.234634399414,36.0
last2_field_top3_mean_strength_v2,2297.67578125,48.0
course_elevation_difference_m,1773.1941986083984,46.0
last1_race_first_prize,1761.8221855163574,32.0
last3_finish,1680.9800033569336,36.0
career_wins,1627.1447715759277,18.0
condition_code_12,1231.9288024902344,26.0
last2_position_advantage,1180.6252002716064,40.0
course_gentle_corners,1044.9583854675293,28.0
last2_distance,1038.3582000732422,20.0
last3_adjusted_performance,1037.5626182556152,18.0
last1_field_strength_v2,1034.0503902435303,28.0
last1_class_grade:E|condition:11,1006.5149917602539,26.0
last1_winner_strength,975.7931785583496,10.0
best_margin_last3,972.0251998901367,18.0
max_race_prize_last3,963.9301872253418,10.0
last3_field_strength_v2,946.5017852783203,24.0
gate_x_expected_position,896.9537963867188,24.0
last2_field_strength_v2,871.857006072998,22.0
last2_margin_x_prize_strength,851.8018035888672,22.0
last3_field_strength,800.2383880615234,16.0
last1_position_advantage,673.0752010345459,18.0
weighted_race_prize_last3,667.5514068603516,20.0
last3_position_advantage,620.0320053100586,20.0
expected_front_count,598.0919876098633,12.0
gate_position_pct,536.7089958190918,12.0
recent5_win_rate,530.9705963134766,16.0
race_total_top5_prize,494.0964012145996,10.0
mean_race_prize_last3,472.74180603027344,8.0
last1_field_strength,377.29660415649414,16.0
mean_winner_strength_last3,373.8914031982422,12.0
rear_density,368.90940284729004,10.0
race_class_score,343.85400390625,2.0
last2_winner_strength_v2,337.9429988861084,10.0
course_mostly_flat,326.09559631347656,6.0
race_position_bias_last1,291.38640213012695,16.0
mid_density,275.27760314941406,12.0
last3_margin_x_prize_strength,268.4183921813965,10.0
last3_class_grade:unknown|condition:14,252.94099807739258,10.0
last3_field_max_strength_v2,219.03040504455566,10.0
course_final_uphill,213.92660522460938,6.0
race_second_prize,209.14500427246094,8.0
condition_code_14,206.30280303955078,6.0
race_third_prize,194.68560791015625,4.0
races_last_365d,182.18960189819336,8.0
last3_distance,174.31919860839844,8.0
last2_race_first_prize,173.23419952392578,6.0
last3_raw_performance,167.91019439697266,6.0
margin_x_winner_strength,166.19100189208984,4.0
setup_improvement,165.87100219726562,4.0
last1_margin,162.05800247192383,4.0
last2_field_max_strength_v2,151.8002052307129,6.0
race_class_change,144.44859886169434,8.0
last2_class_grade:unknown|condition:11,144.1417999267578,6.0
last2_winner_strength,112.37319946289062,6.0
hidden_strength_last2,111.01620101928711,6.0
race_position_bias_last3,108.76000022888184,6.0
last2_class_grade:E|condition:11,107.96599960327148,4.0
forward_density,104.53580093383789,6.0
last2_class_grade:unknown|condition:14,100.13459777832031,2.0
last3_race_first_prize,98.64000129699707,6.0
last1_class_grade:unknown|condition:13,98.35699844360352,4.0
career_places,96.26000213623047,2.0
last1_winner_mean_prize_before_target,95.58434104919434,6.0
last3_winner_strength,86.05020141601562,4.0
last2_winner_mean_prize_before_target,84.29100036621094,4.0
hidden_strength_last1,78.29980087280273,4.0
max_winner_strength_last3,73.9880599975586,6.0
last1_winner_max_prize_before_target,71.68319702148438,4.0
weighted_race_class_last3,68.15860176086426,4.0
last3_margin,67.04180145263672,4.0
last1_winner_strength_v2,64.59519958496094,4.0
last2_field_strength,63.01980018615723,4.0
last2_margin_x_winner_strength_v2,56.19260025024414,2.0
last3_class_grade:unknown|condition:13,50.55659866333008,2.0
last1_field_max_strength_v2,49.2859992980957,2.0
weighted_winner_strength_last3,44.53160095214844,2.0
position_stability,42.140201568603516,2.0
last3_winner_best_win_class_before_target,38.27159881591797,2.0
racecourse_福島,33.214599609375,2.0
front_density,32.25239944458008,2.0
max_hidden_strength_last3,31.712799072265625,2.0
racecourse_阪神,30.80120086669922,2.0
last3_winner_strength_v2,30.67959976196289,2.0
hidden_strength_last3,29.170400619506836,2.0
race_position_bias_last2,27.73780059814453,2.0
racecourse_新潟,26.44339942932129,2.0
hidden_strength_x_race_strength,25.82740020751953,2.0
last3_winner_mean_prize_before_target,24.3843994140625,2.0
last2_margin,0.0,0.0
last3_margin_x_winner_strength_v2,0.0,0.0
opponent_history_missing_last3,0.0,0.0
last1_winner_max_race_class_before_target,0.0,0.0
last2_winner_max_race_class_before_target,0.0,0.0
last3_winner_max_race_class_before_target,0.0,0.0
last1_winner_best_win_class_before_target,0.0,0.0
last2_winner_best_win_class_before_target,0.0,0.0
last2_winner_max_prize_before_target,0.0,0.0
last3_winner_max_prize_before_target,0.0,0.0
max_strong_against_bias_last3,0.0,0.0
strong_against_bias_last1,0.0,0.0
strong_against_bias_last2,0.0,0.0
strong_against_bias_last3,0.0,0.0
course_start_uphill,0.0,0.0
course_start_downhill,0.0,0.0
course_final_downhill,0.0,0.0
course_final_steep_hill,0.0,0.0
course_rolling_terrain,0.0,0.0
course_tight_corners,0.0,0.0
course_up_down_transition_sentence_count,0.0,0.0
frontness_mean,0.0,0.0
frontness_std,0.0,0.0
current_race_class_score,0.0,0.0
last1_race_class_score,0.0,0.0
last2_race_class_score,0.0,0.0
last3_race_class_score,0.0,0.0
max_race_class_last3,0.0,0.0
mean_race_class_last3,0.0,0.0
last1_margin_x_race_class,0.0,0.0
last2_margin_x_race_class,0.0,0.0
last3_margin_x_race_class,0.0,0.0
is_filly_mare_only,0.0,0.0
is_2yo_only,0.0,0.0
is_3yo_only,0.0,0.0
last1_is_filly_mare_only,0.0,0.0
last2_is_filly_mare_only,0.0,0.0
last3_is_filly_mare_only,0.0,0.0
female_only_to_open,0.0,0.0
open_to_female_only,0.0,0.0
age_condition_change,0.0,0.0
race_first_prize_log,0.0,0.0
race_total_top5_prize_log,0.0,0.0
last1_race_first_prize_log,0.0,0.0
last2_race_first_prize_log,0.0,0.0
last3_race_first_prize_log,0.0,0.0
racecourse_中京,0.0,0.0
racecourse_中山,0.0,0.0
racecourse_京都,0.0,0.0
racecourse_函館,0.0,0.0
racecourse_小倉,0.0,0.0
racecourse_札幌,0.0,0.0
racecourse_東京,0.0,0.0
racecourse_nan,0.0,0.0
surface_芝,0.0,0.0
surface_nan,0.0,0.0
grade_code_A,0.0,0.0
grade_code_B,0.0,0.0
grade_code_C,0.0,0.0
grade_code_D,0.0,0.0
grade_code_E,0.0,0.0
grade_code_F,0.0,0.0
grade_code_G,0.0,0.0
grade_code_H,0.0,0.0
grade_code_L,0.0,0.0
grade_code_unknown,0.0,0.0
grade_code_nan,0.0,0.0
condition_code_11,0.0,0.0
condition_code_18,0.0,0.0
condition_code_19,0.0,0.0
condition_code_nan,0.0,0.0
last1_class_grade:A|condition:11,0.0,0.0
last1_class_grade:A|condition:12,0.0,0.0
last1_class_grade:A|condition:13,0.0,0.0
last1_class_grade:A|condition:14,0.0,0.0
last1_class_grade:B|condition:11,0.0,0.0
last1_class_grade:B|condition:12,0.0,0.0
last1_class_grade:B|condition:13,0.0,0.0
last1_class_grade:B|condition:14,0.0,0.0
last1_class_grade:C|condition:11,0.0,0.0
last1_class_grade:C|condition:12,0.0,0.0
last1_class_grade:C|condition:13,0.0,0.0
last1_class_grade:C|condition:14,0.0,0.0
last1_class_grade:D|condition:11,0.0,0.0
last1_class_grade:D|condition:12,0.0,0.0
last1_class_grade:D|condition:13,0.0,0.0
last1_class_grade:E|condition:12,0.0,0.0
last1_class_grade:E|condition:13,0.0,0.0
last1_class_grade:E|condition:14,0.0,0.0
last1_class_grade:E|condition:18,0.0,0.0
last1_class_grade:E|condition:19,0.0,0.0
last1_class_grade:F|condition:18,0.0,0.0
last1_class_grade:F|condition:19,0.0,0.0
last1_class_grade:G|condition:18,0.0,0.0
last1_class_grade:G|condition:19,0.0,0.0
last1_class_grade:H|condition:18,0.0,0.0
last1_class_grade:H|condition:19,0.0,0.0
last1_class_grade:L|condition:11,0.0,0.0
last1_class_grade:L|condition:12,0.0,0.0
last1_class_grade:L|condition:13,0.0,0.0
last1_class_grade:L|condition:14,0.0,0.0
last1_class_grade:unknown|condition:11,0.0,0.0
last1_class_grade:unknown|condition:12,0.0,0.0
last1_class_grade:unknown|condition:14,0.0,0.0
last1_class_grade:unknown|condition:18,0.0,0.0
last1_class_grade:unknown|condition:19,0.0,0.0
last1_class_unknown,0.0,0.0
last1_class_nan,0.0,0.0
last2_class_grade:A|condition:11,0.0,0.0
last2_class_grade:A|condition:12,0.0,0.0
last2_class_grade:A|condition:13,0.0,0.0
last2_class_grade:A|condition:14,0.0,0.0
last2_class_grade:B|condition:11,0.0,0.0
last2_class_grade:B|condition:12,0.0,0.0
last2_class_grade:B|condition:13,0.0,0.0
last2_class_grade:B|condition:14,0.0,0.0
last2_class_grade:C|condition:11,0.0,0.0
last2_class_grade:C|condition:12,0.0,0.0
last2_class_grade:C|condition:13,0.0,0.0
last2_class_grade:C|condition:14,0.0,0.0
last2_class_grade:D|condition:11,0.0,0.0
last2_class_grade:D|condition:12,0.0,0.0
last2_class_grade:D|condition:13,0.0,0.0
last2_class_grade:E|condition:12,0.0,0.0
last2_class_grade:E|condition:13,0.0,0.0
last2_class_grade:E|condition:14,0.0,0.0
last2_class_grade:E|condition:18,0.0,0.0
last2_class_grade:E|condition:19,0.0,0.0
last2_class_grade:F|condition:18,0.0,0.0
last2_class_grade:F|condition:19,0.0,0.0
last2_class_grade:G|condition:18,0.0,0.0
last2_class_grade:G|condition:19,0.0,0.0
last2_class_grade:H|condition:18,0.0,0.0
last2_class_grade:H|condition:19,0.0,0.0
last2_class_grade:L|condition:11,0.0,0.0
last2_class_grade:L|condition:12,0.0,0.0
last2_class_grade:L|condition:13,0.0,0.0
last2_class_grade:L|condition:14,0.0,0.0
last2_class_grade:unknown|condition:12,0.0,0.0
last2_class_grade:unknown|condition:13,0.0,0.0
last2_class_grade:unknown|condition:18,0.0,0.0
last2_class_grade:unknown|condition:19,0.0,0.0
last2_class_unknown,0.0,0.0
last2_class_nan,0.0,0.0
last3_class_grade:A|condition:11,0.0,0.0
last3_class_grade:A|condition:12,0.0,0.0
last3_class_grade:A|condition:13,0.0,0.0
last3_class_grade:A|condition:14,0.0,0.0
last3_class_grade:B|condition:11,0.0,0.0
last3_class_grade:B|condition:12,0.0,0.0
last3_class_grade:B|condition:13,0.0,0.0
last3_class_grade:B|condition:14,0.0,0.0
last3_class_grade:C|condition:11,0.0,0.0
last3_class_grade:C|condition:12,0.0,0.0
last3_class_grade:C|condition:13,0.0,0.0
last3_class_grade:C|condition:14,0.0,0.0
last3_class_grade:D|condition:11,0.0,0.0
last3_class_grade:D|condition:12,0.0,0.0
last3_class_grade:D|condition:13,0.0,0.0
last3_class_grade:E|condition:11,0.0,0.0
last3_class_grade:E|condition:12,0.0,0.0
last3_class_grade:E|condition:13,0.0,0.0
last3_class_grade:E|condition:14,0.0,0.0
last3_class_grade:E|condition:18,0.0,0.0
last3_class_grade:E|condition:19,0.0,0.0
last3_class_grade:F|condition:18,0.0,0.0
last3_class_grade:F|condition:19,0.0,0.0
last3_class_grade:G|condition:18,0.0,0.0
last3_class_grade:G|condition:19,0.0,0.0
last3_class_grade:H|condition:18,0.0,0.0
last3_class_grade:H|condition:19,0.0,0.0
last3_class_grade:L|condition:11,0.0,0.0
last3_class_grade:L|condition:12,0.0,0.0
last3_class_grade:L|condition:13,0.0,0.0
last3_class_grade:L|condition:14,0.0,0.0
last3_class_grade:unknown|condition:11,0.0,0.0
last3_class_grade:unknown|condition:12,0.0,0.0
last3_class_grade:unknown|condition:18,0.0,0.0
last3_class_grade:unknown|condition:19,0.0,0.0
last3_class_unknown,0.0,0.0
last3_class_nan,0.0,0.0
race_class_label_G1,0.0,0.0
race_class_label_G2,0.0,0.0
race_class_label_G3,0.0,0.0
race_class_label_LISTED,0.0,0.0
race_class_label_OPEN,0.0,0.0
race_class_label_UNKNOWN,0.0,0.0
race_class_label_nan,0.0,0.0
last1_race_class_G1,0.0,0.0
last1_race_class_G2,0.0,0.0
last1_race_class_G3,0.0,0.0
last1_race_class_LISTED,0.0,0.0
last1_race_class_OPEN,0.0,0.0
last1_race_class_UNKNOWN,0.0,0.0
last1_race_class_nan,0.0,0.0
last2_race_class_G1,0.0,0.0
last2_race_class_G2,0.0,0.0
last2_race_class_G3,0.0,0.0
last2_race_class_LISTED,0.0,0.0
last2_race_class_OPEN,0.0,0.0
last2_race_class_UNKNOWN,0.0,0.0
last2_race_class_nan,0.0,0.0
last3_race_class_G1,0.0,0.0
last3_race_class_G2,0.0,0.0
last3_race_class_G3,0.0,0.0
last3_race_class_LISTED,0.0,0.0
last3_race_class_OPEN,0.0,0.0
last3_race_class_UNKNOWN,0.0,0.0
last3_race_class_nan,0.0,0.0
race_sex_condition_FEMALE_ONLY,0.0,0.0
race_sex_condition_OPEN_SEX,0.0,0.0
race_sex_condition_nan,0.0,0.0
race_age_condition_TWO_YEAR_OLD_ONLY,0.0,0.0
race_age_condition_UNKNOWN,0.0,0.0
race_age_condition_nan,0.0,0.0
last1_sex_condition_FEMALE_ONLY,0.0,0.0
last1_sex_condition_OPEN_SEX,0.0,0.0
last1_sex_condition_UNKNOWN,0.0,0.0
last1_sex_condition_nan,0.0,0.0
last2_sex_condition_FEMALE_ONLY,0.0,0.0
last2_sex_condition_OPEN_SEX,0.0,0.0
last2_sex_condition_UNKNOWN,0.0,0.0
last2_sex_condition_nan,0.0,0.0
last3_sex_condition_FEMALE_ONLY,0.0,0.0
last3_sex_condition_OPEN_SEX,0.0,0.0
last3_sex_condition_UNKNOWN,0.0,0.0
last3_sex_condition_nan,0.0,0.0
last1_age_condition_TWO_YEAR_OLD_ONLY,0.0,0.0
last1_age_condition_UNKNOWN,0.0,0.0
last1_age_condition_nan,0.0,0.0
last2_age_condition_TWO_YEAR_OLD_ONLY,0.0,0.0
last2_age_condition_UNKNOWN,0.0,0.0
last2_age_condition_nan,0.0,0.0
last3_age_condition_TWO_YEAR_OLD_ONLY,0.0,0.0
last3_age_condition_UNKNOWN,0.0,0.0
last3_age_condition_nan,0.0,0.0
