feature,gain,split
last1_raw_performance,132143.1885471344,36.0
last1_finish,66233.60685539246,71.0
mean_adjusted_performance_last3,59191.32723617554,90.0
jockey_place_rate,46154.71141242981,115.0
recent5_place_rate,34211.70217514038,22.0
career_place_rate,30999.513242721558,75.0
jockey_top2_rate,28523.781249046326,72.0
prize_change_from_last3_mean,17647.1319065094,64.0
field_size,16500.95827293396,131.0
prize_ratio_vs_last3_mean,15488.502010345459,147.0
jockey_win_rate,14175.206993103027,62.0
career_races,12791.86939048767,113.0
recent3_place_rate,11593.966796875,8.0
mean_margin_last3,10285.308313369751,31.0
best_strong_opponent_performance_last3,8930.00468635559,44.0
race_first_prize,7727.232168197632,54.0
weighted_margin_last3,7361.657505989075,44.0
last2_raw_performance,6879.94980430603,33.0
prize_ratio_vs_last1,6486.998893737793,34.0
position_bias_weighted_top6_v2,6376.527627944946,81.0
prize_change_from_last1,5713.745090484619,12.0
course_final_straight_m,5633.410729408264,64.0
position_bias_residual_v2,5365.676523208618,90.0
horse_expected_position,4428.836008071899,67.0
last1_margin_x_prize_strength,4308.671380996704,14.0
last2_finish,4242.764408111572,21.0
course_geometry_fit,3489.358896255493,44.0
career_win_rate,3168.4807891845703,52.0
current_distance,3081.3933181762695,66.0
best_adjusted_performance_last3,2727.0938720703125,21.0
last1_margin_x_winner_strength_v2,2706.604528427124,14.0
last1_adjusted_performance,2667.3683280944824,19.0
last2_adjusted_performance,2307.9833965301514,19.0
last1_distance,2302.6512126922607,39.0
races_last_180d,2301.498794555664,39.0
margin_x_field_strength,2127.6723985671997,22.0
course_elevation_difference_m,2015.339687347412,29.0
course_first_corner_distance_m,1897.9770984649658,22.0
last1_field_top3_mean_strength_v2,1820.2678899765015,38.0
jockey_added_value,1672.4772968292236,27.0
weighted_adjusted_performance_last3,1273.1373805999756,17.0
expected_position_mean,1238.6014022827148,30.0
condition_code_13,1203.2485065460205,17.0
expected_position_std,1134.1587982177734,15.0
last3_field_top3_mean_strength_v2,1118.5353031158447,19.0
last2_position_advantage,869.2403936386108,26.0
race_third_prize,803.9788904190063,10.0
recent3_win_rate,798.2856025695801,16.0
last1_race_first_prize,767.4922924041748,12.0
last2_field_top3_mean_strength_v2,718.4754981994629,17.0
last1_field_strength_v2,592.1326007843018,9.0
condition_code_12,563.9949054718018,11.0
racecourse_新潟,551.2570934295654,12.0
best_margin_last3,511.73878479003906,3.0
racecourse_福島,493.21120262145996,10.0
career_wins,465.2116947174072,6.0
gate_x_expected_position,449.9027099609375,12.0
recent_jockey_added_value,415.50339698791504,13.0
last3_position_advantage,409.414005279541,12.0
last2_field_strength_v2,398.95190238952637,9.0
position_bias_top6_v2,392.7903995513916,8.0
last3_field_strength,377.1798973083496,6.0
race_total_top5_prize,356.53829765319824,5.0
last1_class_grade:E|condition:11,347.54460525512695,10.0
last3_raw_performance,337.6285037994385,6.0
gate_position_pct,333.2567014694214,11.0
course_gentle_corners,309.70179748535156,7.0
mean_winner_strength_last3,276.39050102233887,6.0
last1_position_advantage,265.7129955291748,6.0
course_mostly_flat,262.01210021972656,6.0
weighted_race_prize_last3,259.5249996185303,6.0
last3_field_strength_v2,240.76190662384033,5.0
race_class_score,224.0547981262207,3.0
mean_race_prize_last3,211.8724946975708,5.0
last3_adjusted_performance,210.42150497436523,3.0
last2_distance,208.28559684753418,5.0
expected_front_count,204.2671012878418,5.0
last1_field_strength,197.92109870910645,6.0
recent5_win_rate,182.05170059204102,5.0
last2_margin_x_prize_strength,181.5838966369629,4.0
last3_finish,174.22560119628906,4.0
racecourse_札幌,171.69259643554688,5.0
last3_class_grade:unknown|condition:14,140.95549964904785,4.0
rear_density,119.956298828125,3.0
last1_margin,118.41500091552734,4.0
last2_class_grade:unknown|condition:11,112.82760047912598,5.0
setup_improvement,110.25669860839844,3.0
max_race_prize_last3,94.66680145263672,2.0
last1_winner_strength,90.80509948730469,1.0
career_places,90.23629760742188,2.0
last3_distance,88.91990280151367,2.0
margin_x_winner_strength,83.40409851074219,1.0
last2_field_max_strength_v2,74.66485118865967,3.0
last1_class_grade:unknown|condition:13,71.50950241088867,2.0
last3_winner_strength_v2,69.08539962768555,3.0
races_last_365d,66.11549949645996,3.0
condition_code_14,65.56189918518066,2.0
last2_class_grade:unknown|condition:14,60.59859848022461,1.0
course_final_uphill,57.86610221862793,2.0
last3_margin_x_prize_strength,53.78729820251465,2.0
front_density,44.69420051574707,3.0
last3_field_max_strength_v2,44.51259994506836,3.0
racecourse_中京,40.18939971923828,1.0
last2_margin_x_winner_strength_v2,39.96590042114258,1.0
racecourse_東京,36.26530075073242,1.0
race_class_change,33.755300521850586,2.0
forward_density,30.889500617980957,2.0
last2_field_strength,29.57110023498535,1.0
last1_field_max_strength_v2,28.369699478149414,1.0
last2_winner_strength_v2,28.200300216674805,1.0
last2_race_first_prize,26.01849937438965,1.0
last3_winner_mean_prize_before_target,19.326799392700195,1.0
last3_winner_strength,17.844499588012695,1.0
last1_winner_strength_v2,17.126100540161133,1.0
last3_race_first_prize,16.617900848388672,1.0
last2_winner_max_prize_before_target,16.16659927368164,1.0
setup_benefit_last1,15.277700424194336,1.0
last2_class_grade:E|condition:11,14.2524995803833,1.0
last1_winner_mean_prize_before_target,11.805999755859375,1.0
hidden_strength_x_race_strength,9.386150360107422,1.0
last2_margin,0.0,0.0
last3_margin,0.0,0.0
last2_winner_strength,0.0,0.0
last3_margin_x_winner_strength_v2,0.0,0.0
max_winner_strength_last3,0.0,0.0
weighted_winner_strength_last3,0.0,0.0
opponent_history_missing_last3,0.0,0.0
last1_winner_max_race_class_before_target,0.0,0.0
last2_winner_max_race_class_before_target,0.0,0.0
last3_winner_max_race_class_before_target,0.0,0.0
last1_winner_best_win_class_before_target,0.0,0.0
last2_winner_best_win_class_before_target,0.0,0.0
last3_winner_best_win_class_before_target,0.0,0.0
last1_winner_max_prize_before_target,0.0,0.0
last3_winner_max_prize_before_target,0.0,0.0
last2_winner_mean_prize_before_target,0.0,0.0
hidden_strength_last1,0.0,0.0
hidden_strength_last2,0.0,0.0
hidden_strength_last3,0.0,0.0
max_hidden_strength_last3,0.0,0.0
max_strong_against_bias_last3,0.0,0.0
strong_against_bias_last1,0.0,0.0
strong_against_bias_last2,0.0,0.0
strong_against_bias_last3,0.0,0.0
race_position_bias_last1,0.0,0.0
race_position_bias_last2,0.0,0.0
race_position_bias_last3,0.0,0.0
course_start_uphill,0.0,0.0
course_start_downhill,0.0,0.0
course_final_downhill,0.0,0.0
course_final_steep_hill,0.0,0.0
course_rolling_terrain,0.0,0.0
course_tight_corners,0.0,0.0
course_up_down_transition_sentence_count,0.0,0.0
position_stability,0.0,0.0
frontness_mean,0.0,0.0
frontness_std,0.0,0.0
mid_density,0.0,0.0
position_bias_top5_v2,0.0,0.0
strong_against_bias_v2_last1,0.0,0.0
strong_against_bias_v2_last2,0.0,0.0
strong_against_bias_v2_last3,0.0,0.0
setup_benefit_last2,0.0,0.0
setup_benefit_last3,0.0,0.0
adjusted_performance_v2_last1,0.0,0.0
adjusted_performance_v2_last2,0.0,0.0
adjusted_performance_v2_last3,0.0,0.0
mean_adjusted_performance_v2_last3,0.0,0.0
best_adjusted_performance_v2_last3,0.0,0.0
weighted_adjusted_performance_v2_last3,0.0,0.0
max_strong_against_bias_v2_last3,0.0,0.0
jockey_rides,0.0,0.0
jockey_form_trend,0.0,0.0
jockey_change_added_value,0.0,0.0
current_race_class_score,0.0,0.0
last1_race_class_score,0.0,0.0
last2_race_class_score,0.0,0.0
last3_race_class_score,0.0,0.0
max_race_class_last3,0.0,0.0
mean_race_class_last3,0.0,0.0
weighted_race_class_last3,0.0,0.0
last1_margin_x_race_class,0.0,0.0
last2_margin_x_race_class,0.0,0.0
last3_margin_x_race_class,0.0,0.0
is_filly_mare_only,0.0,0.0
is_2yo_only,0.0,0.0
is_3yo_only,0.0,0.0
last1_is_filly_mare_only,0.0,0.0
last2_is_filly_mare_only,0.0,0.0
last3_is_filly_mare_only,0.0,0.0
female_only_to_open,0.0,0.0
open_to_female_only,0.0,0.0
age_condition_change,0.0,0.0
race_second_prize,0.0,0.0
race_first_prize_log,0.0,0.0
race_total_top5_prize_log,0.0,0.0
last1_race_first_prize_log,0.0,0.0
last2_race_first_prize_log,0.0,0.0
last3_race_first_prize_log,0.0,0.0
racecourse_中山,0.0,0.0
racecourse_京都,0.0,0.0
racecourse_函館,0.0,0.0
racecourse_小倉,0.0,0.0
racecourse_阪神,0.0,0.0
racecourse_nan,0.0,0.0
surface_芝,0.0,0.0
surface_nan,0.0,0.0
grade_code_A,0.0,0.0
grade_code_B,0.0,0.0
grade_code_C,0.0,0.0
grade_code_D,0.0,0.0
grade_code_E,0.0,0.0
grade_code_F,0.0,0.0
grade_code_G,0.0,0.0
grade_code_H,0.0,0.0
grade_code_L,0.0,0.0
grade_code_unknown,0.0,0.0
grade_code_nan,0.0,0.0
condition_code_11,0.0,0.0
condition_code_18,0.0,0.0
condition_code_19,0.0,0.0
condition_code_nan,0.0,0.0
last1_class_grade:A|condition:11,0.0,0.0
last1_class_grade:A|condition:12,0.0,0.0
last1_class_grade:A|condition:13,0.0,0.0
last1_class_grade:A|condition:14,0.0,0.0
last1_class_grade:B|condition:11,0.0,0.0
last1_class_grade:B|condition:12,0.0,0.0
last1_class_grade:B|condition:13,0.0,0.0
last1_class_grade:B|condition:14,0.0,0.0
last1_class_grade:C|condition:11,0.0,0.0
last1_class_grade:C|condition:12,0.0,0.0
last1_class_grade:C|condition:13,0.0,0.0
last1_class_grade:C|condition:14,0.0,0.0
last1_class_grade:D|condition:11,0.0,0.0
last1_class_grade:D|condition:12,0.0,0.0
last1_class_grade:D|condition:13,0.0,0.0
last1_class_grade:E|condition:12,0.0,0.0
last1_class_grade:E|condition:13,0.0,0.0
last1_class_grade:E|condition:14,0.0,0.0
last1_class_grade:E|condition:18,0.0,0.0
last1_class_grade:E|condition:19,0.0,0.0
last1_class_grade:F|condition:18,0.0,0.0
last1_class_grade:F|condition:19,0.0,0.0
last1_class_grade:G|condition:18,0.0,0.0
last1_class_grade:G|condition:19,0.0,0.0
last1_class_grade:H|condition:18,0.0,0.0
last1_class_grade:H|condition:19,0.0,0.0
last1_class_grade:L|condition:11,0.0,0.0
last1_class_grade:L|condition:12,0.0,0.0
last1_class_grade:L|condition:13,0.0,0.0
last1_class_grade:L|condition:14,0.0,0.0
last1_class_grade:unknown|condition:11,0.0,0.0
last1_class_grade:unknown|condition:12,0.0,0.0
last1_class_grade:unknown|condition:14,0.0,0.0
last1_class_grade:unknown|condition:18,0.0,0.0
last1_class_grade:unknown|condition:19,0.0,0.0
last1_class_unknown,0.0,0.0
last1_class_nan,0.0,0.0
last2_class_grade:A|condition:11,0.0,0.0
last2_class_grade:A|condition:12,0.0,0.0
last2_class_grade:A|condition:13,0.0,0.0
last2_class_grade:A|condition:14,0.0,0.0
last2_class_grade:B|condition:11,0.0,0.0
last2_class_grade:B|condition:12,0.0,0.0
last2_class_grade:B|condition:13,0.0,0.0
last2_class_grade:B|condition:14,0.0,0.0
last2_class_grade:C|condition:11,0.0,0.0
last2_class_grade:C|condition:12,0.0,0.0
last2_class_grade:C|condition:13,0.0,0.0
last2_class_grade:C|condition:14,0.0,0.0
last2_class_grade:D|condition:11,0.0,0.0
last2_class_grade:D|condition:12,0.0,0.0
last2_class_grade:D|condition:13,0.0,0.0
last2_class_grade:E|condition:12,0.0,0.0
last2_class_grade:E|condition:13,0.0,0.0
last2_class_grade:E|condition:14,0.0,0.0
last2_class_grade:E|condition:18,0.0,0.0
last2_class_grade:E|condition:19,0.0,0.0
last2_class_grade:F|condition:18,0.0,0.0
last2_class_grade:F|condition:19,0.0,0.0
last2_class_grade:G|condition:18,0.0,0.0
last2_class_grade:G|condition:19,0.0,0.0
last2_class_grade:H|condition:18,0.0,0.0
last2_class_grade:H|condition:19,0.0,0.0
last2_class_grade:L|condition:11,0.0,0.0
last2_class_grade:L|condition:12,0.0,0.0
last2_class_grade:L|condition:13,0.0,0.0
last2_class_grade:L|condition:14,0.0,0.0
last2_class_grade:unknown|condition:12,0.0,0.0
last2_class_grade:unknown|condition:13,0.0,0.0
last2_class_grade:unknown|condition:18,0.0,0.0
last2_class_grade:unknown|condition:19,0.0,0.0
last2_class_unknown,0.0,0.0
last2_class_nan,0.0,0.0
last3_class_grade:A|condition:11,0.0,0.0
last3_class_grade:A|condition:12,0.0,0.0
last3_class_grade:A|condition:13,0.0,0.0
last3_class_grade:A|condition:14,0.0,0.0
last3_class_grade:B|condition:11,0.0,0.0
last3_class_grade:B|condition:12,0.0,0.0
last3_class_grade:B|condition:13,0.0,0.0
last3_class_grade:B|condition:14,0.0,0.0
last3_class_grade:C|condition:11,0.0,0.0
last3_class_grade:C|condition:12,0.0,0.0
last3_class_grade:C|condition:13,0.0,0.0
last3_class_grade:C|condition:14,0.0,0.0
last3_class_grade:D|condition:11,0.0,0.0
last3_class_grade:D|condition:12,0.0,0.0
last3_class_grade:D|condition:13,0.0,0.0
last3_class_grade:E|condition:11,0.0,0.0
last3_class_grade:E|condition:12,0.0,0.0
last3_class_grade:E|condition:13,0.0,0.0
last3_class_grade:E|condition:14,0.0,0.0
last3_class_grade:E|condition:18,0.0,0.0
last3_class_grade:E|condition:19,0.0,0.0
last3_class_grade:F|condition:18,0.0,0.0
last3_class_grade:F|condition:19,0.0,0.0
last3_class_grade:G|condition:18,0.0,0.0
