class,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
grade:C|condition:11,1,0,0,0.0,0,0.0,LOW SAMPLE
grade:C|condition:12,1,0,0,0.0,1,130.0,LOW SAMPLE
grade:C|condition:13,9,1,0.1111111111111111,53.333333333333336,0.2222222222222222,40.0,LOW SAMPLE
grade:E|condition:11,2,0,0,0.0,0.5,55.00000000000001,LOW SAMPLE
grade:E|condition:13,94,26,0.2765957446808511,68.51063829787233,0.6382978723404256,92.97872340425532,
grade:E|condition:18,1,0,0,0.0,1,110.00000000000001,LOW SAMPLE
grade:L|condition:13,3,0,0,0.0,0,0.0,LOW SAMPLE
grade:unknown|condition:11,75,22,0.29333333333333333,70.53333333333333,0.6133333333333333,77.46666666666667,
grade:unknown|condition:12,138,32,0.2318840579710145,64.6376811594203,0.572463768115942,76.66666666666667,
grade:unknown|condition:13,96,26,0.2708333333333333,66.77083333333333,0.5729166666666666,78.22916666666667,
grade:unknown|condition:18,12,3,0.25,77.5,0.5,67.5,LOW SAMPLE
