racecourse,surface,distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
中京,芝,1300～1600m,27,7,0.25925925925925924,64.81481481481481,0.7037037037037037,94.07407407407408,LOW SAMPLE
中京,芝,1700～2000m,28,12,0.42857142857142855,91.78571428571428,0.75,91.07142857142857,LOW SAMPLE
中京,芝,2100～2400m,3,1,0.3333333333333333,63.33333333333333,0.6666666666666666,36.666666666666664,LOW SAMPLE
中京,芝,2500m～,4,1,0.25,57.49999999999999,0.75,95.0,LOW SAMPLE
中京,芝,～1200m,10,2,0.2,46.0,0.8,122.0,LOW SAMPLE
函館,芝,1700～2000m,36,8,0.2222222222222222,60.27777777777777,0.5833333333333334,80.27777777777779,
函館,芝,2100～2400m,2,1,0.5,235.0,1,145.0,LOW SAMPLE
函館,芝,2500m～,4,0,0,0.0,0,0.0,LOW SAMPLE
函館,芝,～1200m,30,6,0.2,38.333333333333336,0.6,74.66666666666667,
小倉,芝,1700～2000m,39,9,0.23076923076923078,67.17948717948717,0.6153846153846154,82.82051282051283,
小倉,芝,2500m～,7,1,0.14285714285714285,30.0,0.2857142857142857,31.428571428571427,LOW SAMPLE
小倉,芝,～1200m,26,8,0.3076923076923077,75.76923076923077,0.4230769230769231,60.0,LOW SAMPLE
新潟,芝,1300～1600m,16,3,0.1875,54.37499999999999,0.6875,84.375,LOW SAMPLE
新潟,芝,1700～2000m,30,10,0.3333333333333333,112.99999999999999,0.7,102.66666666666666,
新潟,芝,2100～2400m,2,0,0,0.0,1,120.0,LOW SAMPLE
新潟,芝,2500m～,2,1,0.5,185.0,0.5,80.0,LOW SAMPLE
新潟,芝,～1200m,22,1,0.045454545454545456,9.545454545454547,0.18181818181818182,30.909090909090907,LOW SAMPLE
札幌,芝,1300～1600m,10,5,0.5,144.0,0.8,112.00000000000001,LOW SAMPLE
札幌,芝,1700～2000m,41,9,0.21951219512195122,50.73170731707317,0.5365853658536586,74.14634146341463,
札幌,芝,2500m～,4,0,0,0.0,0.25,42.5,LOW SAMPLE
札幌,芝,～1200m,17,5,0.29411764705882354,64.70588235294117,0.47058823529411764,61.1764705882353,LOW SAMPLE
福島,芝,1700～2000m,41,11,0.2682926829268293,79.51219512195122,0.5365853658536586,72.1951219512195,
福島,芝,2500m～,5,1,0.2,66.0,0.8,113.99999999999999,LOW SAMPLE
福島,芝,～1200m,26,8,0.3076923076923077,62.69230769230769,0.6153846153846154,96.92307692307692,LOW SAMPLE
