feature,gain,split
last1_raw_performance,271886.4238395691,70.0
last1_finish,145070.2113723755,132.0
mean_adjusted_performance_last3,124859.16800689697,178.0
jockey_place_rate,96765.03814315796,238.0
career_place_rate,60037.57861328125,146.0
jockey_top2_rate,48910.22850036621,122.0
recent5_place_rate,47533.57848358154,48.0
prize_change_from_last3_mean,37276.2347984314,126.0
field_size,31999.52974319458,254.0
jockey_win_rate,31175.340785980225,128.0
prize_ratio_vs_last3_mean,28890.531230926514,306.0
career_races,25447.437816619873,242.0
mean_margin_last3,22950.329334259033,62.0
recent3_place_rate,16184.35018157959,16.0
best_strong_opponent_performance_last3,15996.864822387695,72.0
race_first_prize,15981.15475845337,112.0
last2_raw_performance,15446.241069793701,66.0
prize_ratio_vs_last1,14053.753311157227,76.0
position_bias_weighted_top6_v2,13550.101205825806,172.0
weighted_margin_last3,13428.490322113037,86.0
course_final_straight_m,11848.493755340576,144.0
prize_change_from_last1,11150.59635925293,22.0
position_bias_residual_v2,10733.112190246582,180.0
last2_finish,9556.170448303223,50.0
horse_expected_position,8587.555778503418,128.0
last1_margin_x_prize_strength,8303.99235534668,28.0
course_geometry_fit,6934.775169372559,78.0
current_distance,6144.3718185424805,122.0
career_win_rate,5926.468204498291,102.0
best_adjusted_performance_last3,5211.72114944458,46.0
margin_x_field_strength,5202.157819747925,52.0
last1_margin_x_winner_strength_v2,5142.336387634277,22.0
last1_distance,4971.017189025879,76.0
races_last_180d,4261.425216674805,72.0
weighted_adjusted_performance_last3,3968.707374572754,40.0
course_first_corner_distance_m,3930.459041595459,42.0
jockey_added_value,3758.8669452667236,60.0
course_elevation_difference_m,3357.675022125244,56.0
last1_field_top3_mean_strength_v2,3351.236011505127,74.0
recent3_win_rate,2988.659824371338,48.0
expected_position_std,2960.669013977051,36.0
best_margin_last3,2804.0142135620117,10.0
last1_adjusted_performance,2479.015823364258,20.0
condition_code_13,2453.2162170410156,32.0
expected_position_mean,2432.913812637329,56.0
last3_field_top3_mean_strength_v2,2414.3148155212402,44.0
last2_adjusted_performance,2294.8381881713867,18.0
last1_race_first_prize,2054.944206237793,30.0
last2_position_advantage,1844.897605895996,48.0
race_third_prize,1447.3263893127441,18.0
last2_field_top3_mean_strength_v2,1420.3638076782227,32.0
career_wins,1405.0833892822266,16.0
last1_field_strength_v2,1191.8945999145508,22.0
racecourse_新潟,1071.3578071594238,22.0
position_bias_top6_v2,1067.428798675537,24.0
last3_field_strength,931.8246154785156,12.0
last3_position_advantage,917.8637847900391,26.0
gate_position_pct,916.0266056060791,28.0
racecourse_福島,914.2562026977539,18.0
race_total_top5_prize,871.6421966552734,10.0
gate_x_expected_position,841.9046096801758,24.0
last3_field_strength_v2,828.9059925079346,18.0
condition_code_12,810.3047981262207,18.0
last1_position_advantage,776.4395866394043,20.0
recent_jockey_added_value,755.1584033966064,22.0
last2_field_strength_v2,623.8767967224121,12.0
last1_class_grade:E|condition:11,605.8828086853027,16.0
last2_margin_x_prize_strength,604.7599983215332,14.0
course_mostly_flat,573.6050071716309,12.0
weighted_race_prize_last3,528.9924087524414,10.0
course_gentle_corners,505.5604057312012,12.0
last3_raw_performance,501.8559970855713,14.0
last3_adjusted_performance,500.66940689086914,8.0
last1_field_strength,479.4706001281738,10.0
mean_race_prize_last3,468.4116096496582,8.0
race_class_score,447.8785934448242,6.0
last2_winner_strength_v2,384.7746047973633,12.0
rear_density,378.3169937133789,8.0
mean_winner_strength_last3,342.2868003845215,10.0
racecourse_札幌,324.039794921875,10.0
last3_finish,323.55799865722656,8.0
expected_front_count,315.9949951171875,6.0
last3_class_grade:unknown|condition:14,304.29740142822266,8.0
recent5_win_rate,295.92380142211914,10.0
setup_improvement,291.69099044799805,6.0
condition_code_14,244.4670066833496,8.0
racecourse_中京,203.3464012145996,6.0
career_places,169.21019744873047,4.0
last1_class_grade:unknown|condition:13,156.11920166015625,4.0
races_last_365d,151.02460098266602,6.0
condition_code_18,140.84779739379883,6.0
last2_class_grade:unknown|condition:11,139.57419967651367,6.0
last3_field_max_strength_v2,138.4843978881836,4.0
last3_margin_x_prize_strength,138.2750015258789,4.0
last3_distance,128.7834014892578,2.0
race_position_bias_last1,123.1525993347168,4.0
last2_distance,122.80540084838867,4.0
last1_field_max_strength_v2,117.87160110473633,4.0
race_second_prize,108.08380126953125,2.0
last3_winner_strength_v2,95.02419662475586,4.0
last1_winner_strength,91.05899810791016,4.0
forward_density,86.40579986572266,4.0
last1_winner_mean_prize_before_target,76.91279983520508,6.0
last2_winner_max_prize_before_target,61.69660186767578,4.0
last2_field_strength,57.81079864501953,2.0
last2_race_first_prize,52.27299880981445,2.0
course_final_uphill,51.07379913330078,2.0
hidden_strength_last3,42.78099822998047,2.0
last2_margin,41.76499938964844,2.0
