racecourse,surface,distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
中京,芝,1300～1600m,27,7,0.25925925925925924,79.25925925925927,0.5925925925925926,81.11111111111111,LOW SAMPLE
中京,芝,1700～2000m,28,12,0.42857142857142855,95.35714285714286,0.75,96.07142857142857,LOW SAMPLE
中京,芝,2100～2400m,3,1,0.3333333333333333,63.33333333333333,0.6666666666666666,36.666666666666664,LOW SAMPLE
中京,芝,2500m～,4,1,0.25,57.49999999999999,0.5,57.49999999999999,LOW SAMPLE
中京,芝,～1200m,10,2,0.2,46.0,0.7,94.0,LOW SAMPLE
函館,芝,1700～2000m,36,11,0.3055555555555556,83.61111111111111,0.5277777777777778,73.61111111111111,
函館,芝,2100～2400m,2,1,0.5,235.0,1,145.0,LOW SAMPLE
函館,芝,2500m～,4,0,0,0.0,0,0.0,LOW SAMPLE
函館,芝,～1200m,30,6,0.2,48.333333333333336,0.5666666666666667,76.33333333333333,
小倉,芝,1700～2000m,39,11,0.28205128205128205,116.41025641025642,0.6923076923076923,100.76923076923077,
小倉,芝,2500m～,7,0,0,0.0,0.42857142857142855,61.42857142857143,LOW SAMPLE
小倉,芝,～1200m,26,8,0.3076923076923077,90.76923076923077,0.4230769230769231,63.84615384615384,LOW SAMPLE
新潟,芝,1300～1600m,16,4,0.25,69.375,0.5625,70.625,LOW SAMPLE
新潟,芝,1700～2000m,30,4,0.13333333333333333,22.666666666666664,0.5,61.33333333333333,
新潟,芝,2100～2400m,2,0,0,0.0,1,120.0,LOW SAMPLE
新潟,芝,2500m～,2,1,0.5,185.0,0.5,80.0,LOW SAMPLE
新潟,芝,～1200m,22,2,0.09090909090909091,27.27272727272727,0.13636363636363635,19.545454545454547,LOW SAMPLE
札幌,芝,1300～1600m,10,5,0.5,144.0,0.7,100.0,LOW SAMPLE
札幌,芝,1700～2000m,41,11,0.2682926829268293,85.85365853658537,0.6585365853658537,96.09756097560975,
札幌,芝,2500m～,4,1,0.25,110.00000000000001,0.25,42.5,LOW SAMPLE
札幌,芝,～1200m,17,7,0.4117647058823529,104.11764705882354,0.5882352941176471,78.23529411764706,LOW SAMPLE
福島,芝,1700～2000m,41,12,0.2926829268292683,81.46341463414633,0.5609756097560976,76.82926829268293,
福島,芝,2500m～,5,1,0.2,66.0,0.6,76.0,LOW SAMPLE
福島,芝,～1200m,26,7,0.2692307692307692,59.61538461538461,0.46153846153846156,69.61538461538461,LOW SAMPLE
