feature,gain,split
last1_finish,312759.82625579834,338.0
recent5_place_rate,177119.1088924408,72.0
recent3_place_rate,91213.83982849121,42.0
career_place_rate,90275.05501937866,258.0
best_margin_last3,43717.057309150696,148.0
field_size,36688.04222679138,342.0
prize_ratio_vs_last3_mean,36186.27065849304,370.0
prize_change_from_last3_mean,33022.496057510376,140.0
weighted_margin_last3,32496.95299911499,168.0
last2_finish,31285.016214370728,220.0
career_races,27776.69634246826,324.0
mean_margin_last3,25292.665292739868,140.0
prize_ratio_vs_last1,22618.100025177002,104.0
current_distance,13942.087804794312,270.0
last1_margin_x_prize_strength,12427.80004310608,108.0
race_first_prize,11887.163177490234,126.0
races_last_180d,10333.051795959473,148.0
career_win_rate,10069.42977142334,194.0
last1_distance,9162.117988586426,194.0
last2_distance,5233.785751342773,92.0
margin_x_field_strength,4438.779022216797,68.0
last3_finish,4333.313144683838,74.0
condition_code_12,3883.5787925720215,84.0
race_total_top5_prize,3444.1309928894043,46.0
career_wins,3434.2153968811035,54.0
condition_code_13,3372.6850261688232,58.0
last3_distance,3066.138578414917,76.0
last1_winner_strength,2814.9573822021484,28.0
prize_change_from_last1,2309.747606277466,24.0
last1_race_first_prize,2219.949794769287,52.0
last3_field_strength,2018.380407333374,44.0
recent3_win_rate,1488.604808807373,30.0
weighted_race_prize_last3,1321.4742012023926,24.0
last1_class_grade:E|condition:11,1293.2704010009766,40.0
last1_class_grade:unknown|condition:12,1005.2385883331299,14.0
last3_winner_strength,963.7078189849854,22.0
race_third_prize,948.6750068664551,24.0
condition_code_11,920.0111865997314,22.0
racecourse_東京,912.1619987487793,28.0
max_race_prize_last3,895.5774059295654,20.0
career_places,795.8858070373535,18.0
last2_winner_strength,779.0912055969238,20.0
racecourse_福島,749.6061973571777,26.0
last2_race_first_prize,683.8883972167969,14.0
last1_field_strength,644.312801361084,26.0
last1_class_grade:unknown|condition:11,575.328800201416,18.0
races_last_365d,528.4840049743652,22.0
last2_class_grade:E|condition:11,483.7443962097168,22.0
last2_class_grade:unknown|condition:13,480.47079849243164,16.0
grade_code_E,469.4200134277344,2.0
condition_code_14,447.74400520324707,16.0
last2_class_grade:unknown|condition:12,444.85960388183594,14.0
last2_field_strength,407.13740158081055,16.0
recent5_win_rate,376.4273986816406,20.0
racecourse_小倉,300.4536018371582,14.0
last3_class_grade:unknown|condition:14,298.1987991333008,10.0
race_second_prize,284.6874027252197,12.0
race_class_change,259.8216018676758,14.0
last3_race_first_prize,248.22140312194824,12.0
last2_margin_x_prize_strength,216.16679763793945,8.0
mean_race_prize_last3,208.61059379577637,8.0
last3_margin_x_prize_strength,165.00359725952148,8.0
last2_class_grade:unknown|condition:14,142.71960067749023,6.0
margin_x_winner_strength,142.2599983215332,4.0
weighted_race_class_last3,141.95700073242188,8.0
last3_class_grade:unknown|condition:13,121.19960021972656,6.0
last1_margin,118.78139877319336,4.0
last3_margin,109.66860008239746,6.0
race_class_score,108.58399963378906,4.0
last2_class_grade:unknown|condition:19,96.99120330810547,6.0
last3_class_grade:E|condition:14,78.86700057983398,4.0
last1_class_grade:unknown|condition:13,77.12820053100586,4.0
last1_class_grade:unknown|condition:14,74.11599731445312,2.0
racecourse_新潟,70.56279754638672,4.0
last2_class_grade:E|condition:14,66.14720153808594,4.0
condition_code_18,58.9364013671875,2.0
last1_class_grade:E|condition:13,54.8484001159668,2.0
last2_class_grade:unknown|condition:11,44.57160186767578,2.0
last2_margin_x_race_class,33.38840103149414,2.0
last2_margin,27.86240005493164,2.0
last3_class_grade:E|condition:19,24.23859977722168,2.0
current_race_class_score,0.0,0.0
last1_race_class_score,0.0,0.0
last2_race_class_score,0.0,0.0
last3_race_class_score,0.0,0.0
max_race_class_last3,0.0,0.0
mean_race_class_last3,0.0,0.0
last1_margin_x_race_class,0.0,0.0
last3_margin_x_race_class,0.0,0.0
is_filly_mare_only,0.0,0.0
is_2yo_only,0.0,0.0
is_3yo_only,0.0,0.0
last1_is_filly_mare_only,0.0,0.0
last2_is_filly_mare_only,0.0,0.0
last3_is_filly_mare_only,0.0,0.0
female_only_to_open,0.0,0.0
open_to_female_only,0.0,0.0
age_condition_change,0.0,0.0
race_first_prize_log,0.0,0.0
race_total_top5_prize_log,0.0,0.0
last1_race_first_prize_log,0.0,0.0
last2_race_first_prize_log,0.0,0.0
last3_race_first_prize_log,0.0,0.0
racecourse_中京,0.0,0.0
racecourse_中山,0.0,0.0
racecourse_京都,0.0,0.0
racecourse_函館,0.0,0.0
racecourse_札幌,0.0,0.0
racecourse_阪神,0.0,0.0
racecourse_nan,0.0,0.0
surface_芝,0.0,0.0
surface_nan,0.0,0.0
grade_code_A,0.0,0.0
grade_code_B,0.0,0.0
grade_code_C,0.0,0.0
grade_code_D,0.0,0.0
grade_code_F,0.0,0.0
grade_code_G,0.0,0.0
grade_code_H,0.0,0.0
grade_code_L,0.0,0.0
grade_code_unknown,0.0,0.0
grade_code_nan,0.0,0.0
condition_code_19,0.0,0.0
condition_code_nan,0.0,0.0
last1_class_grade:A|condition:11,0.0,0.0
last1_class_grade:A|condition:12,0.0,0.0
last1_class_grade:A|condition:13,0.0,0.0
last1_class_grade:A|condition:14,0.0,0.0
last1_class_grade:B|condition:11,0.0,0.0
last1_class_grade:B|condition:12,0.0,0.0
last1_class_grade:B|condition:13,0.0,0.0
last1_class_grade:B|condition:14,0.0,0.0
last1_class_grade:C|condition:11,0.0,0.0
last1_class_grade:C|condition:12,0.0,0.0
last1_class_grade:C|condition:13,0.0,0.0
last1_class_grade:C|condition:14,0.0,0.0
last1_class_grade:D|condition:11,0.0,0.0
last1_class_grade:D|condition:12,0.0,0.0
last1_class_grade:D|condition:13,0.0,0.0
last1_class_grade:E|condition:12,0.0,0.0
last1_class_grade:E|condition:14,0.0,0.0
last1_class_grade:E|condition:18,0.0,0.0
last1_class_grade:E|condition:19,0.0,0.0
last1_class_grade:F|condition:18,0.0,0.0
last1_class_grade:F|condition:19,0.0,0.0
last1_class_grade:G|condition:18,0.0,0.0
last1_class_grade:G|condition:19,0.0,0.0
last1_class_grade:H|condition:18,0.0,0.0
last1_class_grade:H|condition:19,0.0,0.0
last1_class_grade:L|condition:11,0.0,0.0
last1_class_grade:L|condition:12,0.0,0.0
last1_class_grade:L|condition:13,0.0,0.0
last1_class_grade:L|condition:14,0.0,0.0
last1_class_grade:unknown|condition:18,0.0,0.0
last1_class_grade:unknown|condition:19,0.0,0.0
last1_class_unknown,0.0,0.0
last1_class_nan,0.0,0.0
last2_class_grade:A|condition:11,0.0,0.0
last2_class_grade:A|condition:12,0.0,0.0
last2_class_grade:A|condition:13,0.0,0.0
last2_class_grade:A|condition:14,0.0,0.0
last2_class_grade:B|condition:11,0.0,0.0
last2_class_grade:B|condition:12,0.0,0.0
last2_class_grade:B|condition:13,0.0,0.0
last2_class_grade:B|condition:14,0.0,0.0
last2_class_grade:C|condition:11,0.0,0.0
last2_class_grade:C|condition:12,0.0,0.0
last2_class_grade:C|condition:13,0.0,0.0
last2_class_grade:C|condition:14,0.0,0.0
last2_class_grade:D|condition:11,0.0,0.0
last2_class_grade:D|condition:12,0.0,0.0
last2_class_grade:D|condition:13,0.0,0.0
last2_class_grade:E|condition:12,0.0,0.0
last2_class_grade:E|condition:13,0.0,0.0
last2_class_grade:E|condition:18,0.0,0.0
last2_class_grade:E|condition:19,0.0,0.0
last2_class_grade:F|condition:18,0.0,0.0
last2_class_grade:F|condition:19,0.0,0.0
last2_class_grade:G|condition:18,0.0,0.0
last2_class_grade:G|condition:19,0.0,0.0
last2_class_grade:H|condition:18,0.0,0.0
last2_class_grade:H|condition:19,0.0,0.0
last2_class_grade:L|condition:11,0.0,0.0
last2_class_grade:L|condition:12,0.0,0.0
last2_class_grade:L|condition:13,0.0,0.0
last2_class_grade:L|condition:14,0.0,0.0
last2_class_grade:unknown|condition:18,0.0,0.0
last2_class_unknown,0.0,0.0
last2_class_nan,0.0,0.0
last3_class_grade:A|condition:11,0.0,0.0
last3_class_grade:A|condition:12,0.0,0.0
last3_class_grade:A|condition:13,0.0,0.0
last3_class_grade:A|condition:14,0.0,0.0
last3_class_grade:B|condition:11,0.0,0.0
last3_class_grade:B|condition:12,0.0,0.0
last3_class_grade:B|condition:13,0.0,0.0
last3_class_grade:B|condition:14,0.0,0.0
last3_class_grade:C|condition:11,0.0,0.0
last3_class_grade:C|condition:12,0.0,0.0
last3_class_grade:C|condition:13,0.0,0.0
last3_class_grade:C|condition:14,0.0,0.0
last3_class_grade:D|condition:11,0.0,0.0
last3_class_grade:D|condition:12,0.0,0.0
last3_class_grade:D|condition:13,0.0,0.0
last3_class_grade:E|condition:11,0.0,0.0
last3_class_grade:E|condition:12,0.0,0.0
last3_class_grade:E|condition:13,0.0,0.0
last3_class_grade:E|condition:18,0.0,0.0
last3_class_grade:F|condition:18,0.0,0.0
last3_class_grade:F|condition:19,0.0,0.0
last3_class_grade:G|condition:18,0.0,0.0
last3_class_grade:G|condition:19,0.0,0.0
last3_class_grade:H|condition:18,0.0,0.0
last3_class_grade:H|condition:19,0.0,0.0
last3_class_grade:L|condition:11,0.0,0.0
last3_class_grade:L|condition:12,0.0,0.0
last3_class_grade:L|condition:13,0.0,0.0
last3_class_grade:L|condition:14,0.0,0.0
last3_class_grade:unknown|condition:11,0.0,0.0
last3_class_grade:unknown|condition:12,0.0,0.0
last3_class_grade:unknown|condition:18,0.0,0.0
last3_class_grade:unknown|condition:19,0.0,0.0
last3_class_unknown,0.0,0.0
last3_class_nan,0.0,0.0
race_class_label_G1,0.0,0.0
race_class_label_G2,0.0,0.0
race_class_label_G3,0.0,0.0
race_class_label_LISTED,0.0,0.0
race_class_label_OPEN,0.0,0.0
race_class_label_UNKNOWN,0.0,0.0
race_class_label_nan,0.0,0.0
last1_race_class_G1,0.0,0.0
last1_race_class_G2,0.0,0.0
last1_race_class_G3,0.0,0.0
last1_race_class_LISTED,0.0,0.0
last1_race_class_OPEN,0.0,0.0
last1_race_class_UNKNOWN,0.0,0.0
