class,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
grade:C|condition:11,1,0,0,0.0,1,170.0,LOW SAMPLE
grade:C|condition:12,1,0,0,0.0,1,130.0,LOW SAMPLE
grade:C|condition:13,9,2,0.2222222222222222,83.33333333333334,0.4444444444444444,83.33333333333334,LOW SAMPLE
grade:E|condition:11,2,1,0.5,95.0,1,114.99999999999999,LOW SAMPLE
grade:E|condition:13,94,25,0.26595744680851063,67.34042553191489,0.5425531914893617,71.48936170212767,
grade:E|condition:18,1,0,0,0.0,1,110.00000000000001,LOW SAMPLE
grade:L|condition:13,3,0,0,0.0,0,0.0,LOW SAMPLE
grade:unknown|condition:11,75,19,0.25333333333333335,73.33333333333333,0.48,67.06666666666666,
grade:unknown|condition:12,138,39,0.2826086956521739,88.04347826086956,0.6304347826086957,85.14492753623189,
grade:unknown|condition:13,96,25,0.2604166666666667,65.72916666666667,0.5104166666666666,70.10416666666667,
grade:unknown|condition:18,12,3,0.25,77.5,0.5,70.83333333333334,LOW SAMPLE
