racecourse,surface,distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
中京,芝,1300～1600m,27,7,0.25925925925925924,86.66666666666667,0.5555555555555556,75.18518518518519,LOW SAMPLE
中京,芝,1700～2000m,28,11,0.39285714285714285,83.21428571428572,0.7857142857142857,94.28571428571428,LOW SAMPLE
中京,芝,2100～2400m,3,1,0.3333333333333333,63.33333333333333,0.3333333333333333,36.666666666666664,LOW SAMPLE
中京,芝,2500m～,4,1,0.25,57.49999999999999,0.5,57.49999999999999,LOW SAMPLE
中京,芝,～1200m,10,2,0.2,46.0,0.7,94.0,LOW SAMPLE
函館,芝,1700～2000m,36,14,0.3888888888888889,112.22222222222223,0.5833333333333334,80.27777777777779,
函館,芝,2100～2400m,2,1,0.5,235.0,1,145.0,LOW SAMPLE
函館,芝,2500m～,4,0,0,0.0,0,0.0,LOW SAMPLE
函館,芝,～1200m,30,6,0.2,44.666666666666664,0.5333333333333333,72.66666666666667,
小倉,芝,1700～2000m,39,10,0.2564102564102564,100.25641025641025,0.6666666666666666,95.8974358974359,
小倉,芝,2500m～,7,0,0,0.0,0.42857142857142855,61.42857142857143,LOW SAMPLE
小倉,芝,～1200m,26,7,0.2692307692307692,63.84615384615384,0.38461538461538464,55.00000000000001,LOW SAMPLE
新潟,芝,1300～1600m,16,3,0.1875,54.37499999999999,0.625,78.125,LOW SAMPLE
新潟,芝,1700～2000m,30,6,0.2,56.666666666666664,0.5666666666666667,72.66666666666667,
新潟,芝,2100～2400m,2,0,0,0.0,1,120.0,LOW SAMPLE
新潟,芝,2500m～,2,1,0.5,185.0,0.5,80.0,LOW SAMPLE
新潟,芝,～1200m,22,2,0.09090909090909091,27.27272727272727,0.13636363636363635,19.545454545454547,LOW SAMPLE
札幌,芝,1300～1600m,10,5,0.5,144.0,0.7,100.0,LOW SAMPLE
札幌,芝,1700～2000m,41,11,0.2682926829268293,85.85365853658537,0.6097560975609756,86.82926829268293,
札幌,芝,2500m～,4,1,0.25,110.00000000000001,0.5,85.0,LOW SAMPLE
札幌,芝,～1200m,17,6,0.35294117647058826,85.88235294117646,0.5294117647058824,69.41176470588235,LOW SAMPLE
福島,芝,1700～2000m,41,11,0.2682926829268293,70.97560975609755,0.5609756097560976,76.58536585365854,
福島,芝,2500m～,5,1,0.2,66.0,0.4,54.0,LOW SAMPLE
福島,芝,～1200m,26,7,0.2692307692307692,59.61538461538461,0.46153846153846156,69.61538461538461,LOW SAMPLE
