feature,gain,split
last1_finish,318252.0361175537,310.0
recent5_place_rate,176735.81799316406,70.0
career_place_rate,92485.85920715332,232.0
recent3_place_rate,87772.0167312622,42.0
field_size,37350.70851898193,344.0
prize_ratio_vs_last3_mean,33741.317766189575,348.0
prize_change_from_last3_mean,32761.25016784668,128.0
last2_finish,30583.66282272339,202.0
weighted_margin_last3,30297.28840827942,160.0
career_races,28549.225664138794,310.0
mean_margin_last3,25727.908905029297,140.0
prize_ratio_vs_last1,23309.632957458496,106.0
best_margin_last3,21796.999698638916,44.0
best_strong_opponent_performance_last3,21755.42029762268,142.0
race_first_prize,13785.571350097656,140.0
current_distance,13361.617805480957,248.0
career_win_rate,11051.662803649902,190.0
last1_margin_x_prize_strength,10384.78016281128,70.0
last1_field_top3_mean_strength_v2,9457.816019058228,140.0
last1_distance,8936.135402679443,176.0
races_last_180d,8639.756576538086,144.0
last3_finish,4685.193599700928,88.0
last2_distance,4320.644401550293,62.0
margin_x_field_strength,4242.939212799072,74.0
last2_field_top3_mean_strength_v2,4225.565793991089,78.0
last3_field_top3_mean_strength_v2,4026.293785095215,76.0
condition_code_13,3878.6195945739746,74.0
condition_code_12,3573.3995819091797,60.0
race_total_top5_prize,3264.8034019470215,46.0
recent3_win_rate,2486.041202545166,48.0
career_wins,2311.0817909240723,30.0
prize_change_from_last1,2186.712600708008,20.0
last1_race_first_prize,1480.2440071105957,30.0
last1_winner_strength,1216.4792098999023,12.0
recent5_win_rate,1202.7656059265137,34.0
last2_field_strength_v2,1167.927806854248,34.0
race_third_prize,1121.9094123840332,20.0
last1_class_grade:E|condition:11,1108.208194732666,30.0
last3_distance,1073.586799621582,38.0
last1_class_grade:unknown|condition:12,1041.1640014648438,6.0
condition_code_11,961.7172088623047,18.0
racecourse_東京,945.523609161377,28.0
last1_margin_x_winner_strength_v2,839.7390022277832,16.0
last1_field_strength_v2,767.2045974731445,20.0
last2_winner_strength_v2,739.4298057556152,14.0
max_race_prize_last3,671.9338130950928,8.0
racecourse_福島,619.7359962463379,20.0
margin_x_winner_strength,558.6877899169922,14.0
mean_winner_strength_last3,531.8448028564453,20.0
last2_class_grade:E|condition:11,498.15400314331055,18.0
grade_code_E,469.0580139160156,2.0
last3_field_strength,451.8448028564453,8.0
mean_race_prize_last3,440.29359436035156,14.0
last2_class_grade:unknown|condition:12,423.4208068847656,8.0
last1_field_max_strength_v2,358.0956115722656,8.0
last2_margin_x_prize_strength,344.39919662475586,12.0
last1_class_grade:unknown|condition:11,328.34819412231445,14.0
last3_field_max_strength_v2,297.0041961669922,6.0
last1_margin,293.2238006591797,12.0
last3_class_grade:unknown|condition:14,290.66039276123047,10.0
last3_margin,285.04179763793945,12.0
race_second_prize,271.58320236206055,8.0
races_last_365d,263.3321952819824,10.0
last2_field_max_strength_v2,239.2588005065918,10.0
racecourse_小倉,229.6811981201172,10.0
race_class_score,211.30780029296875,4.0
weighted_race_prize_last3,205.5118064880371,8.0
last1_winner_strength_v2,197.3131980895996,10.0
career_places,187.90639877319336,8.0
last3_field_strength_v2,173.72759628295898,8.0
last3_winner_mean_prize_before_target,168.88779830932617,10.0
last1_field_strength,162.3185977935791,8.0
weighted_race_class_last3,160.4553985595703,8.0
last2_race_first_prize,157.19619941711426,8.0
last2_class_grade:E|condition:13,146.81079864501953,6.0
last2_winner_max_prize_before_target,130.9586009979248,10.0
last2_class_grade:unknown|condition:13,120.5796012878418,4.0
last3_winner_best_win_class_before_target,117.40739822387695,6.0
last1_class_grade:E|condition:13,116.20880126953125,4.0
race_class_change,113.7130012512207,6.0
last2_class_grade:unknown|condition:14,101.08280181884766,4.0
last3_winner_max_prize_before_target,86.72579956054688,4.0
last2_margin_x_winner_strength_v2,81.71499633789062,2.0
last3_class_grade:unknown|condition:13,79.37799835205078,4.0
last1_winner_mean_prize_before_target,76.99799919128418,6.0
racecourse_新潟,75.85879898071289,4.0
last2_winner_strength,75.75079727172852,4.0
last1_winner_max_prize_before_target,67.60464096069336,6.0
last2_field_strength,60.292999267578125,4.0
last3_race_first_prize,56.855600357055664,4.0
last2_class_grade:unknown|condition:19,53.38319969177246,4.0
last3_winner_strength,51.14780044555664,2.0
weighted_winner_strength_last3,51.06919860839844,2.0
last1_age_condition_TWO_YEAR_OLD_ONLY,33.885799407958984,2.0
last3_winner_strength_v2,30.33300018310547,2.0
last1_class_grade:B|condition:12,29.919200897216797,2.0
condition_code_14,28.82040023803711,2.0
last3_margin_x_winner_strength_v2,28.48780059814453,2.0
last1_class_grade:unknown|condition:13,27.00040054321289,2.0
last2_margin,26.594200134277344,2.0
last1_race_class_G3,20.19420051574707,2.0
max_winner_strength_last3,0.0,0.0
opponent_history_missing_last3,0.0,0.0
last1_winner_max_race_class_before_target,0.0,0.0
last2_winner_max_race_class_before_target,0.0,0.0
last3_winner_max_race_class_before_target,0.0,0.0
last1_winner_best_win_class_before_target,0.0,0.0
last2_winner_best_win_class_before_target,0.0,0.0
last2_winner_mean_prize_before_target,0.0,0.0
current_race_class_score,0.0,0.0
last1_race_class_score,0.0,0.0
last2_race_class_score,0.0,0.0
last3_race_class_score,0.0,0.0
max_race_class_last3,0.0,0.0
mean_race_class_last3,0.0,0.0
last1_margin_x_race_class,0.0,0.0
last2_margin_x_race_class,0.0,0.0
last3_margin_x_race_class,0.0,0.0
is_filly_mare_only,0.0,0.0
is_2yo_only,0.0,0.0
is_3yo_only,0.0,0.0
last1_is_filly_mare_only,0.0,0.0
last2_is_filly_mare_only,0.0,0.0
last3_is_filly_mare_only,0.0,0.0
female_only_to_open,0.0,0.0
open_to_female_only,0.0,0.0
age_condition_change,0.0,0.0
race_first_prize_log,0.0,0.0
race_total_top5_prize_log,0.0,0.0
last1_race_first_prize_log,0.0,0.0
last2_race_first_prize_log,0.0,0.0
last3_race_first_prize_log,0.0,0.0
last3_margin_x_prize_strength,0.0,0.0
racecourse_中京,0.0,0.0
racecourse_中山,0.0,0.0
racecourse_京都,0.0,0.0
racecourse_函館,0.0,0.0
racecourse_札幌,0.0,0.0
racecourse_阪神,0.0,0.0
racecourse_nan,0.0,0.0
surface_芝,0.0,0.0
surface_nan,0.0,0.0
grade_code_A,0.0,0.0
grade_code_B,0.0,0.0
grade_code_C,0.0,0.0
grade_code_D,0.0,0.0
grade_code_F,0.0,0.0
grade_code_G,0.0,0.0
grade_code_H,0.0,0.0
grade_code_L,0.0,0.0
grade_code_unknown,0.0,0.0
grade_code_nan,0.0,0.0
condition_code_18,0.0,0.0
condition_code_19,0.0,0.0
condition_code_nan,0.0,0.0
last1_class_grade:A|condition:11,0.0,0.0
last1_class_grade:A|condition:12,0.0,0.0
last1_class_grade:A|condition:13,0.0,0.0
last1_class_grade:A|condition:14,0.0,0.0
last1_class_grade:B|condition:11,0.0,0.0
last1_class_grade:B|condition:13,0.0,0.0
last1_class_grade:B|condition:14,0.0,0.0
last1_class_grade:C|condition:11,0.0,0.0
last1_class_grade:C|condition:12,0.0,0.0
last1_class_grade:C|condition:13,0.0,0.0
last1_class_grade:C|condition:14,0.0,0.0
last1_class_grade:D|condition:11,0.0,0.0
last1_class_grade:D|condition:12,0.0,0.0
last1_class_grade:D|condition:13,0.0,0.0
last1_class_grade:E|condition:12,0.0,0.0
last1_class_grade:E|condition:14,0.0,0.0
last1_class_grade:E|condition:18,0.0,0.0
last1_class_grade:E|condition:19,0.0,0.0
last1_class_grade:F|condition:18,0.0,0.0
last1_class_grade:F|condition:19,0.0,0.0
last1_class_grade:G|condition:18,0.0,0.0
last1_class_grade:G|condition:19,0.0,0.0
last1_class_grade:H|condition:18,0.0,0.0
last1_class_grade:H|condition:19,0.0,0.0
last1_class_grade:L|condition:11,0.0,0.0
last1_class_grade:L|condition:12,0.0,0.0
last1_class_grade:L|condition:13,0.0,0.0
last1_class_grade:L|condition:14,0.0,0.0
last1_class_grade:unknown|condition:14,0.0,0.0
last1_class_grade:unknown|condition:18,0.0,0.0
last1_class_grade:unknown|condition:19,0.0,0.0
last1_class_unknown,0.0,0.0
last1_class_nan,0.0,0.0
last2_class_grade:A|condition:11,0.0,0.0
last2_class_grade:A|condition:12,0.0,0.0
last2_class_grade:A|condition:13,0.0,0.0
last2_class_grade:A|condition:14,0.0,0.0
last2_class_grade:B|condition:11,0.0,0.0
last2_class_grade:B|condition:12,0.0,0.0
last2_class_grade:B|condition:13,0.0,0.0
last2_class_grade:B|condition:14,0.0,0.0
last2_class_grade:C|condition:11,0.0,0.0
last2_class_grade:C|condition:12,0.0,0.0
last2_class_grade:C|condition:13,0.0,0.0
last2_class_grade:C|condition:14,0.0,0.0
last2_class_grade:D|condition:11,0.0,0.0
last2_class_grade:D|condition:12,0.0,0.0
last2_class_grade:D|condition:13,0.0,0.0
last2_class_grade:E|condition:12,0.0,0.0
last2_class_grade:E|condition:14,0.0,0.0
last2_class_grade:E|condition:18,0.0,0.0
last2_class_grade:E|condition:19,0.0,0.0
last2_class_grade:F|condition:18,0.0,0.0
last2_class_grade:F|condition:19,0.0,0.0
last2_class_grade:G|condition:18,0.0,0.0
last2_class_grade:G|condition:19,0.0,0.0
last2_class_grade:H|condition:18,0.0,0.0
last2_class_grade:H|condition:19,0.0,0.0
last2_class_grade:L|condition:11,0.0,0.0
last2_class_grade:L|condition:12,0.0,0.0
last2_class_grade:L|condition:13,0.0,0.0
last2_class_grade:L|condition:14,0.0,0.0
last2_class_grade:unknown|condition:11,0.0,0.0
last2_class_grade:unknown|condition:18,0.0,0.0
last2_class_unknown,0.0,0.0
last2_class_nan,0.0,0.0
last3_class_grade:A|condition:11,0.0,0.0
last3_class_grade:A|condition:12,0.0,0.0
last3_class_grade:A|condition:13,0.0,0.0
last3_class_grade:A|condition:14,0.0,0.0
last3_class_grade:B|condition:11,0.0,0.0
last3_class_grade:B|condition:12,0.0,0.0
last3_class_grade:B|condition:13,0.0,0.0
last3_class_grade:B|condition:14,0.0,0.0
last3_class_grade:C|condition:11,0.0,0.0
