racecourse,surface,distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
中京,芝,1300～1600m,27,2,0.07407407407407407,12.222222222222221,0.2962962962962963,49.629629629629626,LOW SAMPLE
中京,芝,1700～2000m,28,5,0.17857142857142858,33.214285714285715,0.39285714285714285,44.285714285714285,LOW SAMPLE
中京,芝,2100～2400m,3,1,0.3333333333333333,110.00000000000001,0.3333333333333333,66.66666666666666,LOW SAMPLE
中京,芝,2500m～,4,1,0.25,57.49999999999999,0.5,60.0,LOW SAMPLE
中京,芝,～1200m,10,1,0.1,15.0,0.3,48.0,LOW SAMPLE
函館,芝,1700～2000m,36,4,0.1111111111111111,23.333333333333332,0.3055555555555556,133.88888888888889,
函館,芝,2100～2400m,2,0,0,0.0,0.5,130.0,LOW SAMPLE
函館,芝,2500m～,4,1,0.25,40.0,0.5,415.00000000000006,LOW SAMPLE
函館,芝,～1200m,30,5,0.16666666666666666,71.0,0.3333333333333333,96.33333333333334,
小倉,芝,1700～2000m,39,6,0.15384615384615385,66.41025641025641,0.3076923076923077,46.666666666666664,
小倉,芝,2500m～,7,0,0,0.0,0.2857142857142857,42.857142857142854,LOW SAMPLE
小倉,芝,～1200m,26,2,0.07692307692307693,16.153846153846153,0.3076923076923077,106.53846153846153,LOW SAMPLE
新潟,芝,1300～1600m,16,2,0.125,83.125,0.3125,58.75,LOW SAMPLE
新潟,芝,1700～2000m,30,3,0.1,23.666666666666668,0.23333333333333334,70.66666666666667,
新潟,芝,2100～2400m,2,0,0,0.0,0,0.0,LOW SAMPLE
新潟,芝,2500m～,2,0,0,0.0,0,0.0,LOW SAMPLE
新潟,芝,～1200m,22,2,0.09090909090909091,194.0909090909091,0.3181818181818182,109.54545454545455,LOW SAMPLE
札幌,芝,1300～1600m,10,1,0.1,16.0,0.1,11.0,LOW SAMPLE
札幌,芝,1700～2000m,41,4,0.0975609756097561,37.5609756097561,0.17073170731707318,28.536585365853657,
札幌,芝,2500m～,4,0,0,0.0,0.25,27.500000000000004,LOW SAMPLE
札幌,芝,～1200m,17,1,0.058823529411764705,12.352941176470589,0.35294117647058826,113.52941176470588,LOW SAMPLE
福島,芝,1700～2000m,41,4,0.0975609756097561,71.46341463414633,0.21951219512195122,44.390243902439025,
福島,芝,2500m～,5,1,0.2,148.0,0.4,76.0,LOW SAMPLE
福島,芝,～1200m,26,2,0.07692307692307693,11.923076923076923,0.23076923076923078,41.53846153846154,LOW SAMPLE
