racecourse,surface,distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
中京,芝,1300～1600m,27,5,0.18518518518518517,60.370370370370374,0.5555555555555556,74.81481481481481,LOW SAMPLE
中京,芝,1700～2000m,28,12,0.42857142857142855,110.71428571428572,0.8214285714285714,106.07142857142857,LOW SAMPLE
中京,芝,2100～2400m,3,1,0.3333333333333333,63.33333333333333,0.6666666666666666,36.666666666666664,LOW SAMPLE
中京,芝,2500m～,4,1,0.25,57.49999999999999,0.5,57.49999999999999,LOW SAMPLE
中京,芝,～1200m,10,3,0.3,61.0,0.7,94.0,LOW SAMPLE
函館,芝,1700～2000m,36,13,0.3611111111111111,102.22222222222221,0.5833333333333334,76.38888888888889,
函館,芝,2100～2400m,2,1,0.5,235.0,0.5,75.0,LOW SAMPLE
函館,芝,2500m～,4,1,0.25,45.0,0.25,27.500000000000004,LOW SAMPLE
函館,芝,～1200m,30,7,0.23333333333333334,59.0,0.5,67.33333333333333,
小倉,芝,1700～2000m,39,11,0.28205128205128205,119.23076923076923,0.6666666666666666,98.46153846153847,
小倉,芝,2500m～,7,0,0,0.0,0.42857142857142855,61.42857142857143,LOW SAMPLE
小倉,芝,～1200m,26,8,0.3076923076923077,90.76923076923077,0.4230769230769231,63.84615384615384,LOW SAMPLE
新潟,芝,1300～1600m,16,4,0.25,69.375,0.5625,70.625,LOW SAMPLE
新潟,芝,1700～2000m,30,6,0.2,54.0,0.5666666666666667,73.0,
新潟,芝,2100～2400m,2,0,0,0.0,1,120.0,LOW SAMPLE
新潟,芝,2500m～,2,1,0.5,185.0,0.5,80.0,LOW SAMPLE
新潟,芝,～1200m,22,2,0.09090909090909091,25.90909090909091,0.13636363636363635,19.090909090909093,LOW SAMPLE
札幌,芝,1300～1600m,10,6,0.6,206.0,0.7,103.0,LOW SAMPLE
札幌,芝,1700～2000m,41,10,0.24390243902439024,77.07317073170732,0.6341463414634146,90.2439024390244,
札幌,芝,2500m～,4,0,0,0.0,0.25,60.0,LOW SAMPLE
札幌,芝,～1200m,17,6,0.35294117647058826,85.88235294117646,0.5294117647058824,69.41176470588235,LOW SAMPLE
福島,芝,1700～2000m,41,11,0.2682926829268293,70.97560975609755,0.5609756097560976,76.58536585365854,
福島,芝,2500m～,5,1,0.2,66.0,0.6,76.0,LOW SAMPLE
福島,芝,～1200m,26,9,0.34615384615384615,79.61538461538461,0.5384615384615384,81.15384615384616,LOW SAMPLE
