class,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
grade:C|condition:11,1,0,0,0.0,0,0.0,LOW SAMPLE
grade:C|condition:12,1,0,0,0.0,1,130.0,LOW SAMPLE
grade:C|condition:13,9,2,0.2222222222222222,85.55555555555556,0.4444444444444444,68.88888888888889,LOW SAMPLE
grade:E|condition:11,2,1,0.5,120.0,0.5,55.00000000000001,LOW SAMPLE
grade:E|condition:13,94,26,0.2765957446808511,67.97872340425532,0.574468085106383,75.1063829787234,
grade:E|condition:18,1,0,0,0.0,1,110.00000000000001,LOW SAMPLE
grade:L|condition:13,3,0,0,0.0,0,0.0,LOW SAMPLE
grade:unknown|condition:11,75,19,0.25333333333333335,73.33333333333333,0.4666666666666667,65.46666666666667,
grade:unknown|condition:12,138,38,0.2753623188405797,84.92753623188406,0.6304347826086957,86.81159420289855,
grade:unknown|condition:13,96,26,0.2708333333333333,69.47916666666667,0.5416666666666666,75.20833333333333,
grade:unknown|condition:18,12,3,0.25,77.5,0.5833333333333334,87.5,LOW SAMPLE
