racecourse,surface,distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
中京,芝,1300～1600m,27,6,0.2222222222222222,73.70370370370371,0.5925925925925926,81.11111111111111,LOW SAMPLE
中京,芝,1700～2000m,28,10,0.35714285714285715,71.07142857142857,0.7857142857142857,100.35714285714286,LOW SAMPLE
中京,芝,2100～2400m,3,1,0.3333333333333333,63.33333333333333,0.6666666666666666,36.666666666666664,LOW SAMPLE
中京,芝,2500m～,4,1,0.25,57.49999999999999,0.5,57.49999999999999,LOW SAMPLE
中京,芝,～1200m,10,2,0.2,46.0,0.7,94.0,LOW SAMPLE
函館,芝,1700～2000m,36,12,0.3333333333333333,87.77777777777777,0.5277777777777778,73.05555555555556,
函館,芝,2100～2400m,2,1,0.5,235.0,1,145.0,LOW SAMPLE
函館,芝,2500m～,4,1,0.25,45.0,0.25,27.500000000000004,LOW SAMPLE
函館,芝,～1200m,30,6,0.2,48.333333333333336,0.5333333333333333,72.0,
小倉,芝,1700～2000m,39,11,0.28205128205128205,107.17948717948718,0.6410256410256411,91.7948717948718,
小倉,芝,2500m～,7,0,0,0.0,0.5714285714285714,90.0,LOW SAMPLE
小倉,芝,～1200m,26,8,0.3076923076923077,90.76923076923077,0.4230769230769231,63.84615384615384,LOW SAMPLE
新潟,芝,1300～1600m,16,4,0.25,69.375,0.5625,70.625,LOW SAMPLE
新潟,芝,1700～2000m,30,5,0.16666666666666666,39.33333333333333,0.5333333333333333,67.0,
新潟,芝,2100～2400m,2,0,0,0.0,1,120.0,LOW SAMPLE
新潟,芝,2500m～,2,1,0.5,185.0,0.5,80.0,LOW SAMPLE
新潟,芝,～1200m,22,1,0.045454545454545456,15.0,0.09090909090909091,12.272727272727273,LOW SAMPLE
札幌,芝,1300～1600m,10,5,0.5,144.0,0.7,100.0,LOW SAMPLE
札幌,芝,1700～2000m,41,13,0.3170731707317073,103.65853658536585,0.6585365853658537,92.19512195121952,
札幌,芝,2500m～,4,0,0,0.0,0.5,102.49999999999999,LOW SAMPLE
札幌,芝,～1200m,17,7,0.4117647058823529,104.11764705882354,0.5882352941176471,78.23529411764706,LOW SAMPLE
福島,芝,1700～2000m,41,11,0.2682926829268293,70.97560975609755,0.5609756097560976,76.58536585365854,
福島,芝,2500m～,5,1,0.2,66.0,0.6,76.0,LOW SAMPLE
福島,芝,～1200m,26,8,0.3076923076923077,71.92307692307692,0.5,76.92307692307693,LOW SAMPLE
