feature,gain,split
last1_finish,326174.08579444885,446.0
recent5_place_rate,176987.53897476196,68.0
career_place_rate,92603.54292869568,270.0
recent3_place_rate,92384.39223861694,32.0
best_margin_last3,49286.12857627869,138.0
weighted_margin_last3,40079.358337402344,186.0
field_size,40078.93361663818,352.0
last2_finish,31548.915712356567,234.0
career_races,27824.546131134033,362.0
mean_margin_last3,21248.480136871338,142.0
grade_code_unknown,21060.782985687256,162.0
recent3_win_rate,15727.38962173462,118.0
current_distance,14554.155038833618,294.0
last1_distance,10446.80297088623,232.0
career_win_rate,9978.37119102478,216.0
races_last_180d,8564.150457382202,144.0
last3_field_strength,7729.476392745972,132.0
condition_code_12,6259.826772689819,110.0
margin_x_field_strength,6147.684646606445,68.0
condition_code_13,5842.159589767456,86.0
last1_winner_strength,5654.404615402222,62.0
last2_distance,4899.751209259033,94.0
grade_code_E,4526.127346038818,44.0
last3_finish,4016.9674243927,74.0
grade_code_A,3508.770383834839,76.0
last1_margin,3497.5595893859863,80.0
last2_field_strength,2826.6651916503906,62.0
condition_code_11,2552.7337970733643,40.0
last2_winner_strength,2331.1033325195312,58.0
last3_distance,2325.1885986328125,64.0
career_wins,2004.3918781280518,72.0
last1_class_grade:B|condition:12,1360.6182022094727,36.0
recent5_win_rate,1324.1322174072266,34.0
last1_field_strength,1277.2184925079346,40.0
last3_winner_strength,1040.5381517410278,20.0
last1_class_grade:E|condition:11,962.6238059997559,26.0
racecourse_東京,898.4006080627441,24.0
racecourse_福島,861.8430023193359,26.0
last2_class_grade:A|condition:12,798.6149978637695,30.0
grade_code_B,783.403600692749,26.0
grade_code_C,764.0235977172852,24.0
last1_class_grade:C|condition:12,665.9713935852051,24.0
last1_class_grade:A|condition:12,647.1723976135254,20.0
last1_class_grade:unknown|condition:12,645.8919830322266,6.0
last1_class_grade:unknown|condition:11,644.9089984893799,20.0
last3_class_grade:unknown|condition:14,360.8179931640625,12.0
last2_class_grade:E|condition:13,335.4633979797363,10.0
racecourse_小倉,322.16980361938477,12.0
last2_class_grade:E|condition:11,297.4232006072998,14.0
last2_class_grade:A|condition:13,284.3523178100586,18.0
career_places,274.7236022949219,8.0
races_last_365d,262.33395195007324,10.0
last1_class_grade:E|condition:13,214.1956024169922,8.0
last1_class_grade:A|condition:13,209.93699836730957,12.0
last2_margin,167.91400146484375,8.0
condition_code_14,127.92479705810547,4.0
racecourse_新潟,114.15719985961914,6.0
last3_margin,111.81119728088379,6.0
