feature,gain,split
last1_finish,322843.7539405823,434.0
recent5_place_rate,178488.28367233276,72.0
career_place_rate,92233.60857391357,258.0
recent3_place_rate,89696.0892906189,38.0
best_margin_last3,49749.63522911072,146.0
weighted_margin_last3,43081.67426109314,216.0
field_size,38375.254360198975,342.0
last2_finish,31704.142070770264,228.0
career_races,27543.16851425171,352.0
mean_margin_last3,20918.072505950928,134.0
race_class_score,18456.022115707397,192.0
grade_code_unknown,17314.006420135498,156.0
recent3_win_rate,15650.983722686768,122.0
current_distance,14793.454368591309,304.0
career_win_rate,10866.565998077393,204.0
last1_distance,9445.245121002197,214.0
races_last_180d,8726.876989364624,142.0
margin_x_field_strength,6940.270626068115,98.0
last3_field_strength,6537.843004226685,124.0
max_race_class_last3,6008.91516494751,96.0
condition_code_13,6002.020399093628,94.0
last2_distance,5647.179998397827,98.0
condition_code_12,5079.39776802063,100.0
last1_winner_strength,4668.292377471924,32.0
last1_margin,4137.041362762451,62.0
last3_finish,3915.408603668213,74.0
weighted_race_class_last3,3750.454792022705,100.0
condition_code_11,2870.3558139801025,50.0
mean_race_class_last3,2167.3302097320557,28.0
last2_field_strength,2079.598587036133,46.0
last3_distance,1615.340187072754,40.0
recent5_win_rate,1348.4978294372559,30.0
last2_winner_strength,1334.6861972808838,26.0
career_wins,1293.426601409912,38.0
last1_field_strength,1167.3112049102783,38.0
racecourse_東京,1020.638801574707,30.0
racecourse_福島,962.6844024658203,30.0
last3_winner_strength,920.5607986450195,14.0
last1_class_grade:E|condition:11,613.1841945648193,20.0
last1_class_grade:unknown|condition:11,516.8605976104736,20.0
last1_class_grade:unknown|condition:12,448.39500427246094,4.0
races_last_365d,427.4043998718262,18.0
last3_class_grade:unknown|condition:14,344.54840087890625,12.0
racecourse_小倉,253.04059600830078,10.0
last3_margin,248.69399642944336,10.0
margin_x_winner_strength,246.84080123901367,14.0
last2_class_grade:E|condition:13,239.71120071411133,8.0
career_places,230.16680335998535,8.0
last1_race_class_score,201.51819610595703,12.0
last2_class_grade:E|condition:11,193.64200019836426,10.0
racecourse_新潟,168.3030014038086,8.0
last1_class_grade:E|condition:13,163.64599609375,6.0
last2_class_grade:unknown|condition:13,156.2636013031006,8.0
last2_margin,152.51040267944336,10.0
last2_margin_x_race_class,133.8307991027832,6.0
last3_race_class_score,127.5984001159668,6.0
last3_class_grade:unknown|condition:13,122.73179817199707,8.0
last1_class_grade:B|condition:12,120.14500045776367,4.0
last2_class_grade:A|condition:12,87.23200035095215,4.0
last2_race_class_score,86.74279975891113,4.0
last2_class_grade:A|condition:13,64.43700218200684,4.0
last3_class_grade:unknown|condition:11,52.05400085449219,2.0
condition_code_18,44.418800354003906,2.0
grade_code_E,43.482200622558594,2.0
last1_margin_x_race_class,41.27579879760742,2.0
condition_code_14,40.312198638916016,2.0
last3_class_grade:B|condition:14,29.564199447631836,2.0
last3_class_grade:E|condition:14,29.378000259399414,2.0
last2_class_grade:unknown|condition:11,28.766599655151367,2.0
last1_class_grade:E|condition:14,23.287399291992188,2.0
last3_margin_x_race_class,22.37820053100586,2.0
last1_race_class_G3,21.72920036315918,2.0
last3_class_grade:E|condition:19,21.29680061340332,2.0
current_race_class_score,0.0,0.0
racecourse_中京,0.0,0.0
racecourse_中山,0.0,0.0
racecourse_京都,0.0,0.0
racecourse_函館,0.0,0.0
racecourse_札幌,0.0,0.0
racecourse_阪神,0.0,0.0
racecourse_nan,0.0,0.0
surface_芝,0.0,0.0
surface_nan,0.0,0.0
grade_code_A,0.0,0.0
grade_code_B,0.0,0.0
grade_code_C,0.0,0.0
grade_code_D,0.0,0.0
grade_code_F,0.0,0.0
grade_code_G,0.0,0.0
grade_code_H,0.0,0.0
grade_code_L,0.0,0.0
grade_code_nan,0.0,0.0
condition_code_19,0.0,0.0
condition_code_nan,0.0,0.0
last1_class_grade:A|condition:11,0.0,0.0
last1_class_grade:A|condition:12,0.0,0.0
last1_class_grade:A|condition:13,0.0,0.0
last1_class_grade:A|condition:14,0.0,0.0
last1_class_grade:B|condition:11,0.0,0.0
last1_class_grade:B|condition:13,0.0,0.0
last1_class_grade:B|condition:14,0.0,0.0
last1_class_grade:C|condition:11,0.0,0.0
last1_class_grade:C|condition:12,0.0,0.0
