class,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
grade:C|condition:11,1,0,0,0.0,0,0.0,LOW SAMPLE
grade:C|condition:12,1,0,0,0.0,1,130.0,LOW SAMPLE
grade:C|condition:13,9,1,0.1111111111111111,53.333333333333336,0.3333333333333333,54.44444444444444,LOW SAMPLE
grade:E|condition:11,2,1,0.5,120.0,0.5,55.00000000000001,LOW SAMPLE
grade:E|condition:13,94,30,0.3191489361702128,83.08510638297872,0.5957446808510638,78.51063829787233,
grade:E|condition:18,1,0,0,0.0,1,110.00000000000001,LOW SAMPLE
grade:L|condition:13,3,0,0,0.0,0,0.0,LOW SAMPLE
grade:unknown|condition:11,75,19,0.25333333333333335,73.33333333333333,0.4666666666666667,65.46666666666667,
grade:unknown|condition:12,138,38,0.2753623188405797,86.30434782608695,0.6304347826086957,86.73913043478261,
grade:unknown|condition:13,96,27,0.28125,79.79166666666667,0.5416666666666666,75.0,
grade:unknown|condition:18,12,3,0.25,77.5,0.5,70.83333333333334,LOW SAMPLE
