class,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
grade:C|condition:11,1,0,0,0.0,0,0.0,LOW SAMPLE
grade:C|condition:12,1,0,0,0.0,1,130.0,LOW SAMPLE
grade:C|condition:13,9,2,0.2222222222222222,62.22222222222222,0.3333333333333333,48.888888888888886,LOW SAMPLE
grade:E|condition:11,2,1,0.5,120.0,0.5,55.00000000000001,LOW SAMPLE
grade:E|condition:13,94,28,0.2978723404255319,72.97872340425532,0.574468085106383,75.0,
grade:E|condition:18,1,0,0,0.0,1,110.00000000000001,LOW SAMPLE
grade:L|condition:13,3,1,0.3333333333333333,70.0,0.3333333333333333,40.0,LOW SAMPLE
grade:unknown|condition:11,75,19,0.25333333333333335,73.33333333333333,0.4666666666666667,65.46666666666667,
grade:unknown|condition:12,138,37,0.26811594202898553,82.68115942028984,0.6304347826086957,86.66666666666667,
grade:unknown|condition:13,96,28,0.2916666666666667,72.1875,0.5625,77.5,
grade:unknown|condition:18,12,5,0.4166666666666667,175.83333333333334,0.6666666666666666,105.0,LOW SAMPLE
