feature,gain,split
last1_finish,339315.69777679443,422.0
recent5_place_rate,172655.39728355408,66.0
career_place_rate,101420.60334968567,274.0
recent3_place_rate,76869.09401321411,34.0
best_margin_last3,46543.72634887695,144.0
weighted_margin_last3,38665.80847930908,218.0
field_size,37803.408082962036,344.0
last2_finish,32246.998428344727,250.0
career_races,27761.228540420532,362.0
mean_margin_last3,21104.835945129395,136.0
race_class_change,20168.512678146362,142.0
grade_code_unknown,17308.90553665161,148.0
current_distance,15848.074254989624,326.0
recent3_win_rate,15836.82419204712,124.0
career_win_rate,11524.01156616211,218.0
races_last_180d,9078.890214920044,154.0
last1_distance,8781.874690055847,196.0
margin_x_field_strength,6269.227214813232,70.0
last3_field_strength,6263.811813354492,116.0
race_class_score,5893.924011230469,118.0
condition_code_13,5682.234046936035,90.0
condition_code_12,5286.543815612793,106.0
last2_distance,5062.884366989136,100.0
last1_margin,4919.912559509277,74.0
last1_winner_strength,4851.196212768555,30.0
last3_finish,4188.092620849609,76.0
condition_code_11,3037.084587097168,54.0
max_race_class_last3,2650.7277755737305,46.0
last1_field_strength,1992.9079999923706,46.0
last2_field_strength,1864.7118072509766,40.0
last3_distance,1856.3493976593018,48.0
mean_race_class_last3,1428.4666080474854,32.0
last2_winner_strength,1330.2068157196045,28.0
career_wins,1148.9706001281738,32.0
last2_race_class_score,1064.409610748291,34.0
last3_winner_strength,1002.6008033752441,16.0
recent5_win_rate,985.007791519165,38.0
racecourse_福島,984.5867958068848,32.0
weighted_race_class_last3,951.4195938110352,24.0
racecourse_東京,880.1187953948975,28.0
last1_class_grade:unknown|condition:11,524.9106006622314,22.0
last1_class_grade:E|condition:11,342.1399974822998,14.0
last3_class_grade:unknown|condition:14,341.7445983886719,12.0
last1_class_grade:unknown|condition:12,334.648006439209,4.0
career_places,325.78919792175293,12.0
racecourse_小倉,324.88600158691406,12.0
last2_margin,276.2030029296875,14.0
races_last_365d,223.14119911193848,12.0
last2_class_grade:E|condition:13,207.41100311279297,8.0
condition_code_18,188.73679733276367,6.0
racecourse_新潟,180.53860092163086,8.0
last2_class_grade:unknown|condition:13,175.13859939575195,8.0
last3_margin,166.33759880065918,10.0
last2_class_grade:E|condition:11,165.24160194396973,10.0
last3_race_class_score,165.1449966430664,8.0
last2_class_grade:A|condition:12,108.67940139770508,4.0
last1_class_grade:B|condition:12,91.497802734375,2.0
margin_x_winner_strength,77.07940101623535,4.0
last2_class_grade:A|condition:13,70.53619956970215,6.0
last1_class_grade:E|condition:13,70.03120040893555,4.0
last1_class_grade:unknown|condition:13,68.7134017944336,2.0
last2_margin_x_race_class,66.65581893920898,4.0
last2_class_grade:unknown|condition:12,62.12620162963867,2.0
last2_class_grade:unknown|condition:11,52.24759864807129,4.0
last3_class_grade:unknown|condition:11,47.91579818725586,2.0
racecourse_京都,36.494998931884766,2.0
last3_class_grade:E|condition:14,30.276399612426758,2.0
last3_class_grade:C|condition:13,25.732799530029297,2.0
last1_class_grade:E|condition:14,23.03459930419922,2.0
last3_class_grade:unknown|condition:13,19.30512046813965,2.0
current_race_class_score,0.0,0.0
last1_race_class_score,0.0,0.0
last1_margin_x_race_class,0.0,0.0
last3_margin_x_race_class,0.0,0.0
is_filly_mare_only,0.0,0.0
is_2yo_only,0.0,0.0
is_3yo_only,0.0,0.0
last1_is_filly_mare_only,0.0,0.0
last2_is_filly_mare_only,0.0,0.0
last3_is_filly_mare_only,0.0,0.0
female_only_to_open,0.0,0.0
open_to_female_only,0.0,0.0
age_condition_change,0.0,0.0
racecourse_中京,0.0,0.0
racecourse_中山,0.0,0.0
racecourse_函館,0.0,0.0
racecourse_札幌,0.0,0.0
racecourse_阪神,0.0,0.0
racecourse_nan,0.0,0.0
surface_芝,0.0,0.0
surface_nan,0.0,0.0
grade_code_A,0.0,0.0
grade_code_B,0.0,0.0
grade_code_C,0.0,0.0
grade_code_D,0.0,0.0
grade_code_E,0.0,0.0
grade_code_F,0.0,0.0
grade_code_G,0.0,0.0
grade_code_H,0.0,0.0
grade_code_L,0.0,0.0
grade_code_nan,0.0,0.0
condition_code_14,0.0,0.0
condition_code_19,0.0,0.0
condition_code_nan,0.0,0.0
last1_class_grade:A|condition:11,0.0,0.0
last1_class_grade:A|condition:12,0.0,0.0
last1_class_grade:A|condition:13,0.0,0.0
last1_class_grade:A|condition:14,0.0,0.0
last1_class_grade:B|condition:11,0.0,0.0
last1_class_grade:B|condition:13,0.0,0.0
last1_class_grade:B|condition:14,0.0,0.0
last1_class_grade:C|condition:11,0.0,0.0
last1_class_grade:C|condition:12,0.0,0.0
last1_class_grade:C|condition:13,0.0,0.0
