racecourse,surface,distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
中京,芝,1300～1600m,27,5,0.18518518518518517,63.70370370370371,0.5555555555555556,79.25925925925927,LOW SAMPLE
中京,芝,1700～2000m,28,13,0.4642857142857143,122.85714285714286,0.8214285714285714,103.92857142857143,LOW SAMPLE
中京,芝,2100～2400m,3,1,0.3333333333333333,63.33333333333333,0.6666666666666666,36.666666666666664,LOW SAMPLE
中京,芝,2500m～,4,1,0.25,57.49999999999999,0.5,57.49999999999999,LOW SAMPLE
中京,芝,～1200m,10,2,0.2,46.0,0.7,94.0,LOW SAMPLE
函館,芝,1700～2000m,36,13,0.3611111111111111,93.61111111111111,0.5555555555555556,76.11111111111111,
函館,芝,2100～2400m,2,1,0.5,235.0,1,145.0,LOW SAMPLE
函館,芝,2500m～,4,1,0.25,45.0,0.25,27.500000000000004,LOW SAMPLE
函館,芝,～1200m,30,7,0.23333333333333334,59.0,0.5666666666666667,77.66666666666666,
小倉,芝,1700～2000m,39,10,0.2564102564102564,100.25641025641025,0.6666666666666666,95.8974358974359,
小倉,芝,2500m～,7,0,0,0.0,0.5714285714285714,90.0,LOW SAMPLE
小倉,芝,～1200m,26,8,0.3076923076923077,90.76923076923077,0.4230769230769231,63.84615384615384,LOW SAMPLE
新潟,芝,1300～1600m,16,3,0.1875,39.375,0.5,57.49999999999999,LOW SAMPLE
新潟,芝,1700～2000m,30,5,0.16666666666666666,39.33333333333333,0.5333333333333333,67.0,
新潟,芝,2100～2400m,2,0,0,0.0,1,120.0,LOW SAMPLE
新潟,芝,2500m～,2,1,0.5,185.0,0.5,80.0,LOW SAMPLE
新潟,芝,～1200m,22,2,0.09090909090909091,27.27272727272727,0.13636363636363635,19.545454545454547,LOW SAMPLE
札幌,芝,1300～1600m,10,5,0.5,144.0,0.7,100.0,LOW SAMPLE
札幌,芝,1700～2000m,41,12,0.2926829268292683,92.92682926829269,0.6585365853658537,93.65853658536587,
札幌,芝,2500m～,4,1,0.25,52.5,0.5,90.0,LOW SAMPLE
札幌,芝,～1200m,17,7,0.4117647058823529,104.11764705882354,0.5882352941176471,78.23529411764706,LOW SAMPLE
福島,芝,1700～2000m,41,11,0.2682926829268293,70.97560975609755,0.5609756097560976,76.58536585365854,
福島,芝,2500m～,5,1,0.2,66.0,0.6,76.0,LOW SAMPLE
福島,芝,～1200m,26,9,0.34615384615384615,79.61538461538461,0.5384615384615384,81.15384615384616,LOW SAMPLE
