feature,gain,split
last1_finish,338919.04571533203,414.0
recent5_place_rate,172593.8042602539,62.0
career_place_rate,101438.54779243469,276.0
recent3_place_rate,76893.27088165283,36.0
best_margin_last3,46410.344551086426,138.0
weighted_margin_last3,38695.19123363495,216.0
field_size,37882.821590423584,346.0
last2_finish,31887.473539352417,244.0
career_races,26926.960885047913,354.0
mean_margin_last3,21335.903549194336,136.0
race_class_change,20415.46051979065,150.0
grade_code_unknown,17746.428367614746,164.0
recent3_win_rate,16039.453582763672,124.0
current_distance,15995.717081069946,316.0
career_win_rate,10233.126216888428,206.0
races_last_180d,9383.52013206482,162.0
last1_distance,9002.037202835083,204.0
last3_field_strength,6117.518194198608,108.0
margin_x_field_strength,6063.284469604492,76.0
race_class_score,5933.209674835205,120.0
condition_code_13,5606.739404678345,96.0
last2_distance,5031.644025802612,104.0
last1_margin,4831.4209842681885,70.0
last1_winner_strength,4828.209434509277,36.0
condition_code_12,4813.1228103637695,92.0
last3_finish,4120.404191970825,78.0
max_race_class_last3,2660.4172019958496,46.0
condition_code_11,2564.988386154175,50.0
last3_distance,2104.3299980163574,52.0
last2_field_strength,1921.9868202209473,44.0
last1_field_strength,1724.7162761688232,36.0
last2_winner_strength,1419.179615020752,30.0
career_wins,1166.2183952331543,32.0
last2_race_class_score,1085.8833770751953,38.0
last3_winner_strength,1031.0783996582031,16.0
racecourse_東京,1019.0400009155273,32.0
racecourse_福島,964.8347053527832,34.0
mean_race_class_last3,925.7604141235352,18.0
weighted_race_class_last3,907.5261936187744,22.0
recent5_win_rate,800.48020362854,28.0
last1_class_grade:unknown|condition:12,633.5322113037109,10.0
last1_class_grade:unknown|condition:11,467.34620094299316,24.0
last1_class_grade:E|condition:11,425.4919891357422,16.0
last2_margin,387.1591606140137,22.0
racecourse_小倉,338.6993980407715,12.0
last3_class_grade:unknown|condition:14,331.3429946899414,12.0
career_places,268.95700454711914,8.0
condition_code_18,261.9980068206787,10.0
races_last_365d,235.22980117797852,8.0
last3_race_class_score,216.79800415039062,12.0
last2_class_grade:E|condition:13,212.05540466308594,8.0
last2_class_grade:E|condition:11,209.54600143432617,12.0
last1_class_grade:E|condition:13,184.48140144348145,10.0
last2_class_grade:unknown|condition:13,183.91580200195312,8.0
margin_x_winner_strength,144.91841888427734,10.0
last3_class_grade:unknown|condition:11,127.82559967041016,4.0
racecourse_新潟,126.57519912719727,6.0
last3_margin,114.57880020141602,6.0
last2_class_grade:A|condition:12,106.23859786987305,4.0
last1_class_grade:B|condition:12,91.49420166015625,2.0
last1_race_class_G3,65.53609848022461,6.0
last1_margin_x_race_class,61.43959999084473,4.0
last3_margin_x_race_class,61.424978256225586,4.0
last2_sex_condition_OPEN_SEX,60.925201416015625,2.0
last2_margin_x_race_class,53.87339973449707,4.0
racecourse_函館,50.53499984741211,2.0
condition_code_14,44.722599029541016,2.0
last3_class_grade:E|condition:14,27.90959930419922,2.0
last2_class_grade:A|condition:13,23.149599075317383,2.0
last3_class_grade:unknown|condition:13,21.81220054626465,2.0
current_race_class_score,0.0,0.0
last1_race_class_score,0.0,0.0
is_filly_mare_only,0.0,0.0
is_2yo_only,0.0,0.0
is_3yo_only,0.0,0.0
last1_is_filly_mare_only,0.0,0.0
last2_is_filly_mare_only,0.0,0.0
last3_is_filly_mare_only,0.0,0.0
female_only_to_open,0.0,0.0
open_to_female_only,0.0,0.0
age_condition_change,0.0,0.0
racecourse_中京,0.0,0.0
racecourse_中山,0.0,0.0
racecourse_京都,0.0,0.0
racecourse_札幌,0.0,0.0
racecourse_阪神,0.0,0.0
racecourse_nan,0.0,0.0
surface_芝,0.0,0.0
surface_nan,0.0,0.0
grade_code_A,0.0,0.0
grade_code_B,0.0,0.0
grade_code_C,0.0,0.0
grade_code_D,0.0,0.0
grade_code_E,0.0,0.0
grade_code_F,0.0,0.0
grade_code_G,0.0,0.0
grade_code_H,0.0,0.0
grade_code_L,0.0,0.0
grade_code_nan,0.0,0.0
condition_code_19,0.0,0.0
condition_code_nan,0.0,0.0
last1_class_grade:A|condition:11,0.0,0.0
last1_class_grade:A|condition:12,0.0,0.0
last1_class_grade:A|condition:13,0.0,0.0
last1_class_grade:A|condition:14,0.0,0.0
last1_class_grade:B|condition:11,0.0,0.0
last1_class_grade:B|condition:13,0.0,0.0
last1_class_grade:B|condition:14,0.0,0.0
last1_class_grade:C|condition:11,0.0,0.0
last1_class_grade:C|condition:12,0.0,0.0
last1_class_grade:C|condition:13,0.0,0.0
last1_class_grade:C|condition:14,0.0,0.0
last1_class_grade:D|condition:11,0.0,0.0
last1_class_grade:D|condition:12,0.0,0.0
last1_class_grade:D|condition:13,0.0,0.0
last1_class_grade:E|condition:12,0.0,0.0
last1_class_grade:E|condition:14,0.0,0.0
last1_class_grade:E|condition:18,0.0,0.0
last1_class_grade:E|condition:19,0.0,0.0
last1_class_grade:F|condition:18,0.0,0.0
last1_class_grade:F|condition:19,0.0,0.0
last1_class_grade:G|condition:18,0.0,0.0
last1_class_grade:G|condition:19,0.0,0.0
last1_class_grade:H|condition:18,0.0,0.0
last1_class_grade:H|condition:19,0.0,0.0
last1_class_grade:L|condition:11,0.0,0.0
last1_class_grade:L|condition:12,0.0,0.0
last1_class_grade:L|condition:13,0.0,0.0
last1_class_grade:L|condition:14,0.0,0.0
last1_class_grade:unknown|condition:13,0.0,0.0
last1_class_grade:unknown|condition:14,0.0,0.0
last1_class_grade:unknown|condition:18,0.0,0.0
last1_class_grade:unknown|condition:19,0.0,0.0
last1_class_unknown,0.0,0.0
last1_class_nan,0.0,0.0
last2_class_grade:A|condition:11,0.0,0.0
last2_class_grade:A|condition:14,0.0,0.0
last2_class_grade:B|condition:11,0.0,0.0
last2_class_grade:B|condition:12,0.0,0.0
last2_class_grade:B|condition:13,0.0,0.0
last2_class_grade:B|condition:14,0.0,0.0
last2_class_grade:C|condition:11,0.0,0.0
last2_class_grade:C|condition:12,0.0,0.0
last2_class_grade:C|condition:13,0.0,0.0
last2_class_grade:C|condition:14,0.0,0.0
last2_class_grade:D|condition:11,0.0,0.0
