feature,gain,split
last1_finish,336237.65346717834,392.0
recent5_place_rate,170229.77145004272,58.0
career_place_rate,99313.84820747375,252.0
recent3_place_rate,85379.5657043457,34.0
weighted_margin_last3,38386.029485702515,172.0
field_size,38042.84294128418,342.0
best_strong_opponent_performance_last3,33052.64382362366,158.0
last2_finish,30872.495231628418,224.0
career_races,26731.60690689087,334.0
mean_margin_last3,20361.52187538147,148.0
race_class_change,20231.27421760559,140.0
grade_code_unknown,18248.415077209473,158.0
recent3_win_rate,17298.026851654053,134.0
current_distance,14385.657163619995,286.0
best_margin_last3,13044.209552764893,28.0
career_win_rate,11966.334777832031,214.0
races_last_180d,9403.654411315918,156.0
last1_distance,9092.966163635254,176.0
last1_field_top3_mean_strength_v2,8155.903388977051,128.0
margin_x_field_strength,6051.5072021484375,72.0
race_class_score,5553.092754364014,106.0
condition_code_13,5244.055410385132,102.0
last3_field_top3_mean_strength_v2,5129.912376403809,92.0
last2_field_top3_mean_strength_v2,4900.04319190979,82.0
last1_winner_strength,4606.927810668945,34.0
last3_finish,4267.496055603027,80.0
last1_margin_x_winner_strength_v2,3981.883665084839,28.0
condition_code_12,3453.1090087890625,68.0
last2_distance,2825.5010108947754,54.0
max_race_class_last3,2712.3608322143555,38.0
last3_field_strength,2494.9761905670166,38.0
condition_code_11,1930.140796661377,28.0
last2_field_strength_v2,1671.5226097106934,56.0
last1_field_strength,1656.3504333496094,30.0
last3_field_strength_v2,1650.885799407959,36.0
last1_margin,1531.094181060791,44.0
mean_winner_strength_last3,1517.7586040496826,34.0
recent5_win_rate,1271.0510063171387,40.0
last3_distance,1153.088176727295,30.0
racecourse_東京,1040.074390411377,30.0
last1_class_grade:unknown|condition:12,940.82861328125,10.0
racecourse_福島,856.2863960266113,28.0
weighted_race_class_last3,777.1959972381592,20.0
last2_winner_best_win_class_before_target,761.7709884643555,18.0
last2_field_max_strength_v2,727.6043853759766,24.0
last1_field_strength_v2,580.1273956298828,18.0
last2_race_class_score,535.6960067749023,20.0
racecourse_小倉,443.6736030578613,12.0
mean_race_class_last3,439.6209888458252,10.0
last3_class_grade:unknown|condition:14,364.4702033996582,12.0
last1_winner_max_race_class_before_target,325.3448028564453,8.0
last2_winner_strength_v2,318.7220115661621,12.0
races_last_365d,302.2179985046387,8.0
last1_class_grade:E|condition:11,292.7686004638672,10.0
career_places,261.7791938781738,10.0
last2_class_grade:E|condition:11,252.0125961303711,14.0
last1_field_max_strength_v2,242.302001953125,2.0
last1_winner_strength_v2,239.77039337158203,12.0
last3_winner_best_win_class_before_target,234.1365966796875,12.0
last3_margin,232.88879776000977,8.0
last1_class_grade:unknown|condition:11,218.29540061950684,12.0
last3_winner_strength,202.02999877929688,6.0
last3_field_max_strength_v2,182.40740203857422,4.0
last3_winner_strength_v2,145.9668025970459,10.0
last2_margin,138.87820053100586,6.0
condition_code_18,133.38899993896484,4.0
racecourse_新潟,125.75019836425781,6.0
career_wins,121.20580291748047,4.0
last2_winner_strength,120.19720077514648,6.0
margin_x_winner_strength,106.80559921264648,6.0
last2_class_grade:A|condition:13,103.87639999389648,8.0
last2_class_grade:A|condition:12,95.39679718017578,4.0
last2_margin_x_winner_strength_v2,90.875,6.0
last2_winner_max_race_class_before_target,83.40019989013672,4.0
last2_class_grade:unknown|condition:11,82.39240264892578,4.0
last3_race_class_score,80.12860107421875,4.0
last2_field_strength,59.825199127197266,4.0
racecourse_函館,53.05459976196289,2.0
condition_code_14,45.26380157470703,2.0
last1_class_grade:unknown|condition:13,41.08039855957031,2.0
last1_class_grade:B|condition:12,39.95600128173828,2.0
last1_margin_x_race_class,38.52399826049805,2.0
last2_class_grade:unknown|condition:14,37.5890007019043,2.0
last3_winner_max_race_class_before_target,35.94060134887695,2.0
racecourse_京都,34.454200744628906,2.0
max_winner_strength_last3,27.38479995727539,2.0
last3_margin_x_winner_strength_v2,0.0,0.0
weighted_winner_strength_last3,0.0,0.0
opponent_history_missing_last3,0.0,0.0
last1_winner_best_win_class_before_target,0.0,0.0
current_race_class_score,0.0,0.0
last1_race_class_score,0.0,0.0
last2_margin_x_race_class,0.0,0.0
last3_margin_x_race_class,0.0,0.0
is_filly_mare_only,0.0,0.0
is_2yo_only,0.0,0.0
