feature,gain,split
last1_finish,337591.36566352844,398.0
recent5_place_rate,181881.40967178345,58.0
career_place_rate,94969.22162818909,254.0
recent3_place_rate,73305.2491607666,36.0
field_size,40353.911434173584,342.0
weighted_margin_last3,38840.29298019409,176.0
best_strong_opponent_performance_last3,32296.5513381958,156.0
last2_finish,31425.00507736206,218.0
career_races,28843.108877182007,370.0
grade_code_unknown,21774.299074172974,176.0
mean_margin_last3,20124.346069335938,148.0
best_margin_last3,18282.425052642822,30.0
recent3_win_rate,16747.897701263428,124.0
current_distance,15550.334440231323,298.0
career_win_rate,11409.082942962646,232.0
races_last_180d,8934.501676559448,156.0
last1_distance,8190.8019733428955,176.0
last1_field_top3_mean_strength_v2,7670.163974761963,148.0
last2_field_top3_mean_strength_v2,6496.372194290161,102.0
condition_code_13,5774.555576324463,90.0
margin_x_field_strength,5543.492399215698,58.0
last3_field_top3_mean_strength_v2,5141.478012084961,92.0
grade_code_E,5021.3123989105225,56.0
condition_code_12,4547.992790222168,76.0
last3_finish,4423.853603363037,72.0
last1_winner_strength,4184.793762207031,40.0
grade_code_A,3529.154981613159,78.0
last3_field_strength,3474.9251747131348,48.0
last2_distance,3070.798589706421,56.0
last1_margin,2736.7943897247314,52.0
last1_margin_x_winner_strength_v2,2304.1848068237305,26.0
condition_code_11,1944.6010208129883,30.0
recent5_win_rate,1915.5006065368652,40.0
last3_field_strength_v2,1540.5193881988525,44.0
last1_field_strength_v2,1528.5090045928955,20.0
last3_distance,1327.1318054199219,38.0
last2_field_strength_v2,1321.1688022613525,42.0
last1_class_grade:B|condition:12,1196.8888187408447,30.0
mean_winner_strength_last3,1098.610195159912,20.0
last2_field_max_strength_v2,1023.7734279632568,30.0
racecourse_東京,997.9674034118652,26.0
racecourse_福島,942.3685989379883,30.0
last1_class_grade:E|condition:11,838.1493988037109,24.0
grade_code_B,818.6030006408691,24.0
last1_class_grade:unknown|condition:12,640.8992233276367,6.0
grade_code_C,626.5505867004395,16.0
last1_field_strength,595.0195999145508,22.0
last2_class_grade:A|condition:12,576.2131042480469,24.0
last1_class_grade:C|condition:12,528.598201751709,18.0
last1_class_grade:A|condition:12,483.59120178222656,16.0
last2_field_strength,453.8716049194336,20.0
last1_field_max_strength_v2,384.6774425506592,10.0
last3_class_grade:unknown|condition:14,380.83740997314453,10.0
last2_winner_strength,367.61440086364746,14.0
last1_winner_strength_v2,347.8226013183594,16.0
racecourse_小倉,283.55559730529785,12.0
last3_field_max_strength_v2,239.53919792175293,8.0
weighted_winner_strength_last3,212.2192039489746,8.0
last1_class_grade:unknown|condition:11,198.43319702148438,10.0
condition_code_18,195.68160247802734,6.0
last2_winner_strength_v2,172.14799880981445,4.0
career_wins,166.08739852905273,8.0
last1_class_grade:A|condition:13,142.47259902954102,8.0
career_places,138.5248031616211,4.0
last2_class_grade:A|condition:13,137.79940032958984,6.0
last2_class_grade:E|condition:11,136.27740287780762,6.0
last3_margin,124.21319961547852,6.0
margin_x_winner_strength,111.70700073242188,4.0
last2_margin,107.60339736938477,6.0
racecourse_新潟,95.1427993774414,4.0
max_winner_strength_last3,82.63039779663086,4.0
last3_winner_strength_v2,75.59987926483154,6.0
last3_class_grade:unknown|condition:12,62.25559997558594,2.0
racecourse_函館,52.69260025024414,2.0
last2_class_grade:E|condition:13,49.94380187988281,2.0
last1_class_grade:E|condition:13,43.51620101928711,2.0
last2_class_grade:E|condition:12,38.674400329589844,2.0
last3_winner_strength,33.56760025024414,2.0
last2_class_grade:B|condition:12,29.87220001220703,2.0
races_last_365d,27.063400268554688,2.0
last3_class_grade:E|condition:19,23.07900047302246,2.0
last2_margin_x_winner_strength_v2,0.0,0.0
last3_margin_x_winner_strength_v2,0.0,0.0
opponent_history_missing_last3,0.0,0.0
racecourse_中京,0.0,0.0
racecourse_中山,0.0,0.0
racecourse_京都,0.0,0.0
racecourse_札幌,0.0,0.0
racecourse_阪神,0.0,0.0
racecourse_nan,0.0,0.0
surface_芝,0.0,0.0
surface_nan,0.0,0.0
grade_code_D,0.0,0.0
grade_code_F,0.0,0.0
grade_code_G,0.0,0.0
grade_code_H,0.0,0.0
grade_code_L,0.0,0.0
grade_code_nan,0.0,0.0
condition_code_14,0.0,0.0
condition_code_19,0.0,0.0
condition_code_nan,0.0,0.0
last1_class_grade:A|condition:11,0.0,0.0
last1_class_grade:A|condition:14,0.0,0.0
last1_class_grade:B|condition:11,0.0,0.0
last1_class_grade:B|condition:13,0.0,0.0
last1_class_grade:B|condition:14,0.0,0.0
last1_class_grade:C|condition:11,0.0,0.0
last1_class_grade:C|condition:13,0.0,0.0
last1_class_grade:C|condition:14,0.0,0.0
last1_class_grade:D|condition:11,0.0,0.0
last1_class_grade:D|condition:12,0.0,0.0
last1_class_grade:D|condition:13,0.0,0.0
last1_class_grade:E|condition:12,0.0,0.0
last1_class_grade:E|condition:14,0.0,0.0
last1_class_grade:E|condition:18,0.0,0.0
last1_class_grade:E|condition:19,0.0,0.0
last1_class_grade:F|condition:18,0.0,0.0
last1_class_grade:F|condition:19,0.0,0.0
last1_class_grade:G|condition:18,0.0,0.0
last1_class_grade:G|condition:19,0.0,0.0
last1_class_grade:H|condition:18,0.0,0.0
last1_class_grade:H|condition:19,0.0,0.0
last1_class_grade:L|condition:11,0.0,0.0
last1_class_grade:L|condition:12,0.0,0.0
last1_class_grade:L|condition:13,0.0,0.0
last1_class_grade:L|condition:14,0.0,0.0
last1_class_grade:unknown|condition:13,0.0,0.0
last1_class_grade:unknown|condition:14,0.0,0.0
last1_class_grade:unknown|condition:18,0.0,0.0
last1_class_grade:unknown|condition:19,0.0,0.0
last1_class_unknown,0.0,0.0
last1_class_nan,0.0,0.0
last2_class_grade:A|condition:11,0.0,0.0
last2_class_grade:A|condition:14,0.0,0.0
last2_class_grade:B|condition:11,0.0,0.0
last2_class_grade:B|condition:13,0.0,0.0
last2_class_grade:B|condition:14,0.0,0.0
last2_class_grade:C|condition:11,0.0,0.0
last2_class_grade:C|condition:12,0.0,0.0
last2_class_grade:C|condition:13,0.0,0.0
last2_class_grade:C|condition:14,0.0,0.0
last2_class_grade:D|condition:11,0.0,0.0
last2_class_grade:D|condition:12,0.0,0.0
last2_class_grade:D|condition:13,0.0,0.0
last2_class_grade:E|condition:14,0.0,0.0
last2_class_grade:E|condition:18,0.0,0.0
last2_class_grade:E|condition:19,0.0,0.0
last2_class_grade:F|condition:18,0.0,0.0
last2_class_grade:F|condition:19,0.0,0.0
last2_class_grade:G|condition:18,0.0,0.0
last2_class_grade:G|condition:19,0.0,0.0
last2_class_grade:H|condition:18,0.0,0.0
last2_class_grade:H|condition:19,0.0,0.0
last2_class_grade:L|condition:11,0.0,0.0
last2_class_grade:L|condition:12,0.0,0.0
last2_class_grade:L|condition:13,0.0,0.0
last2_class_grade:L|condition:14,0.0,0.0
last2_class_grade:unknown|condition:11,0.0,0.0
last2_class_grade:unknown|condition:12,0.0,0.0
last2_class_grade:unknown|condition:13,0.0,0.0
last2_class_grade:unknown|condition:14,0.0,0.0
last2_class_grade:unknown|condition:18,0.0,0.0
last2_class_grade:unknown|condition:19,0.0,0.0
last2_class_unknown,0.0,0.0
last2_class_nan,0.0,0.0
last3_class_grade:A|condition:11,0.0,0.0
last3_class_grade:A|condition:12,0.0,0.0
last3_class_grade:A|condition:13,0.0,0.0
last3_class_grade:A|condition:14,0.0,0.0
last3_class_grade:B|condition:11,0.0,0.0
last3_class_grade:B|condition:12,0.0,0.0
last3_class_grade:B|condition:13,0.0,0.0
last3_class_grade:B|condition:14,0.0,0.0
last3_class_grade:C|condition:11,0.0,0.0
last3_class_grade:C|condition:12,0.0,0.0
last3_class_grade:C|condition:13,0.0,0.0
last3_class_grade:C|condition:14,0.0,0.0
last3_class_grade:D|condition:11,0.0,0.0
last3_class_grade:D|condition:12,0.0,0.0
last3_class_grade:D|condition:13,0.0,0.0
last3_class_grade:E|condition:11,0.0,0.0
last3_class_grade:E|condition:12,0.0,0.0
