racecourse,surface,distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
中京,芝,1300～1600m,27,5,0.18518518518518517,57.407407407407405,0.5185185185185185,68.51851851851852,LOW SAMPLE
中京,芝,1700～2000m,28,12,0.42857142857142855,94.64285714285714,0.8214285714285714,100.0,LOW SAMPLE
中京,芝,2100～2400m,3,1,0.3333333333333333,63.33333333333333,0.6666666666666666,36.666666666666664,LOW SAMPLE
中京,芝,2500m～,4,2,0.5,202.5,0.75,114.99999999999999,LOW SAMPLE
中京,芝,～1200m,10,2,0.2,46.0,0.7,94.0,LOW SAMPLE
函館,芝,1700～2000m,36,14,0.3888888888888889,107.22222222222221,0.5833333333333334,80.0,
函館,芝,2100～2400m,2,1,0.5,235.0,1,145.0,LOW SAMPLE
函館,芝,2500m～,4,1,0.25,45.0,0.25,27.500000000000004,LOW SAMPLE
函館,芝,～1200m,30,6,0.2,44.666666666666664,0.5,67.0,
小倉,芝,1700～2000m,39,10,0.2564102564102564,100.25641025641025,0.6410256410256411,92.05128205128204,
小倉,芝,2500m～,7,1,0.14285714285714285,85.71428571428571,0.5714285714285714,87.14285714285714,LOW SAMPLE
小倉,芝,～1200m,26,7,0.2692307692307692,78.46153846153847,0.38461538461538464,58.46153846153847,LOW SAMPLE
新潟,芝,1300～1600m,16,3,0.1875,54.37499999999999,0.625,78.125,LOW SAMPLE
新潟,芝,1700～2000m,30,6,0.2,54.0,0.5666666666666667,73.0,
新潟,芝,2100～2400m,2,0,0,0.0,1,120.0,LOW SAMPLE
新潟,芝,2500m～,2,1,0.5,185.0,0.5,80.0,LOW SAMPLE
新潟,芝,～1200m,22,1,0.045454545454545456,15.0,0.09090909090909091,12.272727272727273,LOW SAMPLE
札幌,芝,1300～1600m,10,6,0.6,206.0,0.7,105.0,LOW SAMPLE
札幌,芝,1700～2000m,41,11,0.2682926829268293,77.5609756097561,0.6097560975609756,86.82926829268293,
札幌,芝,2500m～,4,1,0.25,110.00000000000001,0.5,85.0,LOW SAMPLE
札幌,芝,～1200m,17,6,0.35294117647058826,85.88235294117646,0.5294117647058824,69.41176470588235,LOW SAMPLE
福島,芝,1700～2000m,41,12,0.2926829268292683,124.63414634146342,0.5853658536585366,96.09756097560975,
福島,芝,2500m～,5,1,0.2,66.0,0.4,54.0,LOW SAMPLE
福島,芝,～1200m,26,9,0.34615384615384615,79.61538461538461,0.46153846153846156,68.07692307692308,LOW SAMPLE
