feature,gain,split
last1_finish,337357.6155529022,392.0
recent5_place_rate,181838.941072464,56.0
career_place_rate,95121.90662574768,260.0
recent3_place_rate,73261.2883605957,34.0
field_size,40349.2008972168,342.0
weighted_margin_last3,38938.789585113525,180.0
best_strong_opponent_performance_last3,32293.086336135864,154.0
last2_finish,31413.50827407837,220.0
career_races,28700.394121170044,368.0
grade_code_unknown,21618.173084259033,174.0
mean_margin_last3,20127.171277999878,146.0
best_margin_last3,18136.764251708984,24.0
recent3_win_rate,16574.542316436768,120.0
current_distance,15079.318212509155,290.0
career_win_rate,11292.213165283203,232.0
races_last_180d,8941.45567703247,152.0
last1_distance,7938.141604423523,172.0
last1_field_top3_mean_strength_v2,7767.272401809692,146.0
last2_field_top3_mean_strength_v2,6607.4607944488525,104.0
condition_code_13,5909.305978775024,94.0
margin_x_field_strength,5801.83399772644,66.0
last3_field_top3_mean_strength_v2,4950.359603881836,86.0
grade_code_E,4671.778614044189,46.0
condition_code_12,4644.376003265381,78.0
last3_finish,4475.809799194336,72.0
last1_winner_strength,4128.691560745239,38.0
grade_code_A,3617.806592941284,82.0
last3_field_strength,3586.681173324585,54.0
last2_distance,3114.199390411377,50.0
last1_margin,2644.669990539551,50.0
last1_margin_x_winner_strength_v2,2333.5724124908447,28.0
recent5_win_rate,1814.6938190460205,32.0
last3_field_strength_v2,1735.3346118927002,48.0
condition_code_11,1655.7052192687988,18.0
last1_field_strength_v2,1598.651403427124,22.0
last2_field_strength_v2,1585.4911975860596,50.0
last1_class_grade:B|condition:12,1260.8764190673828,32.0
last3_distance,1219.3842010498047,34.0
mean_winner_strength_last3,1178.7709980010986,26.0
racecourse_東京,1078.1305961608887,30.0
last2_field_max_strength_v2,998.9101142883301,32.0
racecourse_福島,916.1485939025879,28.0
grade_code_B,851.5584106445312,26.0
last1_class_grade:E|condition:11,833.1787948608398,24.0
grade_code_C,778.7368049621582,22.0
last1_class_grade:unknown|condition:12,640.8992233276367,6.0
last1_class_grade:C|condition:12,533.250789642334,16.0
last2_class_grade:A|condition:12,512.025203704834,20.0
last2_winner_strength,429.992000579834,16.0
last2_field_strength,427.0572032928467,20.0
last1_class_grade:A|condition:12,407.8110008239746,12.0
last1_field_max_strength_v2,382.6238031387329,10.0
last3_class_grade:unknown|condition:14,377.3204002380371,10.0
last3_field_max_strength_v2,333.110239982605,12.0
last1_field_strength,323.0544013977051,14.0
last1_winner_strength_v2,289.9320011138916,16.0
last1_class_grade:unknown|condition:11,257.8017997741699,12.0
racecourse_小倉,229.75219917297363,10.0
career_wins,220.8321933746338,10.0
last2_class_grade:E|condition:11,174.26459884643555,8.0
last1_class_grade:A|condition:13,157.30940055847168,10.0
races_last_365d,149.4021987915039,6.0
margin_x_winner_strength,146.31740188598633,6.0
condition_code_18,142.5310001373291,6.0
career_places,138.54199981689453,4.0
weighted_winner_strength_last3,137.48400115966797,6.0
last2_class_grade:A|condition:13,131.60559844970703,8.0
last2_winner_strength_v2,122.97859954833984,2.0
last3_margin,119.93299865722656,6.0
racecourse_新潟,99.38360214233398,4.0
last2_margin,98.22159957885742,6.0
last3_winner_strength_v2,96.46540069580078,4.0
last2_class_grade:unknown|condition:11,82.25400161743164,4.0
last2_class_grade:E|condition:13,67.63180160522461,4.0
last3_margin_x_winner_strength_v2,63.80220031738281,4.0
last3_class_grade:unknown|condition:12,62.229801177978516,2.0
last3_winner_strength,62.14039993286133,4.0
last1_class_grade:E|condition:13,58.53739929199219,2.0
last2_class_grade:C|condition:13,49.472801208496094,4.0
max_winner_strength_last3,44.641998291015625,2.0
racecourse_中山,40.88679885864258,2.0
racecourse_京都,40.051998138427734,2.0
last2_class_grade:E|condition:12,37.130001068115234,2.0
last2_margin_x_winner_strength_v2,33.148399353027344,2.0
last3_class_grade:unknown|condition:13,31.99920082092285,2.0
