model,odds_band,n,win_rate,avg_prob,payout,roi,profit
v0,~1.4,40,0.7,0.3554869693613879,3640.0,91.0,-360.0
v0,1.5-1.9,157,0.45222929936305734,0.40872185058128935,12130.0,77.26114649681529,-3570.0
v0,2.0-2.9,284,0.35563380281690143,0.3666942187676589,24560.0,86.47887323943661,-3840.0
v0,3.0-4.9,462,0.18398268398268397,0.3688819020212515,31800.0,68.83116883116884,-14400.0
v0,5.0-7.9,433,0.12240184757505773,0.31691715807732573,33540.0,77.459584295612,-9760.0
v0,8.0-9.9,171,0.1111111111111111,0.28139344705791397,16590.0,97.01754385964912,-510.0
v0,10.0-14.9,234,0.07692307692307693,0.25925755361908814,22140.0,94.61538461538461,-1260.0
v0,15.0-19.9,206,0.038834951456310676,0.25011622862193966,14000.0,67.96116504854369,-6600.0
v0,20.0-29.9,225,0.04888888888888889,0.21505506496790291,25960.0,115.37777777777778,3460.0
v0,30.0-49.9,272,0.014705882352941176,0.20151602450709508,14110.0,51.87500000000001,-13090.0
v0,50+,750,0.005333333333333333,0.09681465164029868,33760.0,45.013333333333335,-41240.0
ranker,~1.4,54,0.6851851851851852,0.4121626579345928,4890.0,90.55555555555556,-510.0
ranker,1.5-1.9,203,0.4827586206896552,0.33068980363332673,16660.0,82.06896551724138,-3640.0
ranker,2.0-2.9,454,0.31497797356828194,0.27333660226502104,34530.0,76.05726872246696,-10870.0
ranker,3.0-4.9,559,0.16994633273703041,0.23052383702655752,34470.0,61.66368515205725,-21430.0
ranker,5.0-7.9,241,0.11618257261410789,0.2025930797463399,17190.0,71.32780082987551,-6910.0
ranker,8.0-9.9,37,0.0,0.18834331831145526,0.0,0.0,-3700.0
ranker,10.0-14.9,44,0.045454545454545456,0.1953441122901168,2290.0,52.04545454545455,-2110.0
ranker,15.0-19.9,18,0.1111111111111111,0.14819770240251248,3420.0,190.0,1620.0
ranker,20.0-29.9,11,0.0,0.17459640806383378,0.0,0.0,-1100.0
ranker,30.0-49.9,3,0.0,0.11705715017591543,0.0,0.0,-300.0
ranker,50+,3,0.0,0.1313465498413548,0.0,0.0,-300.0
