column,in_phase6_g_cache,in_cleanup_inventory,reason,expected_difference
adjusted_performance_v2_last1,1,0,cache-only feature or prior cache version,inspect before new cache
adjusted_performance_v2_last2,1,0,cache-only feature or prior cache version,inspect before new cache
adjusted_performance_v2_last3,1,0,cache-only feature or prior cache version,inspect before new cache
best_adjusted_performance_v2_last3,1,0,cache-only feature or prior cache version,inspect before new cache
jockey_added_value,1,0,cache-only feature or prior cache version,inspect before new cache
jockey_change_added_value,1,0,cache-only feature or prior cache version,inspect before new cache
jockey_form_trend,1,0,cache-only feature or prior cache version,inspect before new cache
jockey_place_rate,1,0,cache-only feature or prior cache version,inspect before new cache
jockey_rides,1,0,cache-only feature or prior cache version,inspect before new cache
jockey_top2_rate,1,0,cache-only feature or prior cache version,inspect before new cache
jockey_win_rate,1,0,cache-only feature or prior cache version,inspect before new cache
max_strong_against_bias_v2_last3,1,0,cache-only feature or prior cache version,inspect before new cache
mean_adjusted_performance_v2_last3,1,0,cache-only feature or prior cache version,inspect before new cache
position_bias_residual_v2,1,0,cache-only feature or prior cache version,inspect before new cache
position_bias_top5_v2,1,0,cache-only feature or prior cache version,inspect before new cache
position_bias_top6_v2,1,0,cache-only feature or prior cache version,inspect before new cache
position_bias_weighted_top6_v2,1,0,cache-only feature or prior cache version,inspect before new cache
recent_jockey_added_value,1,0,cache-only feature or prior cache version,inspect before new cache
setup_benefit_last1,1,0,cache-only feature or prior cache version,inspect before new cache
setup_benefit_last2,1,0,cache-only feature or prior cache version,inspect before new cache
setup_benefit_last3,1,0,cache-only feature or prior cache version,inspect before new cache
strong_against_bias_v2_last1,1,0,cache-only feature or prior cache version,inspect before new cache
strong_against_bias_v2_last2,1,0,cache-only feature or prior cache version,inspect before new cache
strong_against_bias_v2_last3,1,0,cache-only feature or prior cache version,inspect before new cache
weighted_adjusted_performance_v2_last3,1,0,cache-only feature or prior cache version,inspect before new cache
