race_id,horse_id,actual_rank,odds,CA_rank,CB_rank,CA_probability,CB_probability,rank_change
2026-0704-02-01-07-01,2024100255,2,18.0,1,1,0.31571089333493263,0.2980318325308107,0
2026-0704-02-01-07-01,2024103505,4,28.0,2,2,0.2298441560464046,0.2812684471013506,0
2026-0704-02-01-07-01,2024106248,1,70.0,3,3,0.10513290284954781,0.10610983077381797,0
2026-0704-02-01-07-01,2024106857,3,100.0,4,4,0.08853999418848169,0.07273532934404818,0
2026-0704-02-01-07-01,2024106810,5,462.0,5,5,0.08203170496656727,0.06025304150506303,0
2026-0704-02-01-07-01,2024106919,7,335.0,6,6,0.05540134011086531,0.030619682450832426,0
2026-0704-02-01-07-01,2024104503,6,1241.0,7,7,0.032667024976202434,0.027026786798261537,0
2026-0704-02-01-07-01,2024107158,9,1079.0,8,8,0.02779830950396848,0.024550545914226677,0
2026-0704-02-01-07-01,2024107000,8,303.0,9,9,0.026475550684503957,0.022992050932018553,0
2026-0704-02-01-07-02,2023106438,2,21.0,1,1,0.27554808918678425,0.2712985977810738,0
2026-0704-02-01-07-02,2023104713,1,105.0,2,2,0.16872004275619776,0.17189085037258972,0
2026-0704-02-01-07-02,2023101938,12,61.0,3,3,0.14828569413551088,0.14696523444092652,0
2026-0704-02-01-07-02,2023103372,7,130.0,4,4,0.12083621353822821,0.11634601177895343,0
2026-0704-02-01-07-02,2023106148,4,106.0,5,5,0.09805801896238872,0.1012035084298268,0
2026-0704-02-01-07-02,2023106285,6,172.0,7,6,0.07863800136419692,0.08442398682770286,1
2026-0704-02-01-07-02,2023104216,3,48.0,6,7,0.08217189608255435,0.08420624644639563,-1
2026-0704-02-01-07-02,2023102669,9,543.0,8,8,0.06213297109751359,0.07339024583585825,0
2026-0704-02-01-07-02,2023104679,8,1104.0,9,9,0.05122283609229339,0.04965680867821228,0
2026-0704-02-01-07-02,2023105537,5,869.0,11,10,0.04209976519817946,0.04296052950828037,1
2026-0704-02-01-07-02,2023103333,11,664.0,12,11,0.034545998550313185,0.04100286210982431,1
2026-0704-02-01-07-02,2023101812,13,823.0,10,12,0.04242077891762045,0.04072963738932029,-2
2026-0704-02-01-07-02,2023106476,15,1709.0,14,13,0.023458911971915884,0.033104382712756265,1
2026-0704-02-01-07-02,2023106454,16,801.0,13,14,0.027324486250131078,0.030985993927661944,-1
2026-0704-02-01-07-02,2023101598,10,1957.0,16,15,0.014927930764284348,0.021412034448806103,1
2026-0704-02-01-07-02,2023110027,14,2389.0,15,16,0.018076363139822384,0.020984449560785528,-1
2026-0704-02-01-07-03,2023105268,6,36.0,2,1,0.2875947075176144,0.3194732658485585,1
2026-0704-02-01-07-03,2023103024,1,25.0,1,2,0.2984027416538545,0.30468267227048895,-1
2026-0704-02-01-07-03,2023100609,9,31.0,3,3,0.2782520997289646,0.25414270584178095,0
2026-0704-02-01-07-03,2023105555,3,128.0,4,4,0.14369876951865124,0.16556905528177113,0
2026-0704-02-01-07-03,2023103570,10,257.0,5,5,0.10919260077598292,0.1100426763356255,0
