feature,gain,split
last1_raw_performance,138431.19702911377,46.0
mean_adjusted_performance_last3,76126.58475589752,120.0
last1_finish,63662.05644035339,86.0
recent3_place_rate,37724.11036109924,45.0
field_size,22496.130842208862,171.0
career_races,22306.969594955444,194.0
prize_ratio_vs_last3_mean,21969.002751350403,207.0
mean_margin_last3,21522.975873947144,39.0
prize_change_from_last3_mean,18635.517236709595,53.0
best_strong_opponent_performance_last3,16127.657285690308,50.0
prize_ratio_vs_last1,11286.572172164917,48.0
last2_finish,8339.546648025513,45.0
career_win_rate,7662.746477127075,117.0
weighted_margin_last3,7440.125275611877,63.0
last2_raw_performance,7340.27437210083,30.0
current_distance,7292.829904556274,123.0
last1_margin_x_prize_strength,6351.428791046143,24.0
race_first_prize,4987.627923965454,79.0
career_places,4457.997417449951,70.0
best_adjusted_performance_last3,3334.3183269500732,30.0
last1_field_top3_mean_strength_v2,3104.027506828308,60.0
last1_distance,2786.4590101242065,60.0
last3_field_top3_mean_strength_v2,2679.2005100250244,40.0
races_last_180d,2646.224193572998,54.0
weighted_adjusted_performance_last3,1912.050329208374,16.0
last2_position_advantage,1715.1473054885864,36.0
margin_x_field_strength,1679.3812065124512,21.0
condition_code_13,1620.0389881134033,31.0
recent3_win_rate,1610.0684909820557,37.0
last2_field_top3_mean_strength_v2,1475.444585800171,25.0
race_total_top5_prize,1405.9718933105469,27.0
last1_position_advantage,1293.983404159546,16.0
last1_margin_x_winner_strength_v2,1188.6369171142578,8.0
last3_position_advantage,1145.9981880187988,27.0
last1_race_first_prize,1081.930103302002,20.0
last3_finish,1065.3434019088745,19.0
condition_code_12,1053.8033027648926,24.0
career_wins,1001.3476009368896,13.0
last2_adjusted_performance,955.5023994445801,8.0
last1_field_strength_v2,909.1961078643799,19.0
setup_improvement,881.2911853790283,19.0
last1_adjusted_performance,811.9010009765625,14.0
prize_change_from_last1,708.2628002166748,7.0
last2_distance,703.8871097564697,15.0
last2_field_strength_v2,687.9914112091064,17.0
last3_field_strength,664.4227142333984,10.0
last1_class_grade:E|condition:11,565.263298034668,14.0
best_margin_last3,531.0006942749023,6.0
mean_winner_strength_last3,504.70110511779785,10.0
race_third_prize,495.83019256591797,8.0
last3_adjusted_performance,491.3879051208496,7.0
last3_field_strength_v2,476.34929752349854,12.0
condition_code_11,467.5013008117676,4.0
racecourse_福島,384.0445976257324,13.0
margin_x_winner_strength,293.34529876708984,7.0
last1_field_strength,292.4448013305664,9.0
races_last_365d,280.3040962219238,5.0
mean_race_prize_last3,269.566104888916,5.0
last3_distance,257.8612003326416,9.0
weighted_race_prize_last3,255.92160415649414,6.0
last3_class_grade:unknown|condition:14,217.235502243042,6.0
last2_margin_x_prize_strength,211.88640213012695,7.0
racecourse_東京,198.78789901733398,7.0
race_second_prize,194.73920249938965,4.0
last3_field_max_strength_v2,189.83979988098145,5.0
last1_winner_strength,152.25360107421875,4.0
last1_class_grade:E|condition:13,150.2972011566162,4.0
last3_raw_performance,129.60529899597168,3.0
last2_class_grade:E|condition:11,128.18080139160156,6.0
last2_field_max_strength_v2,117.09969902038574,4.0
last3_winner_mean_prize_before_target,106.86410140991211,4.0
last2_winner_strength_v2,105.78359603881836,2.0
last3_winner_strength_v2,98.03689765930176,3.0
max_race_prize_last3,87.86089992523193,5.0
last2_class_grade:E|condition:13,80.50639915466309,3.0
last2_race_first_prize,78.87410068511963,4.0
last1_winner_strength_v2,78.05060005187988,3.0
racecourse_小倉,68.50370025634766,3.0
hidden_strength_x_race_strength,67.51460075378418,3.0
last3_margin_x_winner_strength_v2,61.87419891357422,2.0
last1_field_max_strength_v2,58.51069927215576,3.0
last3_winner_best_win_class_before_target,56.21719932556152,3.0
max_winner_strength_last3,55.69880962371826,3.0
last1_winner_max_prize_before_target,50.36670970916748,4.0
grade_code_E,44.81289863586426,2.0
weighted_winner_strength_last3,42.09739875793457,2.0
last3_margin,37.76539993286133,2.0
last2_field_strength,35.6850004196167,2.0
last3_class_grade:unknown|condition:11,35.66590118408203,1.0
hidden_strength_last3,31.875100135803223,2.0
last3_winner_max_prize_before_target,28.523469924926758,2.0
last2_margin_x_winner_strength_v2,28.36910057067871,1.0
last2_class_grade:unknown|condition:11,23.702499389648438,1.0
last2_class_grade:unknown|condition:14,23.688499450683594,1.0
condition_code_14,23.095399856567383,1.0
last3_winner_strength,22.255699157714844,1.0
last1_winner_mean_prize_before_target,21.91629981994629,2.0
last1_margin,21.171899795532227,1.0
last3_class_grade:E|condition:12,19.14229965209961,1.0
last2_winner_strength,18.92840003967285,1.0
max_strong_against_bias_last3,17.971399307250977,1.0
grade_code_unknown,17.516000747680664,1.0
hidden_strength_last1,16.06879997253418,1.0
recent5_win_rate,15.300000190734863,1.0
last2_margin,0.0,0.0
opponent_history_missing_last3,0.0,0.0
last1_winner_max_race_class_before_target,0.0,0.0
last2_winner_max_race_class_before_target,0.0,0.0
last3_winner_max_race_class_before_target,0.0,0.0
last1_winner_best_win_class_before_target,0.0,0.0
last2_winner_best_win_class_before_target,0.0,0.0
last2_winner_max_prize_before_target,0.0,0.0
last2_winner_mean_prize_before_target,0.0,0.0
hidden_strength_last2,0.0,0.0
max_hidden_strength_last3,0.0,0.0
strong_against_bias_last1,0.0,0.0
strong_against_bias_last2,0.0,0.0
strong_against_bias_last3,0.0,0.0
race_first_prize_log,0.0,0.0
race_total_top5_prize_log,0.0,0.0
last3_race_first_prize,0.0,0.0
last1_race_first_prize_log,0.0,0.0
last2_race_first_prize_log,0.0,0.0
last3_race_first_prize_log,0.0,0.0
last3_margin_x_prize_strength,0.0,0.0
racecourse_中京,0.0,0.0
racecourse_中山,0.0,0.0
racecourse_京都,0.0,0.0
racecourse_函館,0.0,0.0
racecourse_新潟,0.0,0.0
racecourse_札幌,0.0,0.0
racecourse_阪神,0.0,0.0
racecourse_nan,0.0,0.0
surface_芝,0.0,0.0
surface_nan,0.0,0.0
grade_code_A,0.0,0.0
grade_code_B,0.0,0.0
grade_code_C,0.0,0.0
grade_code_D,0.0,0.0
grade_code_F,0.0,0.0
grade_code_G,0.0,0.0
grade_code_H,0.0,0.0
grade_code_L,0.0,0.0
grade_code_nan,0.0,0.0
