feature,gain,split
last1_raw_performance,175575.1715259552,73.0
mean_adjusted_performance_last3,70000.23580741882,132.0
recent3_place_rate,43917.81411361694,46.0
mean_margin_last3,27485.851440429688,55.0
career_races,24780.937638282776,202.0
field_size,24585.078959465027,187.0
prize_change_from_last3_mean,21120.977630615234,62.0
prize_ratio_vs_last3_mean,20930.965156555176,185.0
last1_margin_x_prize_strength,17689.70413017273,42.0
best_strong_opponent_performance_last3,14290.71353340149,51.0
prize_ratio_vs_last1,9464.117597579956,48.0
last2_raw_performance,8274.485725402832,44.0
current_distance,7692.754199028015,127.0
career_win_rate,7531.542300224304,123.0
weighted_margin_last3,7084.386954307556,51.0
race_first_prize,6331.315059661865,90.0
last1_adjusted_performance,5974.120694160461,25.0
last1_distance,3656.6093320846558,68.0
career_places,3262.626503944397,58.0
best_adjusted_performance_last3,3149.4657859802246,30.0
margin_x_field_strength,2835.885043144226,24.0
last2_margin_x_prize_strength,2748.4482040405273,26.0
weighted_adjusted_performance_last3,2688.784207344055,23.0
last1_margin_x_winner_strength_v2,2590.2696170806885,14.0
last3_field_top3_mean_strength_v2,2447.909818649292,32.0
races_last_180d,2392.788091659546,49.0
last1_field_top3_mean_strength_v2,2358.2464876174927,52.0
last2_position_advantage,1813.6988925933838,34.0
last1_field_strength_v2,1584.8114700317383,34.0
last2_adjusted_performance,1481.2684879302979,10.0
condition_code_13,1449.0153856277466,31.0
last1_position_advantage,1423.2815914154053,20.0
condition_code_11,1338.4283847808838,11.0
last3_position_advantage,1251.224895477295,27.0
race_total_top5_prize,1248.3622951507568,21.0
recent3_win_rate,1190.9622898101807,27.0
setup_improvement,1101.8154945373535,15.0
last2_field_top3_mean_strength_v2,1084.1499652862549,21.0
last2_field_strength_v2,1026.6464939117432,22.0
condition_code_12,981.9344005584717,21.0
prize_change_from_last1,834.8887062072754,13.0
last1_race_first_prize,815.3782958984375,17.0
race_third_prize,775.8414058685303,11.0
last3_field_strength_v2,677.2706995010376,16.0
last2_distance,641.1794033050537,15.0
career_wins,582.5959968566895,8.0
last1_class_grade:E|condition:11,528.3391017913818,13.0
mean_winner_strength_last3,526.7973976135254,11.0
best_margin_last3,520.0329055786133,10.0
last3_distance,391.60100173950195,12.0
last1_winner_strength,335.17829608917236,5.0
racecourse_福島,335.0508975982666,12.0
races_last_365d,334.2117977142334,9.0
last2_field_max_strength_v2,277.2959041595459,7.0
margin_x_winner_strength,260.8439998626709,6.0
last3_field_strength,219.08660316467285,6.0
last3_margin_x_prize_strength,197.77239608764648,6.0
last2_race_first_prize,187.001802444458,6.0
last3_class_grade:unknown|condition:14,182.4483985900879,6.0
last3_margin_x_winner_strength_v2,176.41830444335938,2.0
mean_race_prize_last3,155.6452980041504,3.0
last3_winner_mean_prize_before_target,140.63169860839844,4.0
racecourse_東京,138.45090103149414,5.0
last1_class_grade:E|condition:13,132.3125991821289,4.0
last1_winner_strength_v2,128.2396011352539,6.0
last1_field_strength,119.83089828491211,5.0
max_race_prize_last3,116.64620018005371,5.0
race_second_prize,116.10169982910156,4.0
last3_race_first_prize,115.06889820098877,4.0
condition_code_18,96.15899848937988,4.0
last1_margin,95.02289962768555,4.0
last1_field_max_strength_v2,93.15510082244873,3.0
last2_class_grade:E|condition:13,91.03700065612793,4.0
last2_class_grade:E|condition:11,82.39330101013184,4.0
last1_winner_max_prize_before_target,76.66953992843628,6.0
hidden_strength_last1,75.70799922943115,4.0
last3_winner_strength_v2,71.09349918365479,4.0
racecourse_小倉,70.76450157165527,3.0
last3_adjusted_performance,69.7162971496582,2.0
last2_winner_max_prize_before_target,65.90110111236572,3.0
last1_winner_mean_prize_before_target,62.29199981689453,1.0
last3_winner_best_win_class_before_target,61.62080001831055,4.0
last2_field_strength,59.146799087524414,3.0
last3_raw_performance,55.46889877319336,1.0
weighted_winner_strength_last3,50.249399185180664,2.0
last3_field_max_strength_v2,47.36159896850586,2.0
grade_code_E,47.36129951477051,2.0
weighted_race_prize_last3,47.27439880371094,1.0
hidden_strength_x_race_strength,44.11409950256348,2.0
condition_code_14,41.03110122680664,1.0
max_winner_strength_last3,40.32500076293945,1.0
last2_class_grade:unknown|condition:14,40.28099822998047,1.0
hidden_strength_last2,30.46060085296631,2.0
recent5_win_rate,27.58839988708496,1.0
hidden_strength_last3,25.267390251159668,2.0
last2_class_grade:unknown|condition:19,22.288400650024414,1.0
last2_winner_strength,21.942800521850586,1.0
last2_class_grade:unknown|condition:11,16.875,1.0
