race_id,date,racecourse,race_number,pred_rank1_horse,pred_rank2_horse,pred_rank3_horse,p1,p2,p3,p4,gap_1_2,gap_2_3,gap_3_4,ratio_1_2,ratio_2_3,ratio_3_4,top1_share,top2_share,top3_share,prediction_entropy,normalized_entropy,prediction_std,prediction_range,actual_winner,actual_second,actual_third,top1_hit,top2_box_hit,top2_exact_hit,top3_box_hit,top2_order_hit,top1_odds,top1_fair_odds,top1_market_implied_probability,top1_edge,top1_expected_return,recommendation
2026-0704-02-01-07-01,2026-07-04,函館,1,アルテクィーン,ヌーンベルク,ショウナンカノア,0.30064167315455387,0.22932182373461593,0.09934254702719844,0.09087275280962291,0.07131984941993794,0.1299792767074175,0.00846979421757553,1.3110033238810854,2.3083948478976604,1.0932049922083864,0.30064167315455387,0.5299634968891698,0.6293060439163682,1.9267004738951574,0.8768791746499445,0.09130222690091555,0.2900998565411801,ショウナンカノア,アルテクィーン,トーセンルルド,0,0,0,0,0,18.0,3.178702102897569,0.05555555555555555,0.25903825274388925,5.6626885493900065,TWO_HORSE_UNORDERED
2026-0704-02-01-07-02,2026-07-04,函館,2,トリニタリオ,ニシノマルガリート,ユマハム,0.22400168388366598,0.12236676228000688,0.11862731176343153,0.0991622774426868,0.1016349216036591,0.003739450516575357,0.01946503432074473,1.8305762096662495,1.031522677712133,1.1962947485952509,0.22400168388366598,0.34636844616367285,0.46499575792710435,2.4580886571145126,0.8865680789211298,0.06835210634129872,0.26723102598315046,ニシノマルガリート,トリニタリオ,コワンニシタガウ,0,1,0,0,0,21.0,3.5339398827408828,0.047619047619047616,0.2353512442310819,5.94237612885272,UNSET
2026-0704-02-01-07-03,2026-07-04,函館,3,ギンケイ,ペガサスウィンド,ラショナルポイント,0.23551922154670818,0.22354034419876703,0.22329217724792144,0.084528696645264,0.011978877347941147,0.0002481669508455908,0.13876348060265745,1.0535870935999356,1.001111400112195,2.641613867359117,0.23551922154670818,0.45905956574547524,0.6823517429933967,1.9754193249199348,0.8238138451370306,0.11337816930517802,0.2909724857500067,ギンケイ,ルージュリヴィエラ,ウォータースパウト,1,0,0,0,0,25.0,3.2309116559160556,0.04,0.26951016508573383,7.737754127143345,THREE_HORSE
2026-0704-02-01-07-04,2026-07-04,函館,4,スッサンエア,フルムーン,ブラックジャック,0.19969012885304394,0.19771415786944457,0.10275893901736073,0.07001504190057495,0.001975970983599362,0.09495521885208384,0.03274389711678578,1.0099940793562399,1.92405799203553,1.4676694639886647,0.19969012885304394,0.3974042867224885,0.5001632257398493,2.4660387541692232,0.889435470319984,0.05231095279047687,0.1744659276685212,ロードクラシコ,ルージュフィーリア,ホウオウザロイヤル,0,0,0,0,0,58.0,5.305429035295103,0.017241379310344827,0.17124479086502858,10.932197870171658,UNSET
2026-0704-02-01-07-05,2026-07-04,函館,5,リキサンステラ,リアルクウカイ,ダマスク,0.2,0.2,0.2,0.2,0.0,0.0,0.0,1.0,1.0,1.0,0.2,0.4,0.6000000000000001,1.6094379124341005,1.0000000000000002,0.0,0.0,ダマスク,リアルクウカイ,ヴァイタリズム,0,0,0,0,0,46.0,7.7709149829350395,0.021739130434782608,0.10694584452582422,5.919508848187914,CHAOTIC_SKIP
2026-0704-02-01-07-06,2026-07-04,函館,6,レッドフロイデ,ブレイズランナー,メイショウセンドウ,0.2766751026145602,0.1515541065566679,0.1043438507495604,0.08309912069697438,0.1251209960578923,0.0472102558071075,0.021244730052586022,1.8255863130380308,1.4524488550879593,1.2556552930331975,0.2766751026145602,0.4282292091712281,0.5325730599207885,2.2276240075862845,0.8684865457893117,0.0714471892134114,0.27269538110871683,レッドフロイデ,ストリートクイーン,ブレイズランナー,1,0,0,0,0,21.0,3.503126262830732,0.047619047619047616,0.23784026071657066,5.994645475047983,UNSET
2026-0704-02-01-07-07,2026-07-04,函館,7,デルマリシリ,メイショウハッケイ,ツルノマイハシ,0.3290600951489152,0.19779994696385372,0.181907427760581,0.07143544672587226,0.1312601481850615,0.015892519203272726,0.11047198103470873,1.663600522648513,1.0873659717963238,2.5464588813819,0.3290600951489152,0.5268600421127689,0.7087674698733499,1.8703114181770268,0.812265928354928,0.12407206450833282,0.40037951682928546,ストレイトアスク,デルマリシリ,ライトニングロッド,0,0,0,0,0,19.0,2.4097227744256124,0.05263157894736842,0.36235391673412654,7.884724417948404,ONE_HORSE
2026-0704-02-01-07-08,2026-07-04,函館,8,バズアップビート,ダノンヒストリー,グランアルト,0.2816558946923579,0.275790966819797,0.11733268864291388,0.10560462055954557,0.005864927872560932,0.1584582781768831,0.011728068083368307,1.0212658447090948,2.3505041093802035,1.1110563914838876,0.2816558946923579,0.5574468615121548,0.6747795501550687,1.7578912444466837,0.903377396587449,0.072125919087249,0.19929882634030488,ダノンヒストリー,アスクファイアモア,サイモンイロハニー,0,0,0,0,0,24.0,4.3937435116585295,0.041666666666666664,0.18592968649927513,5.462312475982603,UNSET
2026-0704-02-01-07-09,2026-07-04,函館,9,グレーヌドジョワ,タイキルッジェーロ,ゴーゴータカシ,0.18665244496589573,0.17476180041991243,0.15726175338069184,0.14949815275780895,0.011890644545983292,0.01750004703922059,0.0077636006228828935,1.068039151104033,1.1112797400704117,1.0519310806164952,0.18665244496589573,0.36141424538580813,0.5186759987665,2.0121716278440003,0.9157787731845936,0.04600546980166037,0.13035514162163447,ウインベラーノ,グレーヌドジョワ,グランセゾン,0,0,0,0,0,36.0,7.086982058342224,0.027777777777777776,0.11332600825803991,5.079736297289437,UNSET
2026-0704-02-01-07-10,2026-07-04,函館,10,ディアウス,ケイアイアギト,セボンサデッセ,0.19382365604671342,0.17611608804847756,0.14135998146026396,0.09754734677769755,0.017707567998235862,0.0347561065882136,0.04381263468256641,1.100544863302674,1.2458694902841614,1.4491422486601488,0.19382365604671342,0.369939744095191,0.511299725555455,2.321855885902979,0.8798050197118972,0.09487896379991077,0.3024730826384649,ケイアイアギト,セボンサデッセ,オセアバトルプラン,0,0,0,0,0,52.0,3.1576688577262986,0.019230769230769232,0.29745854971195773,16.4678445850218,UNSET
