gap_2_3_percentile,gap_1_2_percentile,races,top1_win_rate,top1_place_rate,top2_box_rate,top2_exact_order_rate,top3_box_rate,top2_order_rate,quinella_hit_rate,exacta_hit_rate,quinella_average_payout,exacta_average_payout,quinella_roi,exacta_roi,mean_top1_odds,win_roi_if_top1_100yen
0-20%,0-20%,50,0.18,0.38,0.04,0.04,0.06,0.04,0.04,0.04,435.0,630.0,17.4,25.2,345.62,65.8
0-20%,20-50%,14,0.35714285714285715,0.6428571428571429,0.14285714285714285,0.07142857142857142,0,0.07142857142857142,0.14285714285714285,0.07142857142857142,495.0,1320.0,70.71428571428572,94.28571428571428,54.642857142857146,179.2857142857143
0-20%,50-80%,13,0.46153846153846156,0.6923076923076923,0.07692307692307693,0,0.07692307692307693,0,0.07692307692307693,0,860.0,,66.15384615384615,0.0,37.15384615384615,150.76923076923077
0-20%,80-100%,9,0.3333333333333333,0.4444444444444444,0,0,0.1111111111111111,0,0,0,,,0.0,0.0,28.77777777777778,80.0
20-50%,0-20%,15,0.2,0.5333333333333333,0.06666666666666667,0,0,0,0.06666666666666667,0,880.0,,58.666666666666664,0.0,52.666666666666664,70.0
20-50%,20-50%,39,0.20512820512820512,0.41025641025641024,0.15384615384615385,0.1282051282051282,0.05128205128205128,0.1282051282051282,0.15384615384615385,0.1282051282051282,913.3333333333334,1714.0,140.5128205128205,219.74358974358975,47.02564102564103,65.8974358974359
20-50%,50-80%,35,0.2,0.45714285714285713,0.05714285714285714,0,0.05714285714285714,0,0.05714285714285714,0,420.0,,24.0,0.0,41.885714285714286,53.142857142857146
20-50%,80-100%,40,0.425,0.7,0.125,0.075,0.125,0.075,0.125,0.075,686.0,810.0,85.75,60.75000000000001,24.325,83.0
50-80%,0-20%,12,0.4166666666666667,0.5833333333333334,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,940.0,1560.0,156.66666666666666,130.0,47.5,154.16666666666669
50-80%,20-50%,50,0.22,0.54,0.2,0.1,0.06,0.1,0.2,0.1,754.0,1336.0,150.8,133.6,38.88,77.60000000000001
50-80%,50-80%,47,0.3404255319148936,0.5957446808510638,0.0851063829787234,0.06382978723404255,0,0.06382978723404255,0.0851063829787234,0.06382978723404255,487.5,466.6666666666667,41.48936170212766,29.78723404255319,31.829787234042552,83.19148936170212
50-80%,80-100%,21,0.3333333333333333,0.7142857142857143,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.09523809523809523,456.6666666666667,930.0,65.23809523809524,88.57142857142857,23.61904761904762,74.76190476190476
80-100%,0-20%,9,0.1111111111111111,0.3333333333333333,0,0,0,0,0,0,,,0.0,0.0,54.44444444444444,41.11111111111111
80-100%,20-50%,26,0.11538461538461539,0.46153846153846156,0.3076923076923077,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.3076923076923077,0.038461538461538464,433.75,480.0,133.46153846153845,18.461538461538463,35.84615384615385,22.30769230769231
80-100%,50-80%,35,0.2571428571428571,0.6857142857142857,0.17142857142857143,0.08571428571428572,0.11428571428571428,0.08571428571428572,0.17142857142857143,0.08571428571428572,450.0,636.6666666666666,77.14285714285715,54.57142857142857,27.97142857142857,60.857142857142854
80-100%,80-100%,17,0.23529411764705882,0.7647058823529411,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.058823529411764705,277.5,230.0,65.29411764705883,13.529411764705882,20.529411764705884,34.705882352941174
