strategy,parameter,phase,total_races,bets,skip_count,bet_rate,wins,hit_rate,average_odds,win_roi,total_profit,maximum_drawdown
max EV min probability,p>=5.0%,all,219,219,0,1.0,4,0.0182648401826484,42.01050228310502,30.8675799086758,-15140.0,15570.0
max EV min probability,p>=7.5%,all,219,219,0,1.0,13,0.0593607305936073,22.46849315068493,68.58447488584474,-6880.0,9540.0
max EV min probability,p>=10.0%,all,219,218,1,0.9954337899543378,18,0.08256880733944955,12.686238532110092,70.59633027522936,-6410.0,8940.0
max EV min probability,p>=12.5%,all,219,215,4,0.9817351598173516,20,0.09302325581395349,8.84046511627907,64.32558139534883,-7670.0,9100.0
max EV min probability,p>=15.0%,all,219,193,26,0.8812785388127854,26,0.13471502590673576,6.332642487046632,52.38341968911917,-9190.0,9940.0
max EV min probability,p>=20.0%,all,219,130,89,0.593607305936073,31,0.23846153846153847,3.7838461538461536,53.69230769230769,-6020.0,6180.0
max EV min probability,p>=5.0%,discovery,144,144,0,1.0,3,0.020833333333333332,42.97083333333333,40.13888888888889,-8620.0,9050.0
max EV min probability,p>=7.5%,discovery,144,144,0,1.0,9,0.0625,21.938194444444445,79.09722222222221,-3010.0,5170.0
max EV min probability,p>=10.0%,discovery,144,143,1,0.9930555555555556,12,0.08391608391608392,12.591608391608391,72.93706293706293,-3870.0,5070.0
max EV min probability,p>=12.5%,discovery,144,142,2,0.9861111111111112,12,0.08450704225352113,8.226056338028169,59.225352112676056,-5790.0,5790.0
max EV min probability,p>=15.0%,discovery,144,130,14,0.9027777777777778,18,0.13846153846153847,5.966923076923077,48.38461538461539,-6710.0,6710.0
max EV min probability,p>=20.0%,discovery,144,86,58,0.5972222222222222,20,0.23255813953488372,3.6186046511627907,55.23255813953488,-3850.0,4280.0
max EV min probability,p>=5.0%,validation,75,75,0,1.0,1,0.013333333333333334,40.166666666666664,13.066666666666665,-6520.0,6520.0
max EV min probability,p>=7.5%,validation,75,75,0,1.0,4,0.05333333333333334,23.486666666666668,48.4,-3870.0,4400.0
max EV min probability,p>=10.0%,validation,75,75,0,1.0,6,0.08,12.866666666666667,66.13333333333333,-2540.0,3900.0
max EV min probability,p>=12.5%,validation,75,73,2,0.9733333333333334,8,0.1095890410958904,10.035616438356165,74.24657534246575,-1880.0,3340.0
max EV min probability,p>=15.0%,validation,75,63,12,0.84,8,0.12698412698412698,7.087301587301587,60.63492063492063,-2480.0,3230.0
max EV min probability,p>=20.0%,validation,75,44,31,0.5866666666666667,11,0.25,4.1068181818181815,50.68181818181819,-2170.0,2390.0
