strategy,parameter,phase,total_races,bets,skip_count,bet_rate,wins,hit_rate,average_odds,win_roi,total_profit,maximum_drawdown,month
Strategy 0 baseline,default,all,144,144,0,1.0,37,0.2569444444444444,4.293055555555555,77.56944444444444,-3230.0,4140.0,2026-07
Strategy 1 max EV,default,all,144,143,1,0.9930555555555556,12,0.08391608391608392,12.591608391608391,72.93706293706293,-3870.0,5070.0,2026-07
Strategy 2 max EV + EV>1,default,all,144,116,28,0.8055555555555556,7,0.0603448275862069,14.361206896551725,75.60344827586208,-2830.0,4330.0,2026-07
Strategy 3 max positive edge,default,all,144,132,12,0.9166666666666666,9,0.06818181818181818,12.768181818181818,76.2878787878788,-3130.0,4870.0,2026-07
Strategy 0 baseline,default,all,75,75,0,1.0,22,0.29333333333333333,4.212,84.66666666666667,-1150.0,1780.0,2026-08
Strategy 1 max EV,default,all,75,75,0,1.0,6,0.08,12.866666666666667,66.13333333333333,-2540.0,3900.0,2026-08
Strategy 2 max EV + EV>1,default,all,75,62,13,0.8266666666666667,5,0.08064516129032258,14.459677419354838,71.93548387096774,-1740.0,3700.0,2026-08
Strategy 3 max positive edge,default,all,75,70,5,0.9333333333333333,5,0.07142857142857142,12.388571428571428,63.714285714285715,-2540.0,4200.0,2026-08
Strategy 0 baseline,default,discovery,144,144,0,1.0,37,0.2569444444444444,4.293055555555555,77.56944444444444,-3230.0,4140.0,2026-07
Strategy 1 max EV,default,discovery,144,143,1,0.9930555555555556,12,0.08391608391608392,12.591608391608391,72.93706293706293,-3870.0,5070.0,2026-07
Strategy 2 max EV + EV>1,default,discovery,144,116,28,0.8055555555555556,7,0.0603448275862069,14.361206896551725,75.60344827586208,-2830.0,4330.0,2026-07
Strategy 3 max positive edge,default,discovery,144,132,12,0.9166666666666666,9,0.06818181818181818,12.768181818181818,76.2878787878788,-3130.0,4870.0,2026-07
Strategy 0 baseline,default,validation,75,75,0,1.0,22,0.29333333333333333,4.212,84.66666666666667,-1150.0,1780.0,2026-08
Strategy 1 max EV,default,validation,75,75,0,1.0,6,0.08,12.866666666666667,66.13333333333333,-2540.0,3900.0,2026-08
Strategy 2 max EV + EV>1,default,validation,75,62,13,0.8266666666666667,5,0.08064516129032258,14.459677419354838,71.93548387096774,-1740.0,3700.0,2026-08
Strategy 3 max positive edge,default,validation,75,70,5,0.9333333333333333,5,0.07142857142857142,12.388571428571428,63.714285714285715,-2540.0,4200.0,2026-08
