strategy,parameter,phase,total_races,bets,skip_count,bet_rate,wins,hit_rate,average_odds,win_roi,total_profit,maximum_drawdown
Strategy 0 baseline,top1,all,219,219,0,1.0,59,0.2694063926940639,4.265296803652968,80.0,-4380.0,4630.0
Strategy 1 max EV,p>=10%,all,219,218,1,0.9954337899543378,18,0.08256880733944955,12.686238532110092,70.59633027522936,-6410.0,8940.0
Strategy 2 max EV + EV>1,"p>=10%, EV>1",all,219,178,41,0.8127853881278538,12,0.06741573033707865,14.395505617977529,74.32584269662922,-4570.0,7700.0
Strategy 3 max positive edge,"p>=10%, edge>0",all,219,202,17,0.9223744292237442,14,0.06930693069306931,12.636633663366336,71.93069306930693,-5670.0,8840.0
Strategy 4 top1 gap,gap>=2.0%,all,219,151,68,0.6894977168949772,43,0.2847682119205298,3.6543046357615894,72.31788079470198,-4180.0,4500.0
Strategy 5 max EV + gap,"p>=10%, gap>=2.0%",all,219,151,68,0.6894977168949772,11,0.0728476821192053,12.315894039735099,47.086092715231786,-7990.0,8110.0
Strategy 4 top1 gap,gap>=5.0%,all,219,96,123,0.4383561643835616,28,0.2916666666666667,3.004166666666667,57.70833333333333,-4060.0,4200.0
Strategy 5 max EV + gap,"p>=10%, gap>=5.0%",all,219,96,123,0.4383561643835616,4,0.041666666666666664,10.885416666666666,29.062500000000004,-6810.0,6810.0
Strategy 4 top1 gap,gap>=7.5%,all,219,58,161,0.2648401826484018,18,0.3103448275862069,2.9034482758620688,57.931034482758626,-2440.0,2910.0
Strategy 5 max EV + gap,"p>=10%, gap>=7.5%",all,219,58,161,0.2648401826484018,3,0.05172413793103448,10.431034482758621,35.51724137931034,-3740.0,3740.0
Strategy 4 top1 gap,gap>=10.0%,all,219,46,173,0.2100456621004566,16,0.34782608695652173,2.8195652173913044,63.47826086956522,-1680.0,1980.0
Strategy 5 max EV + gap,"p>=10%, gap>=10.0%",all,219,46,173,0.2100456621004566,2,0.043478260869565216,10.160869565217391,18.913043478260867,-3730.0,3730.0
Strategy 4 top1 gap,top20pct,all,219,47,172,0.2146118721461187,16,0.3404255319148936,2.8638297872340424,62.12765957446808,-1780.0,2080.0
Strategy 5 max EV + gap,"p>=10%, top20pct",all,219,47,172,0.2146118721461187,2,0.0425531914893617,10.048936170212766,18.51063829787234,-3830.0,3830.0
Strategy 4 top1 gap,top10pct,all,219,24,195,0.1095890410958904,11,0.4583333333333333,2.5166666666666666,77.5,-540.0,720.0
Strategy 5 max EV + gap,"p>=10%, top10pct",all,219,24,195,0.1095890410958904,2,0.08333333333333333,8.520833333333334,36.25,-1530.0,1530.0
Strategy 0 baseline,top1,discovery,144,144,0,1.0,37,0.2569444444444444,4.293055555555555,77.56944444444444,-3230.0,4140.0
Strategy 1 max EV,p>=10%,discovery,144,143,1,0.9930555555555556,12,0.08391608391608392,12.591608391608391,72.93706293706293,-3870.0,5070.0
Strategy 2 max EV + EV>1,"p>=10%, EV>1",discovery,144,116,28,0.8055555555555556,7,0.0603448275862069,14.361206896551725,75.60344827586208,-2830.0,4330.0
Strategy 3 max positive edge,"p>=10%, edge>0",discovery,144,132,12,0.9166666666666666,9,0.06818181818181818,12.768181818181818,76.2878787878788,-3130.0,4870.0
Strategy 4 top1 gap,gap>=2.0%,discovery,144,98,46,0.6805555555555556,27,0.2755102040816326,3.666326530612245,77.04081632653062,-2250.0,3320.0
Strategy 5 max EV + gap,"p>=10%, gap>=2.0%",discovery,144,98,46,0.6805555555555556,7,0.07142857142857142,11.73265306122449,40.40816326530612,-5840.0,5840.0
Strategy 4 top1 gap,gap>=5.0%,discovery,144,62,82,0.4305555555555556,16,0.25806451612903225,3.167741935483871,53.87096774193548,-2860.0,3030.0
Strategy 5 max EV + gap,"p>=10%, gap>=5.0%",discovery,144,62,82,0.4305555555555556,3,0.04838709677419355,10.817741935483872,33.225806451612904,-4140.0,4140.0
Strategy 4 top1 gap,gap>=7.5%,discovery,144,37,107,0.2569444444444444,10,0.2702702702702703,2.9594594594594597,52.43243243243243,-1760.0,2160.0
