phase,method,band,lower,upper,sample_size,predicted_probability_mean,actual_win_rate,calibration_error
all,normalized,0-5%,0.0,0.05,1175,0.027891252258898526,0.02893617021276596,0.0010449179538674323
all,normalized,5-10%,0.05,0.1,770,0.07276676601023581,0.05194805194805195,0.020818714062183857
all,normalized,10-15%,0.1,0.15,398,0.12339741098149962,0.135678391959799,0.012280980978299383
all,normalized,15-20%,0.15,0.2,218,0.17197801325015813,0.21559633027522937,0.04361831702507124
all,normalized,20-30%,0.2,0.3,127,0.23718458279899107,0.2283464566929134,0.008838126106077676
all,normalized,30%+,0.3,1.01,39,0.34542436649408903,0.38461538461538464,0.03919101812129561
discovery,normalized,0-5%,0.0,0.05,769,0.027481193409797662,0.027308192457737322,0.00017300095206033983
discovery,normalized,5-10%,0.05,0.1,522,0.07275336436285082,0.05747126436781609,0.015282099995034729
discovery,normalized,10-15%,0.1,0.15,260,0.1230073578653753,0.1346153846153846,0.011608026750009312
discovery,normalized,15-20%,0.15,0.2,147,0.17089165505516463,0.20408163265306123,0.0331899775978966
discovery,normalized,20-30%,0.2,0.3,83,0.23826799882777033,0.2289156626506024,0.009352336177167936
discovery,normalized,30%+,0.3,1.01,23,0.3482815578106849,0.391304347826087,0.043022790015402046
validation,normalized,0-5%,0.0,0.05,406,0.028667940078993516,0.03201970443349754,0.0033517643545040235
validation,normalized,5-10%,0.05,0.1,248,0.07279497431642518,0.04032258064516129,0.03247239367126389
validation,normalized,10-15%,0.1,0.15,138,0.12413229366405268,0.13768115942028986,0.013548865756237177
validation,normalized,15-20%,0.15,0.2,71,0.1742272337383841,0.23943661971830985,0.06520938597992573
validation,normalized,20-30%,0.2,0.3,44,0.2351408661992484,0.22727272727272727,0.007868138926521134
validation,normalized,30%+,0.3,1.01,16,0.3413171539764824,0.375,0.03368284602351762
validation,platt,0-5%,0.0,0.05,0,,,
validation,platt,5-10%,0.05,0.1,764,0.06890356881175375,0.04712041884816754,0.021783149963586206
validation,platt,10-15%,0.1,0.15,119,0.11713112075379165,0.2184873949579832,0.10135627420419155
validation,platt,15-20%,0.15,0.2,24,0.16729667340178406,0.2916666666666667,0.12436999326488263
validation,platt,20-30%,0.2,0.3,14,0.22186409783004707,0.2857142857142857,0.06385018788423863
validation,platt,30%+,0.3,1.01,2,0.35294215110501026,1,0.6470578488949897
validation,isotonic,0-5%,0.0,0.05,430,0.026858025695235,0.03255813953488372,0.005700113839648722
validation,isotonic,5-10%,0.05,0.1,228,0.06210567395824874,0.039473684210526314,0.022631989747722424
validation,isotonic,10-15%,0.1,0.15,123,0.13334432762699394,0.13008130081300814,0.0032630268139857976
validation,isotonic,15-20%,0.15,0.2,35,0.17019999289510765,0.22857142857142856,0.058371435676320915
validation,isotonic,20-30%,0.2,0.3,100,0.22917849398777843,0.25,0.020821506012221574
validation,isotonic,30%+,0.3,1.01,7,0.5514343012782191,0.42857142857142855,0.12286287270679058
