feature,feature_group,used_model_d,used_model_e,used_model_f,used_model_g,meaning,level,temporal_safe,constant_rate,missing_rate,unknown_rate,duplicate_candidate,new_policy,replacement_feature,reason
as_of_date,BASE,0,0,0,0,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
race_id,BASE,0,0,0,0,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
horse_id,BASE,0,0,0,0,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
target,RESULT,0,0,0,0,既存feature定義を参照,RESULT,NO,UNKNOWN,UNKNOWN,UNKNOWN,NO,LEAKAGE_PROHIBITED,,cleanup inventory: source cache schema and model lists
date,BASE,0,0,0,0,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
racecourse,COURSE,1,1,1,1,既存feature定義を参照,RACE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,AB_TEST,,cleanup inventory: source cache schema and model lists
surface,BASE,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
distance,BASE,0,0,0,0,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
class_code,RACE_STRENGTH,0,0,0,0,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
grade_code,BASE,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
condition_code,BASE,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
race_class_label,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
race_class_score,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
race_sex_condition,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
race_age_condition,RACE_STRENGTH,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
is_filly_mare_only,BASE,1,1,1,1,既存feature定義を参照,HORSE,YES,UNKNOWN,UNKNOWN,UNKNOWN,NO,KEEP,,cleanup inventory: source cache schema and model lists
