horse_id,target_race_id,source_race_id,source_date,race_first_prize,normalized_source_class,baseline_used,filter_a_used,filter_b_used,reason
2019106416,2026-0704-02-01-07-09,2021-0606-05-03-02-05,2021-06-06,00070000,1勝以上,1,1,0,explicit/experimental prize tier
2019106416,2026-0704-02-01-07-09,2021-0626-05-03-07-01,2021-06-26,00051000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2019106416,2026-0704-02-01-07-09,2021-0718-03-01-06-02,2021-07-18,00051000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2019106416,2026-0704-02-01-07-09,2021-1009-05-04-01-02,2021-10-09,00051000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2019106416,2026-0704-02-01-07-09,2021-1030-04-05-07-05,2021-10-30,00051000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2019106416,2026-0704-02-01-07-09,2021-1114-05-05-04-02,2021-11-14,00051000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2019106416,2026-0704-02-01-07-09,2021-1205-06-05-02-03,2021-12-05,00051000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2019106416,2026-0704-02-01-07-09,2022-0410-06-03-06-04,2022-04-10,00052000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2019106416,2026-0704-02-01-07-09,2022-0501-05-02-04-05,2022-05-01,00052000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2019106416,2026-0704-02-01-07-09,2022-0618-02-01-03-04,2022-06-18,00052000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2019106416,2026-0704-02-01-07-09,2022-0702-02-01-07-03,2022-07-02,00052000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2020100621,2026-0704-02-01-07-09,2022-0710-03-02-04-05,2022-07-10,00070000,1勝以上,1,1,0,explicit/experimental prize tier
2019106416,2026-0704-02-01-07-09,2022-0716-02-01-11-05,2022-07-16,00052000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2020100621,2026-0704-02-01-07-09,2022-0730-04-02-01-01,2022-07-30,00052000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2019106416,2026-0704-02-01-07-09,2022-0731-01-01-04-04,2022-07-31,00052000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2019106416,2026-0704-02-01-07-09,2022-0820-04-03-03-07,2022-08-20,00052000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2020100621,2026-0704-02-01-07-09,2022-0821-04-03-04-02,2022-08-21,00052000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2020100621,2026-0704-02-01-07-09,2022-0919-06-04-05-04,2022-09-19,00052000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2020105796,2026-0704-02-01-07-08,2022-1127-05-05-08-06,2022-11-27,00070000,1勝以上,1,1,0,explicit/experimental prize tier
2020100621,2026-0704-02-01-07-09,2022-1210-06-05-03-04,2022-12-10,00052000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2020105796,2026-0704-02-01-07-08,2022-1217-06-05-05-07,2022-12-17,00052000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2019106416,2026-0704-02-01-07-09,2022-1224-06-05-07-09,2022-12-24,00107000,1勝以上,1,1,0,explicit/experimental prize tier
2020100621,2026-0704-02-01-07-09,2022-1228-06-05-09-04,2022-12-28,00052000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2020105796,2026-0704-02-01-07-08,2023-0107-06-01-02-06,2023-01-07,00055000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2020105796,2026-0704-02-01-07-08,2023-0122-06-01-08-05,2023-01-22,00055000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2019106416,2026-0704-02-01-07-09,2023-0205-05-01-04-04,2023-02-05,00080000,1勝以上,1,1,0,explicit/experimental prize tier
2020100621,2026-0704-02-01-07-09,2023-0205-07-01-12-05,2023-02-05,00055000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2020100621,2026-0704-02-01-07-09,2023-0226-10-02-06-05,2023-02-26,00055000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2020100621,2026-0704-02-01-07-09,2023-0311-06-02-05-05,2023-03-11,00055000,初期/未勝利相当,1,0,0,explicit/experimental prize tier
2020105796,2026-0704-02-01-07-08,2023-0402-06-03-04-08,2023-04-02,00107000,1勝以上,1,1,0,explicit/experimental prize tier
2019106416,2026-0704-02-01-07-09,2023-0409-06-03-06-08,2023-04-09,00080000,1勝以上,1,1,0,explicit/experimental prize tier
