policy,race_id,horse_id,horse_expected_position_delta,position_stability_delta,last1_raw_performance_delta,last1_adjusted_performance_delta,hidden_strength_last1_delta,last1_winner_strength_delta,last1_field_strength_delta,last1_margin_delta,usable_history_count_delta
filter-a,2026-0704-02-01-07-01,2024106810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
filter-a,2026-0704-02-01-07-01,2024100255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
filter-a,2026-0704-02-01-07-01,2024103505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
filter-a,2026-0704-02-01-07-01,2024107000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
filter-a,2026-0704-02-01-07-01,2024106857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
filter-a,2026-0704-02-01-07-01,2024106919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
filter-a,2026-0704-02-01-07-01,2024106248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
filter-a,2026-0704-02-01-07-01,2024104503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
filter-a,2026-0704-02-01-07-01,2024107158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
filter-a,2026-0704-02-01-07-02,2023106148,0.2591341991341991,-0.13836099223529583,0.08614038593724316,0.0708571149153358,-0.015283271021907352,0.0,0.0,-1.0,-4
filter-a,2026-0704-02-01-07-02,2023101812,0.14444444444444443,-0.20427529234278038,-0.4491163837342723,-0.43224717077130936,0.016869212962962954,0.0,0.0,-9.0,-3
filter-a,2026-0704-02-01-07-02,2023106438,0.07686274509803925,-0.15719768163402129,-0.7343992463285591,-0.730631885217448,0.0037673611111110894,0.0,0.0,26.0,-4
filter-a,2026-0704-02-01-07-02,2023101598,0.07499999999999996,-0.043301270189221926,0.014326954988154561,0.0051776494325990186,-0.009149305555555542,0.0,0.0,9.0,-3
filter-a,2026-0704-02-01-07-02,2023104216,-0.09642857142857142,-0.24915674109414152,-0.41564851382644985,-0.4064427846597832,0.009205729166666676,0.0,0.0,-3.0,-4
filter-a,2026-0704-02-01-07-02,2023110027,-0.012499999999999956,-0.025,0.20950399215529925,0.21167338013107778,0.002169387975778536,0.0,0.0,-7.0,-4
filter-a,2026-0704-02-01-07-02,2023103333,0.06,-0.12000000000000001,-0.10444280884188911,-0.10444280884188911,0.0,0.0,0.0,3.0,-4
filter-a,2026-0704-02-01-07-02,2023106476,-0.0714285714285714,-0.23750402789280467,0.3033703264686434,0.27049272230197674,-0.032877604166666685,0.0,0.0,-11.0,-4
filter-a,2026-0704-02-01-07-02,2023106454,-0.11523809523809525,-0.1683964655641931,0.0025704506390943627,0.0046339427025864355,0.002063492063492073,0.0,0.0,0.0,-4
filter-a,2026-0704-02-01-07-02,2023106285,-0.13047619047619052,-0.1618375210510673,-0.17418620690368053,-0.16991183048644698,0.00427437641723355,0.0,0.0,5.0,-4
filter-a,2026-0704-02-01-07-02,2023104679,0.00512820512820511,-0.25951392155208863,-0.025401577332933634,-0.021778826457435507,0.0036227508754981264,0.0,0.0,0.0,-4
filter-a,2026-0704-02-01-07-02,2023101938,0.10666666666666669,-0.1451436070471816,-0.5489818471597832,-0.549745736048672,-0.0007638888888888973,0.0,0.0,-3.0,-5
filter-a,2026-0704-02-01-07-02,2023103372,0.125,-0.21650635094610965,-0.05520823126969432,-0.07876195027795879,-0.023553719008264473,0.0,0.0,14.0,-3
filter-a,2026-0704-02-01-07-02,2023102669,-0.025000000000000022,-0.043301270189221926,-0.29783805009854414,-0.28863232093187746,0.009205729166666676,0.0,0.0,13.0,-3
filter-a,2026-0704-02-01-07-02,2023105537,0.0,0.0,-0.4233918540166375,-0.4233918540166375,0.0,0.0,0.0,-6.0,-3
filter-a,2026-0704-02-01-07-02,2023104713,-0.125,-0.21650635094610965,-0.4130831457822448,-0.4130831457822448,0.0,0.0,0.0,11.0,-3
filter-a,2026-0704-02-01-07-03,2023104347,0.0,0.0,-0.15573368647930436,-0.15573368647930436,0.0,0.0,0.0,-36.0,-2
filter-a,2026-0704-02-01-07-03,2023104632,-0.2282783882783883,-0.23204397038418592,-0.09439924628955507,-0.08701498703029578,0.007384259259259285,0.0,0.0,-15.0,-4
filter-a,2026-0704-02-01-07-03,2023101796,0.20256410256410257,-0.19618317193219048,0.19638156019851083,0.20254023668685767,0.006158676488346837,0.0,0.0,-7.0,-4
filter-a,2026-0704-02-01-07-03,2023100609,-0.30174603174603176,-0.14243358726987423,-0.5356485138264498,-0.5137476873801688,0.021900826446280997,0.0,0.0,-3.0,-5
filter-a,2026-0704-02-01-07-03,2023105268,-0.1444444444444445,-0.2042752923427804,-0.19818096540058266,-0.19818096540058266,0.0,0.0,0.0,7.0,-2
filter-a,2026-0704-02-01-07-03,2023105608,0.0,0.0,0.1614146861443736,0.1614146861443736,0.0,0.0,0.0,5.0,-3
filter-a,2026-0704-02-01-07-03,2023106623,0.0,0.0,-0.3690670220537562,-0.3690670220537562,0.0,0.0,0.0,-19.0,-1
filter-a,2026-0704-02-01-07-03,2023103024,-0.10011988011988016,-0.2700428380980497,-0.48334082151875757,-0.5057339503679303,-0.022393128849172772,0.0,0.0,-3.0,-5
filter-a,2026-0704-02-01-07-03,2023105555,-0.04652680652680652,-0.12502185789190892,-0.28304286429074443,-0.2685124466009861,0.014530417689758324,0.0,0.0,27.0,-4
filter-a,2026-0704-02-01-07-03,2023103570,-0.004615384615384577,-0.1916631935196854,-0.18204583810805308,-0.19669178968394974,-0.014645951575896654,0.0,0.0,58.0,-4
filter-a,2026-0704-02-01-07-03,2023104338,-0.1333333333333333,-0.12472191289246475,-0.2357336864944048,-0.2468737327907011,-0.011140046296296308,0.0,0.0,-24.0,-3
