policy,stage,source_race_id,source_date,race_first_prize,normalized_source_class,history_allowed,used_for_state_append,used_for_performance,used_for_position,used_as_last1_3,final_feature_value
BASELINE,state_update,2021-0606-05-03-02-05,2021-06-06,00070000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2021-0626-05-03-07-01,2021-06-26,00051000,初期/未勝利相当,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2021-0718-03-01-06-02,2021-07-18,00051000,初期/未勝利相当,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2021-1009-05-04-01-02,2021-10-09,00051000,初期/未勝利相当,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2021-1030-04-05-07-05,2021-10-30,00051000,初期/未勝利相当,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2021-1114-05-05-04-02,2021-11-14,00051000,初期/未勝利相当,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2021-1205-06-05-02-03,2021-12-05,00051000,初期/未勝利相当,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2022-0410-06-03-06-04,2022-04-10,00052000,初期/未勝利相当,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2022-0501-05-02-04-05,2022-05-01,00052000,初期/未勝利相当,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2022-0618-02-01-03-04,2022-06-18,00052000,初期/未勝利相当,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2022-0702-02-01-07-03,2022-07-02,00052000,初期/未勝利相当,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2022-0716-02-01-11-05,2022-07-16,00052000,初期/未勝利相当,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2022-0731-01-01-04-04,2022-07-31,00052000,初期/未勝利相当,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2022-0820-04-03-03-07,2022-08-20,00052000,初期/未勝利相当,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2022-1224-06-05-07-09,2022-12-24,00107000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2023-0205-05-01-04-04,2023-02-05,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2023-0409-06-03-06-08,2023-04-09,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2023-0624-05-03-07-12,2023-06-24,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2023-0709-03-02-04-09,2023-07-09,00111000,2勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2023-0722-03-02-07-09,2023-07-22,00111000,2勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2023-0902-04-03-07-12,2023-09-02,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2023-1008-05-04-02-08,2023-10-08,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2023-1014-05-04-04-08,2023-10-14,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2024-0120-06-01-06-12,2024-01-20,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2024-0203-05-01-03-07,2024-02-03,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2024-0225-06-02-02-07,2024-02-25,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2024-0323-06-03-01-07,2024-03-23,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2024-0420-05-02-01-07,2024-04-20,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2024-0818-01-02-04-07,2024-08-18,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2024-0901-01-02-08-07,2024-09-01,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2024-1005-04-04-01-10,2024-10-05,00111000,2勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2024-1026-04-04-07-09,2024-10-26,00111000,2勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2024-1110-03-03-04-08,2024-11-10,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2024-1130-07-04-01-08,2024-11-30,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2024-1214-06-05-05-08,2024-12-14,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2025-0126-06-01-09-12,2025-01-26,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2025-0208-05-01-03-04,2025-02-08,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2025-0301-06-02-01-04,2025-03-01,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2025-0510-04-01-03-07,2025-05-10,00080000,1勝以上,True,1.0,0.0,0.0,0.0,
BASELINE,state_update,2025-0524-04-01-07-10,2025-05-24,00111000,2勝以上,True,1.0,0.0,0.0,0.0,
