class,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
grade:C|condition:11,1,0,0,0.0,0,0.0,LOW SAMPLE
grade:C|condition:12,1,0,0,0.0,1,130.0,LOW SAMPLE
grade:C|condition:13,9,3,0.3333333333333333,115.55555555555554,0.4444444444444444,72.22222222222221,LOW SAMPLE
grade:E|condition:11,2,0,0,0.0,0.5,55.00000000000001,LOW SAMPLE
grade:E|condition:13,94,22,0.23404255319148937,56.17021276595745,0.5319148936170213,71.17021276595744,
grade:E|condition:18,1,0,0,0.0,1,110.00000000000001,LOW SAMPLE
grade:L|condition:13,3,0,0,0.0,0,0.0,LOW SAMPLE
grade:unknown|condition:11,75,18,0.24,72.13333333333334,0.4533333333333333,64.53333333333333,
grade:unknown|condition:12,138,34,0.2463768115942029,67.97101449275362,0.6231884057971014,85.28985507246377,
grade:unknown|condition:13,96,27,0.28125,71.77083333333333,0.5729166666666666,84.375,
grade:unknown|condition:18,12,5,0.4166666666666667,175.83333333333334,0.75,115.83333333333334,LOW SAMPLE
