feature,gain,split
recent3_place_rate,419754.16293907166,254.0
last1_adjusted_performance,161537.07511234283,332.0
class_change_last3_mean,87521.87542629242,600.0
career_races,42896.77048492432,384.0
best_adjusted_performance_last3,35382.847229003906,192.0
mean_adjusted_performance_last3,30424.94529724121,94.0
career_win_rate,26097.734238624573,518.0
current_race_class_score,20424.021671295166,322.0
class_change_last1,19635.78751373291,196.0
course_shape_fit,16854.94217300415,132.0
distance_change_fit,11960.605867385864,128.0
condition_code_18,10722.250455856323,166.0
pace_fit,9785.578601837158,44.0
draw_bias,7024.043788909912,98.0
last2_adjusted_performance,7002.958589553833,112.0
condition_code_13,6272.35319519043,92.0
track_condition_fit,6176.060878753662,100.0
condition_code_19,6151.20849609375,130.0
racecourse_fit,5936.796836853027,102.0
last1_class_grade:unknown|condition:19,4608.571996688843,76.0
condition_code_12,4605.8264503479,76.0
recent3_win_rate,4332.155590057373,88.0
condition_code_11,4315.05019569397,44.0
race_interval_fit,3750.9390354156494,74.0
last1_class_grade:unknown|condition:18,3016.769582748413,54.0
rail_course_bias_fit,2998.9460372924805,54.0
season_fit,2414.045171737671,90.0
racecourse_東京,1658.740800857544,48.0
last1_class_grade:E|condition:11,1303.059003829956,42.0
last3_adjusted_performance,904.2580013275146,48.0
last1_class_grade:E|condition:13,902.9596004486084,30.0
racecourse_函館,823.5863971710205,34.0
last3_class_grade:unknown|condition:14,780.7043972015381,24.0
last2_class_grade:E|condition:11,648.0223999023438,30.0
last2_class_grade:unknown|condition:12,633.3150005340576,24.0
last1_class_grade:unknown|condition:11,585.2689933776855,20.0
last2_class_grade:unknown|condition:19,538.6972007751465,18.0
last2_class_grade:E|condition:13,450.0442066192627,18.0
last3_class_grade:unknown|condition:13,368.5702018737793,18.0
last2_class_grade:unknown|condition:13,330.4491996765137,14.0
last1_class_grade:unknown|condition:13,307.0207996368408,10.0
racecourse_福島,305.54420280456543,12.0
last1_class_grade:unknown|condition:14,288.1310005187988,12.0
grade_code_E,274.8354015350342,8.0
racecourse_小倉,254.22965621948242,10.0
last2_class_grade:unknown|condition:14,176.28260040283203,8.0
condition_code_14,131.69340133666992,4.0
last1_class_grade:E|condition:14,106.60820007324219,8.0
last3_class_grade:unknown|condition:11,98.2765998840332,4.0
last3_class_grade:unknown|condition:18,90.11200141906738,8.0
grade_code_A,77.45780181884766,4.0
last1_class_grade:unknown|condition:12,71.86800003051758,4.0
racecourse_札幌,70.21579933166504,4.0
last1_class_grade:H|condition:18,52.24780082702637,4.0
racecourse_中山,50.30520057678223,4.0
last3_class_grade:L|condition:12,40.30739974975586,2.0
last3_class_grade:E|condition:14,36.43080139160156,2.0
last3_class_grade:unknown|condition:12,33.72060012817383,2.0
last3_class_grade:E|condition:19,33.53099822998047,2.0
last1_class_grade:E|condition:12,30.67340087890625,2.0
last2_class_grade:A|condition:13,25.55739974975586,2.0
last3_class_grade:A|condition:14,21.962200164794922,2.0
last2_class_grade:E|condition:14,17.057159423828125,2.0
racecourse_中京,0.0,0.0
racecourse_京都,0.0,0.0
racecourse_新潟,0.0,0.0
racecourse_阪神,0.0,0.0
racecourse_nan,0.0,0.0
surface_芝,0.0,0.0
surface_nan,0.0,0.0
grade_code_B,0.0,0.0
grade_code_C,0.0,0.0
grade_code_D,0.0,0.0
grade_code_F,0.0,0.0
grade_code_G,0.0,0.0
grade_code_H,0.0,0.0
grade_code_L,0.0,0.0
grade_code_unknown,0.0,0.0
grade_code_nan,0.0,0.0
condition_code_nan,0.0,0.0
last1_class_grade:A|condition:11,0.0,0.0
last1_class_grade:A|condition:12,0.0,0.0
last1_class_grade:A|condition:13,0.0,0.0
last1_class_grade:A|condition:14,0.0,0.0
last1_class_grade:B|condition:11,0.0,0.0
last1_class_grade:B|condition:12,0.0,0.0
last1_class_grade:B|condition:13,0.0,0.0
last1_class_grade:B|condition:14,0.0,0.0
last1_class_grade:C|condition:11,0.0,0.0
last1_class_grade:C|condition:12,0.0,0.0
last1_class_grade:C|condition:13,0.0,0.0
last1_class_grade:C|condition:14,0.0,0.0
last1_class_grade:D|condition:11,0.0,0.0
last1_class_grade:D|condition:12,0.0,0.0
last1_class_grade:D|condition:13,0.0,0.0
last1_class_grade:E|condition:18,0.0,0.0
last1_class_grade:E|condition:19,0.0,0.0
last1_class_grade:F|condition:18,0.0,0.0
last1_class_grade:F|condition:19,0.0,0.0
last1_class_grade:G|condition:18,0.0,0.0
last1_class_grade:G|condition:19,0.0,0.0
last1_class_grade:H|condition:19,0.0,0.0
last1_class_grade:L|condition:11,0.0,0.0
last1_class_grade:L|condition:12,0.0,0.0
last1_class_grade:L|condition:13,0.0,0.0
last1_class_grade:L|condition:14,0.0,0.0
last1_class_unknown,0.0,0.0
last1_class_nan,0.0,0.0
last2_class_grade:A|condition:11,0.0,0.0
last2_class_grade:A|condition:12,0.0,0.0
last2_class_grade:A|condition:14,0.0,0.0
last2_class_grade:B|condition:11,0.0,0.0
last2_class_grade:B|condition:12,0.0,0.0
last2_class_grade:B|condition:13,0.0,0.0
last2_class_grade:B|condition:14,0.0,0.0
last2_class_grade:C|condition:11,0.0,0.0
last2_class_grade:C|condition:12,0.0,0.0
last2_class_grade:C|condition:13,0.0,0.0
last2_class_grade:C|condition:14,0.0,0.0
last2_class_grade:D|condition:11,0.0,0.0
last2_class_grade:D|condition:12,0.0,0.0
last2_class_grade:D|condition:13,0.0,0.0
last2_class_grade:E|condition:12,0.0,0.0
last2_class_grade:E|condition:18,0.0,0.0
last2_class_grade:E|condition:19,0.0,0.0
last2_class_grade:F|condition:18,0.0,0.0
last2_class_grade:F|condition:19,0.0,0.0
last2_class_grade:G|condition:18,0.0,0.0
last2_class_grade:G|condition:19,0.0,0.0
last2_class_grade:H|condition:18,0.0,0.0
last2_class_grade:H|condition:19,0.0,0.0
last2_class_grade:L|condition:11,0.0,0.0
last2_class_grade:L|condition:12,0.0,0.0
last2_class_grade:L|condition:13,0.0,0.0
last2_class_grade:L|condition:14,0.0,0.0
last2_class_grade:unknown|condition:11,0.0,0.0
last2_class_grade:unknown|condition:18,0.0,0.0
last2_class_unknown,0.0,0.0
last2_class_nan,0.0,0.0
last3_class_grade:A|condition:11,0.0,0.0
last3_class_grade:A|condition:12,0.0,0.0
last3_class_grade:A|condition:13,0.0,0.0
last3_class_grade:B|condition:11,0.0,0.0
last3_class_grade:B|condition:12,0.0,0.0
last3_class_grade:B|condition:13,0.0,0.0
last3_class_grade:B|condition:14,0.0,0.0
last3_class_grade:C|condition:11,0.0,0.0
last3_class_grade:C|condition:12,0.0,0.0
