racecourse,surface,distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
中京,芝,1300～1600m,27,5,0.18518518518518517,63.70370370370371,0.5185185185185185,70.37037037037037,LOW SAMPLE
中京,芝,1700～2000m,28,10,0.35714285714285715,71.07142857142857,0.75,119.28571428571428,LOW SAMPLE
中京,芝,2100～2400m,3,1,0.3333333333333333,63.33333333333333,0.3333333333333333,36.666666666666664,LOW SAMPLE
中京,芝,2500m～,4,1,0.25,57.49999999999999,0.5,57.49999999999999,LOW SAMPLE
中京,芝,～1200m,10,2,0.2,46.0,0.7,95.0,LOW SAMPLE
函館,芝,1700～2000m,36,9,0.25,66.94444444444444,0.4444444444444444,51.11111111111111,
函館,芝,2100～2400m,2,1,0.5,235.0,1,145.0,LOW SAMPLE
函館,芝,2500m～,4,2,0.5,85.0,0.5,65.0,LOW SAMPLE
函館,芝,～1200m,30,9,0.3,73.0,0.6333333333333333,87.0,
小倉,芝,1700～2000m,39,7,0.1794871794871795,53.07692307692308,0.5897435897435898,80.25641025641026,
小倉,芝,2500m～,7,0,0,0.0,0.2857142857142857,34.285714285714285,LOW SAMPLE
小倉,芝,～1200m,26,6,0.23076923076923078,59.23076923076923,0.38461538461538464,60.76923076923077,LOW SAMPLE
新潟,芝,1300～1600m,16,4,0.25,134.375,0.5625,73.125,LOW SAMPLE
新潟,芝,1700～2000m,30,6,0.2,54.333333333333336,0.5666666666666667,73.66666666666667,
新潟,芝,2100～2400m,2,0,0,0.0,1,120.0,LOW SAMPLE
新潟,芝,2500m～,2,0,0,0.0,0,0.0,LOW SAMPLE
新潟,芝,～1200m,22,2,0.09090909090909091,27.27272727272727,0.22727272727272727,45.45454545454545,LOW SAMPLE
札幌,芝,1300～1600m,10,6,0.6,169.0,0.8,111.00000000000001,LOW SAMPLE
札幌,芝,1700～2000m,41,8,0.1951219512195122,53.65853658536586,0.4878048780487805,67.5609756097561,
札幌,芝,2500m～,4,1,0.25,110.00000000000001,0.25,42.5,LOW SAMPLE
札幌,芝,～1200m,17,6,0.35294117647058826,85.88235294117646,0.5294117647058824,69.41176470588235,LOW SAMPLE
福島,芝,1700～2000m,41,10,0.24390243902439024,60.97560975609756,0.4878048780487805,65.1219512195122,
福島,芝,2500m～,5,1,0.2,66.0,0.8,120.0,LOW SAMPLE
福島,芝,～1200m,26,5,0.19230769230769232,38.84615384615385,0.34615384615384615,53.07692307692308,LOW SAMPLE
