feature,gain,split
last1_finish,232619.0816898346,242.0
horse_normalized_mean_finish,170675.5333442688,306.0
recent3_place_rate,135556.86798095703,52.0
recent5_place_rate,120986.01123046875,32.0
field_size,38548.70701599121,308.0
best_adjusted_performance_last3,36295.219078063965,50.0
prize_ratio_vs_last3_mean,27391.507665634155,226.0
horse_mean_finish,26098.842197418213,48.0
prize_change_from_last3_mean,25918.270477294922,90.0
career_races,21295.711109161377,206.0
career_place_rate,21147.403301239014,50.0
class_change_last3_mean,18934.8856048584,204.0
prize_ratio_vs_last1,18384.616764068604,58.0
last2_finish,18021.470474243164,112.0
age,17493.945652008057,118.0
weighted_margin_last3,16949.428497314453,76.0
last1_margin_x_race_class,15982.486045837402,72.0
weighted_adjusted_performance_last3,11905.268941879272,70.0
carried_weight,11354.85299873352,162.0
course_first_corner_distance_m,7998.587972640991,82.0
hidden_strength_last1,7126.786399841309,76.0
last1_field_top3_mean_strength_v2,6819.652963638306,102.0
horse_expected_position,6708.631801605225,118.0
race_class_score,6699.73482131958,62.0
last1_distance,6387.495819091797,132.0
races_last_180d,6250.521018981934,110.0
class_change_last1,6185.047574996948,68.0
career_win_rate,5512.214405059814,102.0
current_distance,5184.149797439575,116.0
course_final_straight_m,5163.799827575684,82.0
course_geometry_fit,4882.159780502319,100.0
mean_margin_last3,4843.043163299561,40.0
best_strong_opponent_performance_last3,4311.37700843811,62.0
margin_x_field_strength,4194.764751434326,48.0
hidden_strength_x_race_strength,3943.360528945923,60.0
prize_change_from_last1,3917.865653991699,10.0
mean_adjusted_performance_last3,3457.1967544555664,50.0
expected_position_mean,3376.240816116333,80.0
condition_code_13,3205.2026023864746,58.0
last3_field_top3_mean_strength_v2,3038.992156982422,34.0
expected_position_std,2823.3416023254395,32.0
last2_field_top3_mean_strength_v2,2687.7389907836914,50.0
race_total_top5_prize,2456.374423980713,30.0
condition_code_12,2086.522373199463,34.0
course_elevation_difference_m,1834.3653717041016,40.0
recent3_win_rate,1648.308795928955,26.0
last2_position_advantage,1347.163408279419,42.0
course_gentle_corners,1309.5951881408691,32.0
last2_field_strength_v2,1287.7805938720703,28.0
gate_x_expected_position,1243.6721954345703,30.0
last3_finish,1117.0630073547363,28.0
last2_distance,1039.0153999328613,18.0
last1_class_grade:E|condition:11,971.3727951049805,26.0
last1_margin_x_winner_strength_v2,961.2992210388184,10.0
last1_adjusted_performance,929.072395324707,12.0
race_third_prize,924.8544235229492,14.0
last3_field_strength,892.5293922424316,20.0
last3_position_advantage,840.5091915130615,26.0
last1_field_strength_v2,752.7517032623291,22.0
last1_race_class_score,741.8427925109863,18.0
best_margin_last3,725.8680038452148,10.0
mean_winner_strength_last3,660.2617950439453,14.0
last2_adjusted_performance,626.628396987915,20.0
career_places,545.5700073242188,2.0
last1_position_advantage,534.3980045318604,14.0
last2_winner_strength_v2,495.44321060180664,10.0
weighted_race_class_last3,470.9851951599121,16.0
last2_margin_x_race_class,457.2271957397461,10.0
career_wins,444.21818923950195,8.0
recent5_win_rate,429.8529968261719,14.0
expected_front_count,423.5695915222168,10.0
hidden_strength_last2,420.03219985961914,12.0
grade_code_E,419.4800109863281,2.0
races_last_365d,414.4434013366699,8.0
max_hidden_strength_last3,385.1063995361328,12.0
gate_position_pct,372.5135955810547,12.0
last2_class_grade:unknown|condition:12,344.2161979675293,10.0
last1_winner_strength,311.5140075683594,8.0
last3_field_strength_v2,302.9227981567383,10.0
last3_class_grade:unknown|condition:13,279.0012016296387,10.0
rear_density,266.6449966430664,4.0
course_mostly_flat,262.9189987182617,6.0
condition_code_14,260.9293975830078,6.0
last1_field_strength,260.7578010559082,10.0
last1_winner_mean_prize_before_target,259.92759895324707,14.0
