class,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
grade:C|condition:11,1,0,0,0.0,0,0.0,LOW SAMPLE
grade:C|condition:12,1,0,0,0.0,1,130.0,LOW SAMPLE
grade:C|condition:13,9,3,0.3333333333333333,115.55555555555554,0.4444444444444444,72.22222222222221,LOW SAMPLE
grade:E|condition:11,2,0,0,0.0,0.5,55.00000000000001,LOW SAMPLE
grade:E|condition:13,94,29,0.30851063829787234,71.06382978723404,0.5851063829787234,80.31914893617021,
grade:E|condition:18,1,0,0,0.0,1,110.00000000000001,LOW SAMPLE
grade:L|condition:13,3,0,0,0.0,0,0.0,LOW SAMPLE
grade:unknown|condition:11,75,15,0.2,44.53333333333334,0.48,94.53333333333333,
grade:unknown|condition:12,138,36,0.2608695652173913,77.46376811594203,0.5942028985507246,79.13043478260869,
grade:unknown|condition:13,96,26,0.2708333333333333,79.58333333333333,0.5520833333333334,80.41666666666667,
grade:unknown|condition:18,12,2,0.16666666666666666,46.666666666666664,0.25,31.666666666666664,LOW SAMPLE
