racecourse,surface,distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
中京,芝,1300～1600m,27,8,0.2962962962962963,87.03703703703704,0.6666666666666666,95.55555555555556,LOW SAMPLE
中京,芝,1700～2000m,28,13,0.4642857142857143,122.85714285714286,0.7857142857142857,105.35714285714286,LOW SAMPLE
中京,芝,2100～2400m,3,1,0.3333333333333333,63.33333333333333,0.3333333333333333,36.666666666666664,LOW SAMPLE
中京,芝,2500m～,4,1,0.25,57.49999999999999,0.5,57.49999999999999,LOW SAMPLE
中京,芝,～1200m,10,2,0.2,46.0,0.5,65.0,LOW SAMPLE
函館,芝,1700～2000m,36,16,0.4444444444444444,149.72222222222223,0.6388888888888888,82.77777777777777,
函館,芝,2100～2400m,2,0,0,0.0,1,135.0,LOW SAMPLE
函館,芝,2500m～,4,1,0.25,40.0,0.25,37.5,LOW SAMPLE
函館,芝,～1200m,30,7,0.23333333333333334,53.333333333333336,0.6666666666666666,98.66666666666667,
小倉,芝,1700～2000m,39,8,0.20512820512820512,55.8974358974359,0.5641025641025641,75.38461538461539,
小倉,芝,2500m～,7,0,0,0.0,0.2857142857142857,34.285714285714285,LOW SAMPLE
小倉,芝,～1200m,26,5,0.19230769230769232,51.92307692307693,0.34615384615384615,56.15384615384615,LOW SAMPLE
新潟,芝,1300～1600m,16,3,0.1875,54.37499999999999,0.5,62.5,LOW SAMPLE
新潟,芝,1700～2000m,30,5,0.16666666666666666,37.666666666666664,0.6,88.33333333333333,
新潟,芝,2100～2400m,2,0,0,0.0,1,120.0,LOW SAMPLE
新潟,芝,2500m～,2,0,0,0.0,0,0.0,LOW SAMPLE
新潟,芝,～1200m,22,3,0.13636363636363635,40.0,0.2727272727272727,59.09090909090909,LOW SAMPLE
札幌,芝,1300～1600m,10,4,0.4,114.99999999999999,0.7,104.0,LOW SAMPLE
札幌,芝,1700～2000m,41,10,0.24390243902439024,62.68292682926829,0.5365853658536586,72.4390243902439,
札幌,芝,2500m～,4,1,0.25,110.00000000000001,0.5,85.0,LOW SAMPLE
札幌,芝,～1200m,17,6,0.35294117647058826,85.88235294117646,0.5294117647058824,69.41176470588235,LOW SAMPLE
福島,芝,1700～2000m,41,11,0.2682926829268293,67.31707317073172,0.5365853658536586,107.5609756097561,
福島,芝,2500m～,5,1,0.2,66.0,0.4,57.99999999999999,LOW SAMPLE
福島,芝,～1200m,26,5,0.19230769230769232,38.84615384615385,0.4230769230769231,66.15384615384615,LOW SAMPLE
