feature,gain,split
last1_finish,288127.7916107178,232.0
recent5_place_rate,164455.59470939636,50.0
recent3_place_rate,110325.84364318848,24.0
career_place_rate,76966.8631324768,164.0
field_size,36856.51990509033,290.0
best_adjusted_performance_last3,36290.59895324707,52.0
mean_late_frontness_last3,31437.46583175659,244.0
prize_ratio_vs_last3_mean,28761.992809295654,236.0
prize_change_from_last3_mean,27761.275806427002,90.0
career_races,25242.403606414795,258.0
weighted_margin_last3,23840.147453308105,62.0
last2_finish,20689.08344268799,104.0
prize_ratio_vs_last1,18221.69789505005,60.0
class_change_last3_mean,17703.483821868896,210.0
position_closing_power_last3_mean,16069.609313964844,76.0
mean_closing_speed_last3,12172.837409973145,128.0
last1_margin_x_race_class,11961.495998382568,36.0
mean_adjusted_performance_last3,11576.201044082642,72.0
position_closing_power_last2_mean,10965.329097747803,46.0
last1_late_frontness,9829.80044555664,110.0
hidden_strength_last1,8644.146347045898,76.0
class_change_last1,8426.54415512085,56.0
best_closing_speed_last3,7655.502286911011,58.0
mean_margin_last3,7578.835063934326,36.0
race_class_score,7393.957176208496,72.0
weighted_adjusted_performance_last3,7253.671382904053,46.0
last1_closing_speed,7247.629241943359,92.0
last1_field_top3_mean_strength_v2,6583.983016967773,98.0
current_distance,6259.835224151611,134.0
career_win_rate,5745.278785705566,102.0
races_last_180d,5550.486778259277,104.0
last1_distance,5369.553392410278,118.0
hidden_strength_x_race_strength,5059.237157821655,58.0
best_strong_opponent_performance_last3,4670.701446533203,44.0
expected_position_mean,4461.277593612671,104.0
course_geometry_fit,4329.309417724609,88.0
best_position_closing_power_last3,4141.0092124938965,20.0
last3_field_top3_mean_strength_v2,4119.011396408081,58.0
last2_late_frontness,3822.369617462158,72.0
course_final_straight_m,3649.3874282836914,60.0
course_first_corner_distance_m,3270.59676361084,52.0
last2_field_top3_mean_strength_v2,3128.0801849365234,56.0
expected_position_std,2841.7003898620605,38.0
recent3_win_rate,2652.9429893493652,46.0
condition_code_12,1972.9514083862305,30.0
prize_change_from_last1,1935.0760116577148,12.0
margin_x_field_strength,1722.572410583496,34.0
course_elevation_difference_m,1466.5518112182617,38.0
