class,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
grade:C|condition:11,1,0,0,0.0,1,170.0,LOW SAMPLE
grade:C|condition:12,1,0,0,0.0,1,130.0,LOW SAMPLE
grade:C|condition:13,9,3,0.3333333333333333,115.55555555555554,0.4444444444444444,72.22222222222221,LOW SAMPLE
grade:E|condition:11,2,1,0.5,120.0,0.5,55.00000000000001,LOW SAMPLE
grade:E|condition:13,94,25,0.26595744680851063,70.2127659574468,0.5638297872340425,77.4468085106383,
grade:E|condition:18,1,0,0,0.0,1,110.00000000000001,LOW SAMPLE
grade:L|condition:13,3,0,0,0.0,0,0.0,LOW SAMPLE
grade:unknown|condition:11,75,13,0.17333333333333334,56.666666666666664,0.4666666666666667,74.4,
grade:unknown|condition:12,138,35,0.2536231884057971,76.81159420289855,0.5942028985507246,79.85507246376812,
grade:unknown|condition:13,96,28,0.2916666666666667,80.72916666666666,0.5729166666666666,78.95833333333333,
grade:unknown|condition:18,12,3,0.25,77.5,0.5,70.83333333333334,LOW SAMPLE
