racecourse,surface,distance,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
中京,芝,1300～1600m,27,9,0.3333333333333333,108.51851851851852,0.5925925925925926,77.77777777777779,LOW SAMPLE
中京,芝,1700～2000m,28,10,0.35714285714285715,71.07142857142857,0.75,125.71428571428571,LOW SAMPLE
中京,芝,2100～2400m,3,1,0.3333333333333333,63.33333333333333,0.6666666666666666,36.666666666666664,LOW SAMPLE
中京,芝,2500m～,4,1,0.25,57.49999999999999,0.5,57.49999999999999,LOW SAMPLE
中京,芝,～1200m,10,2,0.2,46.0,0.7,94.0,LOW SAMPLE
函館,芝,1700～2000m,36,10,0.2777777777777778,88.33333333333333,0.4722222222222222,61.94444444444444,
函館,芝,2100～2400m,2,1,0.5,235.0,1,145.0,LOW SAMPLE
函館,芝,2500m～,4,1,0.25,40.0,0.25,37.5,LOW SAMPLE
函館,芝,～1200m,30,8,0.26666666666666666,84.66666666666667,0.6,77.66666666666666,
小倉,芝,1700～2000m,39,7,0.1794871794871795,52.05128205128206,0.6153846153846154,88.71794871794872,
小倉,芝,2500m～,7,0,0,0.0,0.42857142857142855,61.42857142857143,LOW SAMPLE
小倉,芝,～1200m,26,6,0.23076923076923078,73.84615384615385,0.4230769230769231,58.46153846153847,LOW SAMPLE
新潟,芝,1300～1600m,16,5,0.3125,149.375,0.625,80.625,LOW SAMPLE
新潟,芝,1700～2000m,30,5,0.16666666666666666,39.33333333333333,0.5666666666666667,73.66666666666667,
新潟,芝,2100～2400m,2,0,0,0.0,1,120.0,LOW SAMPLE
新潟,芝,2500m～,2,1,0.5,185.0,0.5,80.0,LOW SAMPLE
新潟,芝,～1200m,22,2,0.09090909090909091,27.27272727272727,0.22727272727272727,34.54545454545455,LOW SAMPLE
札幌,芝,1300～1600m,10,3,0.3,89.0,0.6,87.0,LOW SAMPLE
札幌,芝,1700～2000m,41,12,0.2926829268292683,91.46341463414635,0.6341463414634146,89.75609756097562,
札幌,芝,2500m～,4,1,0.25,110.00000000000001,0.5,85.0,LOW SAMPLE
札幌,芝,～1200m,17,6,0.35294117647058826,85.88235294117646,0.5294117647058824,69.41176470588235,LOW SAMPLE
福島,芝,1700～2000m,41,10,0.24390243902439024,60.97560975609756,0.5365853658536586,70.97560975609755,
福島,芝,2500m～,5,1,0.2,66.0,0.6,82.0,LOW SAMPLE
福島,芝,～1200m,26,6,0.23076923076923078,53.84615384615385,0.46153846153846156,81.53846153846153,LOW SAMPLE
